,,,,,,,,,,,,
회사명,종목코드,사업연도,결산월,업종,업종별,주식배당,현금배당,,,,,
,,,,,배당율,(배당기준일),액면가,기말주식수,주당배당금,배당성향,총배당금액,시가배당률
HDC랩스,039570,2021,12,건설업,1.63,-,500,"25,957,601",450,118.511,"10,773,853,200",3.600
HDC현대EP,089470,2021,12,화학,1.1,-,500,"31,900,000",140,39.339,"4,046,000,000",2.300
HDC현대산업개발,294870,2021,12,건설업,1.63,-,"5,000","65,907,330",600,22.429,"39,538,716,000",2.600
HD현대,267250,2021,12,화학,1.1,-,"1,000","78,993,085","5,550",210.852,"392,209,786,500",9.610
HJ중공업,097230,2021,12,건설업,1.63,-,"5,000","83,274,281",-,-,-,-
HK이노엔,195940,2021,12,제약,0.3,-,500,"28,904,499",320,21.628,"5,349,920,000",0.600
HLB,028300,2021,12,운송장비·부품,0.36,-,500,"106,610,064",-,-,-,-
HLB글로벌,003580,2021,12,-,-,-,500,"42,065,837",-,-,-,-
HLB사이언스,343090,2021,12,-,-,-,"1,000","5,458,325",-,-,-,-
HLB생명과학,067630,2021,12,기타서비스,0.5,-,500,"95,498,081",-,-,-,-
HLB제약,047920,2021,12,기타서비스,0.5,-,500,"26,098,182",-,-,-,-
HLB테라퓨틱스,115450,2021,12,유통,0.36,-,500,"27,088,019",-,-,-,-
HMM,011200,2021,12,운수창고업,0.4,-,"5,000","489,039,496",600,5.498,"293,423,697,600",2.200
HPSP,403870,2021,12,-,-,-,-,-,-,-,-,-
HRS,036640,2021,12,화학,0.41,-,500,"16,354,800",200,15.352,"3,196,353,000",2.700
HSD엔진,082740,2021,12,기계,0.76,-,"1,000","46,721,246",-,-,-,-
IBKS제12호스팩,335870,2021,12,금융,1.34,-,100,"3,120,000",-,-,-,-
IBKS제13호스팩,351340,2021,12,금융,1.34,-,100,"5,170,000",-,-,-,-
IBKS제16호스팩,388790,2021,12,금융,1.34,-,100,"3,410,000",-,-,-,-
IBKS제17호스팩,405350,2021,12,-,-,-,-,-,-,-,-,-
IBKS제18호스팩,424760,2021,12,-,-,-,-,-,-,-,-,-
ISC,095340,2021,12,반도체,0.42,-,500,"16,544,516",200,10.511,"3,162,330,000",0.600
ITX-AI,099520,2021,12,통신장비,0.28,-,500,"29,301,683",-,-,-,-
JB금융지주,175330,2021,12,금융업,2.61,-,"5,000","196,982,894",599,22.156,"116,412,100,925",6.900
JTC,950170,2021,02,-,-,-,0,"35,005,517",-,-,-,-
JW생명과학,234080,2021,12,의약품,0.12,-,"2,500","15,834,554",500,59.957,"7,742,277,000",3.500
JW신약,067290,2021,12,제약,0.3,-,500,"43,936,858",-,-,-,-
JW중외제약,001060,2021,12,의약품,0.12,-,"2,500","21,539,926",325,-510.199,"7,351,967,825",1.400
JW홀딩스,096760,2021,12,금융업,2.61,-,500,"68,441,182",90,135.526,"6,010,574,940",2.600
JYP Ent.,035900,2021,12,오락·문화,0.04,-,500,"35,497,492",369,18.093,"12,213,183,771",0.745
KBG,318000,2021,12,화학,0.41,-,200,"8,176,825",100,20.223 *,"809,746,100",1.200
KBI메탈,024840,2021,12,금속,0.87,-,500,"32,950,848",-,-,-,-
KB금융,105560,2021,12,금융업,2.61,-,"5,000","415,807,920","2,940",26.127,"1,145,524,944,900",5.100
