,,,,,,,,,,,,
회사명,종목코드,사업연도,결산월,업종,업종별,주식배당,현금배당,,,,,
,,,,,배당율,(배당기준일),액면가,기말주식수,주당배당금,배당성향,총배당금액,시가배당률
디지털대성,068930,2021,12,기타서비스,0.5,-,500,"29,746,739",464,61.407,"12,304,656,040",5.000
디지틀조선,033130,2021,12,디지털컨텐츠,0.1,-,500,"37,115,267",20,27.719,"742,305,340",0.700
디케이락,105740,2021,12,기계·장비,0.53,-,500,"8,449,912",200,18.782,"1,689,982,400",1.900
디케이앤디,263020,2021,12,화학,0.41,-,500,"15,526,404",50,-38.607,"761,320,200",1.100
디케이티,290550,2021,12,IT부품,0.36,-,500,"16,462,666",-,-,-,-
디티앤씨,187220,2021,12,기타서비스,0.5,-,500,"11,283,291",-,-,-,-
디피코,163430,2021,12,-,-,-,500,"6,281,578",-,-,-,-
딜리,131180,2021,12,정보기기,0.73,-,100,"29,350,000",40,36.490,"1,111,474,440",2.000
딥노이드,315640,2021,12,소프트웨어,0.32,-,500,"9,277,746",-,-,-,-
라닉스,317120,2021,12,일반전기전자,0.23,-,500,"9,650,500",-,-,-,-
라온시큐어,042510,2021,12,소프트웨어,0.32,-,500,"38,666,746",-,-,-,-
라온테크,232680,2021,12,반도체,0.42,-,500,"4,935,705",-,-,-,-
라온피플,300120,2021,12,IT부품,0.36,-,500,"10,554,156",-,-,-,-
라이온켐텍,171120,2021,12,화학,0.41,-,500,"18,893,576",200,36.676 *,"3,124,798,700",2.400
라이트론,069540,2021,12,통신장비,0.28,-,500,"26,061,956",-,-,-,-
라이프사이언스테크놀로지,285770,2021,12,-,-,-,500,"3,545,380",-,-,-,-
라이프시맨틱스,347700,2021,12,소프트웨어,0.32,-,500,"10,119,770",-,-,-,-
라파스,214260,2021,12,화학,0.41,-,500,"8,594,416",-,-,-,-
라피치,403360,2021,12,-,-,-,500,"2,904,000",-,-,-,-
락앤락,115390,2021,12,화학,1.1,-,500,"51,550,414",-,-,-,-
래몽래인,200350,2021,12,오락·문화,0.04,-,500,"6,248,519",-,-,-,-
램테크놀러지,171010,2021,12,반도체,0.42,-,500,"13,422,834",-,-,-,-
랩지노믹스,084650,2021,12,기타서비스,0.5,-,500,"11,450,097",300,3.974,"3,332,397,900",1.200
러셀,217500,2021,12,기계·장비,0.53,-,100,"31,812,000",30,14.229,"870,236,220",0.700
럭스피아,092590,2021,12,-,-,-,500,"7,291,098",-,-,-,-
레고켐바이오,141080,2021,12,기타서비스,0.5,-,500,"24,234,918",-,-,-,-
레드로버,060300,2021,12,오락·문화,0.04,-,500,"26,688,787",-,-,-,-
레드캡투어,038390,2021,12,기타서비스,0.5,-,500,"8,589,480",800,54.277,"6,562,678,000",3.800
레몬,294140,2021,12,화학,0.41,-,500,"37,000,000",-,-,-,-
레이,228670,2021,12,의료·정밀기기,0.32,-,500,"13,306,534",-,-,-,-
레이언스,228850,2021,12,의료·정밀기기,0.32,-,500,"16,591,014",100,11.166,"1,573,644,000",0.810
레이저쎌,412350,2021,12,-,-,-,-,-,-,-,-,-
레이크머티리얼즈,281740,2021,12,화학,0.41,-,100,"65,730,548",-,-,-,-
레인보우로보틱스,277810,2021,12,기계·장비,0.53,-,500,"16,135,214",-,-,-,-
렌딩머신,179720,2021,12,-,-,-,500,"1,049,583",-,-,-,-
로보로보,215100,2021,12,디지털컨텐츠,0.1,-,100,"20,348,454",-,-,-,-
로보스타,090360,2021,12,기계·장비,0.53,-,500,"9,750,000",-,-,-,-
로보쓰리,238500,2021,12,-,-,-,500,"16,077,942",-,-,-,-
로보티즈,108490,2021,12,소프트웨어,0.32,-,500,"11,251,000",-,-,-,-
로스웰,900260,2021,12,-,-,-,0,"180,156,443",-,-,-,-
로지스몬,223220,2021,12,-,-,-,100,"28,893,630",-,-,-,-
로지시스,067730,2021,12,컴퓨터서비스,0.55,-,500,"9,673,922",150,70.135 *,"1,451,088,300",2.400
로체시스템즈,071280,2021,12,반도체,0.42,-,500,"15,296,603",20,3.155,"298,321,380",0.300
롯데관광개발,032350,2021,12,서비스업,0.43,-,500,"69,275,662",-,-,-,-
롯데렌탈,089860,2021,12,서비스업,0.43,-,"5,000","36,634,063",900,29.029,"32,970,656,700",2.400
롯데손해보험,000400,2021,12,보험,3.28,-,"1,000","310,336,320",-,-,-,-
롯데쇼핑,023530,2021,12,유통업,1.59,-,"5,000","28,288,755","2,800",-28.999,"79,157,792,000",3.100
롯데정밀화학,004000,2021,12,화학,1.1,-,"5,000","25,800,000","2,300",10.006,"58,581,000,000",3.000
롯데정보통신,286940,2021,12,서비스업,0.43,-,"5,000","15,396,331",700,30.556,"10,590,556,900",2.000
롯데제과,280360,2021,12,음식료품,1.34,-,500,"6,416,717","1,600",28.225,"10,259,422,400",1.300
롯데지주,004990,2021,12,금융업,2.61,-,200,"104,909,237","1,500",71.346,"107,327,941,250",4.900
롯데칠성음료,005300,2021,12,음식료품,1.34,-,500,"9,278,884","3,000",21.703,"29,750,386,250",2.200
롯데케미칼,011170,2021,12,화학,1.1,-,"5,000","34,275,419","8,300",19.955,"284,485,977,700",3.650
롯데하이마트,071840,2021,12,유통업,1.59,-,"5,000","23,607,712","1,000",-40.270 *,"23,135,712,000",3.900
루닛,328130,2021,12,-,-,-,-,-,-,-,-,-
루멘스,038060,2021,12,반도체,0.42,-,500,"48,103,069",-,-,-,-
루켄테크놀러지스,162120,2021,12,-,-,-,500,"10,200,465",-,-,-,-
루트락,253610,2021,12,-,-,-,500,"7,772,543",-,-,-,-
루트로닉,085370,2021,12,의료·정밀기기,0.32,-,500,"26,204,455",192,17.959,"4,972,178,078",1.100
룽투코리아,060240,2021,12,디지털컨텐츠,0.1,-,500,"25,429,284",-,-,-,-
리노공업,058470,2021,12,반도체,0.42,-,500,"15,242,370","2,500",36.556 *,"37,947,800,000",1.300
리노스,039980,2021,12,유통,0.36,0.05 / (2021-12-31),500,"43,576,286",-,-,-,-
리더스 기술투자,019570,2021,12,금융,1.34,-,500,"130,043,702",-,-,-,-
리더스코스메틱,016100,2021,12,화학,0.41,-,500,"19,100,894",-,-,-,-
리드코프,012700,2021,12,유통,0.36,-,500,"26,446,135",800,51.281,"20,475,881,600",8.200
리메드,302550,2021,12,의료·정밀기기,0.32,-,500,"6,127,616",-,-,-,-
리파인,377450,2021,12,기타서비스,0.5,-,100,"17,330,000",-,-,-,-
린드먼아시아,277070,2021,12,금융,1.34,-,500,"13,657,000",42,10.518,"556,385,214",0.760
링네트,042500,2021,12,컴퓨터서비스,0.55,-,500,"15,356,878",-,-,-,-
링크제니시스,219420,2021,12,소프트웨어,0.32,-,100,"11,469,507",-,-,-,-
마니커,027740,2021,12,음식료품,1.34,-,500,"63,511,228",-,-,-,-
마니커에프앤지,195500,2021,12,음식료·담배,0.86,-,500,"15,768,000",-,-,-,-
마이더스AI,222810,2021,12,소프트웨어,0.32,-,100,"145,000,878",-,-,-,-
마이크로디지탈,305090,2021,12,의료·정밀기기,0.32,-,500,"7,261,600",-,-,-,-
마이크로컨텍솔,098120,2021,12,반도체,0.42,-,500,"8,312,766",30,3.293,"249,382,980",0.200
마이크로프랜드,147760,2021,12,의료·정밀기기,0.32,-,500,"10,819,866",-,-,-,-
마인즈랩,377480,2021,12,소프트웨어,0.32,-,500,"6,044,583",-,-,-,-
마크로젠,038290,2021,12,기타서비스,0.5,-,500,"10,841,400",300,128.314,"2,966,626,800",1.000
만도,204320,2021,12,운수장비,1.02,-,"1,000","46,957,120",800,21.007,"37,522,404,000",1.300
만호제강,001080,2021,06,철강금속,1.78,-,"1,000","4,150,000",200,70.330,"608,354,000",0.900
매일유업,267980,2021,12,음식료·담배,0.86,-,500,"7,843,638","1,200",11.951,"8,872,776,000",1.750
매일홀딩스,005990,2021,12,음식료·담배,0.86,-,500,"13,718,304",150,1.963,"1,893,175,950",1.640
매직마이크로,127160,2021,12,반도체,0.42,-,100,"86,623,501",-,-,-,-
매커스,093520,2021,12,유통,0.36,-,500,"16,163,092",120,5.771,"1,443,370,080",1.500
맥스트,377030,2021,12,소프트웨어,0.32,-,500,"8,542,491",-,-,-,-
머큐리,100590,2021,12,일반전기전자,0.23,-,500,"14,763,600",-,-,-,-
멀티캠퍼스,067280,2021,12,디지털컨텐츠,0.1,-,500,"5,926,779",600,17.299,"3,556,067,400",1.300
메가스터디,072870,2021,12,출판·매체복제,0.32,-,500,"11,920,959",600,23.872,"7,114,201,200",4.200
메가스터디교육,215200,2021,12,기타서비스,0.5,-,100,"11,861,880","2,000",28.895,"23,562,646,000",2.400
메가엠디,133750,2021,12,기타서비스,0.5,-,500,"23,407,077",150,49.793,"3,311,247,750",3.300
메드팩토,235980,2021,12,기타서비스,0.5,-,500,"20,510,342",-,-,-,-
메디쎄이,200580,2021,12,-,-,-,500,"3,726,079",-,-,-,-
메디아나,041920,2021,12,의료·정밀기기,0.32,-,500,"16,000,000",27,4.909,"430,714,260",0.300
메디안디노스틱,233250,2021,12,-,-,-,500,"1,746,534",-,-,-,-
메디앙스,014100,2021,12,화학,0.41,-,500,"11,800,000",-,-,-,-
메디젠휴먼케어,236340,2021,12,-,-,-,500,"2,512,523",-,-,-,-
메디콕스,054180,2021,12,운송장비·부품,0.36,-,500,"93,373,338",-,-,-,-
메디톡스,086900,2021,12,제약,0.3,0.05 / (2021-12-31),500,"6,254,384",-,-,-,-
메디포스트,078160,2021,12,제약,0.3,-,500,"16,264,194",-,-,-,-
메디프론,065650,2021,12,유통,0.36,-,500,"43,615,959",-,-,-,-
메리츠금융지주,138040,2021,12,금융업,2.61,-,500,"134,011,294",210,1.909,"26,406,266,670",0.500
메리츠증권,008560,2021,12,증권,3.64,-,"1,000","681,730,579",100,9.199,"72,019,241,847",1.900
메리츠화재,000060,2021,12,보험,3.28,-,500,"120,625,000",620,10.132,"66,958,804,640",1.900
메이슨캐피탈,021880,2021,03,금융,0.78,-,500,"99,184,408",-,-,-,-
메지온,140410,2021,12,기타서비스,0.5,-,500,"8,900,206",-,-,-,-
메카로,241770,2021,12,반도체,0.42,-,500,"10,192,640",160,20.327,"1,570,022,400",1.200
메타랩스,090370,2021,12,섬유의복,0.53,-,500,"73,938,653",-,-,-,-
메타바이오메드,059210,2021,12,제약,0.3,-,500,"23,862,351",20,4.740,"458,022,160",0.700
멕아이씨에스,058110,2021,12,의료·정밀기기,0.32,-,500,"16,050,530",83,14.333,"1,301,400,990",0.700
멜파스,096640,2021,12,IT부품,0.36,-,500,"37,946,235",-,-,-,-
명문제약,017180,2021,12,의약품,0.12,-,500,"33,953,454",-,-,-,-
명성티엔에스,257370,2021,12,IT부품,0.36,-,500,"6,440,809",-,-,-,-
명신산업,009900,2021,12,운수장비,1.02,-,500,"52,470,133",-,-,-,-
명진홀딩스,267060,2021,12,-,-,-,500,"9,141,804",-,-,-,-
모나리자,012690,2021,12,종이목재,1.49,-,500,"36,571,255",-,-,-,-
모나미,005360,2021,12,유통업,1.59,-,"1,000","18,897,307",100,12.009,"1,889,730,700",2.300
모다이노칩,080420,2021,12,IT부품,0.36,-,500,"79,721,622",-,-,-,-
모두투어,080160,2021,12,기타서비스,0.5,-,500,"18,900,000",-,-,-,-
모바일리더,100030,2021,12,소프트웨어,0.32,-,500,"3,283,714",-,-,-,-
모바일어플라이언스,087260,2021,12,소프트웨어,0.32,-,500,"32,462,446",-,-,-,-
모베이스,101330,2021,12,IT부품,0.36,-,500,"23,958,188",-,-,-,-
모베이스전자,012860,2021,12,운송장비·부품,0.36,-,500,"65,803,117",-,-,-,-
모비데이즈,363260,2021,12,금융,1.34,-,100,"6,810,000",-,-,-,-
모비릭스,348030,2021,12,디지털컨텐츠,0.1,-,100,"9,304,000",-,-,-,-
모비스,250060,2021,12,소프트웨어,0.32,-,100,"32,171,314",-,-,-,-
모아데이타,288980,2021,12,-,-,-,-,-,-,-,-,-
모아텍,033200,2021,03,IT부품,0.49,-,500,"14,331,185",-,-,-,-
모토닉,009680,2021,12,운수장비,1.02,-,500,"33,000,000",400,73.011,"8,739,432,400",3.670
모트렉스,118990,2021,12,운송장비·부품,0.36,-,100,"40,788,772",-,-,-,-
모헨즈,006920,2021,12,비금속,0.88,-,500,"10,920,000",-,-,-,-
무림P&P,009580,2021,12,종이목재,1.49,-,"2,500","62,368,324",125,39.511,"7,795,472,250",2.900
무림SP,001810,2021,12,종이·목재,0.2,-,500,"22,137,500",25,12.776,"553,437,500",0.800
무림페이퍼,009200,2021,12,종이목재,1.49,-,"2,500","41,609,310",25,253.715,"1,040,232,750",1.000
무송지오씨,135160,2021,12,-,-,-,500,"9,576,333",-,-,-,-
무진메디,322970,2021,12,-,-,-,500,"6,796,378",-,-,-,-
무학,033920,2021,12,음식료품,1.34,-,200,"28,500,000",230,-37.989,"6,091,979,640",2.740
문배철강,008420,2021,12,철강금속,2.09,-,500,"20,503,505",75,5.791 *,"1,469,578,950",1.990
미디어젠,279600,2021,12,소프트웨어,0.32,-,500,"4,684,781",-,-,-,-
미래나노텍,095500,2021,12,IT부품,0.36,-,500,"29,572,671",100,11.320,"2,651,181,600",1.500
미래산업,025560,2021,12,의료정밀,0.79,-,500,"4,452,007",-,-,-,-
미래생명자원,218150,2021,12,음식료·담배,0.86,-,100,"18,671,428",-,-,-,-
미래아이앤지,007120,2021,12,서비스업,0.43,-,100,"129,484,148",-,-,-,-
미래에셋대우스팩 5호,353490,2021,12,금융,1.34,-,100,"5,060,000",-,-,-,-
미래에셋대우스팩3호,328380,2021,12,금융,1.34,-,100,"6,482,000",-,-,-,-
미래에셋벤처투자,100790,2021,12,금융,1.34,0.05 / (2021-12-31),"1,000","46,195,823",83,4.723,"3,792,334,159",1.000
미래에셋비전스팩1호,412930,2021,12,-,-,-,-,-,-,-,-,-
미래에셋생명,085620,2021,12,보험,3.28,-,"5,000","177,016,189",100,16.498,"13,047,600,600",2.450
미래에셋증권,006800,2021,12,증권,3.64,-,"5,000","635,316,408",300,15.897,"188,136,570,600",3.400
미래엔에듀파트너,208890,2021,12,-,-,-,"1,000","3,150,820",-,-,-,-
미래컴퍼니,049950,2021,12,기계·장비,0.53,0.03 / (2021-12-31),500,"8,362,306",100,11.646,"748,381,300",0.300
미스터블루,207760,2021,12,디지털컨텐츠,0.1,-,100,"24,761,635",25,9.175,"619,040,875",0.280
미원상사,002840,2021,12,화학,1.1,-,500,"4,970,000","6,000",51.445,"29,706,000,000",3.010
미원에스씨,268280,2021,12,화학,1.1,-,500,"5,100,000","2,100",13.198,"10,545,500,000",1.000
미원홀딩스,107590,2021,12,금융업,2.61,-,500,"2,320,000",500,3.493,"1,157,575,000",0.300
미원화학,134380,2021,12,화학,1.1,-,"1,000","2,199,268","2,500",26.999 *,"3,064,365,000",3.020
미창석유공업,003650,2021,12,화학,1.1,-,"5,000","1,739,672","2,100",16.145,"3,177,255,900",3.000
미코,059090,2021,12,반도체,0.42,-,500,"33,416,778",70,10.241,"2,233,828,660",0.500
미코바이오메드,214610,2021,12,의료·정밀기기,0.32,-,500,"18,296,767",-,-,-,-
미투온,201490,2021,12,디지털컨텐츠,0.1,-,500,"31,257,770",-,-,-,-
미투젠,950190,2021,12,-,-,-,0,"13,579,892",945,39.999,"12,149,385,048",4.020
바디텍메드,206640,2021,12,제약,0.3,-,"1,000","23,486,560",200,9.009,"4,269,927,250",1.200
바른손,018700,2021,12,유통,0.36,-,"1,000","31,376,241",-,-,-,-
바른손이앤에이,035620,2021,12,오락·문화,0.04,-,500,"73,488,503",-,-,-,-
바른전자,064520,2021,12,반도체,0.42,-,500,"83,686,477",-,-,-,-
바스칸바이오제약,354390,2021,12,-,-,-,-,-,-,-,-,-
바이넥스,053030,2021,12,제약,0.3,-,500,"31,761,048",-,-,-,-
바이브컴퍼니,301300,2021,12,소프트웨어,0.32,-,500,"5,394,170",-,-,-,-
바이오니아,064550,2021,12,제약,0.3,-,500,"25,810,291",-,-,-,-
바이오다인,314930,2021,12,의료·정밀기기,0.32,-,500,"6,168,195",-,-,-,-
바이오로그디바이스,208710,2021,12,IT부품,0.36,-,100,"41,431,412",-,-,-,-
바이오솔루션,086820,2021,12,제약,0.3,-,500,"8,108,426",-,-,-,-
바이오스마트,038460,2021,12,정보기기,0.73,-,500,"20,087,800",-,-,-,-
바이오시네틱스,281310,2021,12,-,-,-,500,"2,650,890",-,-,-,-
바이오에프디엔씨,251120,2021,12,-,-,-,-,-,-,-,-,-
바이오인프라생명과학,266470,2021,12,-,-,-,500,"14,106,847",-,-,-,-
바이오톡스텍,086040,2021,12,기타서비스,0.5,-,500,"14,667,123",-,-,-,-
바이오프로테크,199290,2021,12,-,-,-,500,"4,886,800",-,-,-,-
바이오플러스,099430,2021,12,제약,0.3,-,500,"14,363,528",-,-,-,-
바이온,032980,2021,12,유통,0.36,-,500,"66,900,777",-,-,-,-
바이옵트로,222160,2021,03,-,-,-,500,"5,637,326",-,-,-,-
바이젠셀,308080,2021,12,제약,0.3,-,500,"9,442,220",-,-,-,-
바텍,043150,2021,12,의료·정밀기기,0.32,-,500,"14,854,256",100,2.682,"1,485,425,600",0.300
박셀바이오,323990,2021,12,기타서비스,0.5,-,500,"15,223,000",-,-,-,-
방림,003610,2021,09,섬유의복,0.66,-,500,"42,314,090",45,23.383,"1,740,647,655",1.700
배럴,267790,2021,12,섬유·의류,0.7,-,500,"7,885,500",-,-,-,-
백광산업,001340,2021,12,화학,1.1,-,500,"44,918,407",50,14.819,"2,207,455,350",0.900
백금T&A,046310,2021,12,통신장비,0.28,-,500,"16,418,641",-,-,-,-
백산,035150,2021,12,화학,1.1,-,500,"24,200,000",100,12.648,"2,420,000,000",1.200
버킷스튜디오,066410,2021,12,디지털컨텐츠,0.1,-,500,"54,578,911",-,-,-,-
범양건영,002410,2021,12,건설업,1.63,-,"1,000","24,831,982",-,-,-,-
범한퓨얼셀,382900,2021,12,-,-,-,-,-,-,-,-,-
베노홀딩스,206400,2021,12,소프트웨어,0.32,-,500,"27,292,197",-,-,-,-
베뉴지,019010,2021,12,유통,0.36,-,500,"48,200,000",30,2.733,"1,206,000,000",1.400
베른,322190,2021,12,-,-,-,100,"8,925,197",-,-,-,-
베셀,177350,2021,12,반도체,0.42,-,500,"11,630,420",-,-,-,-
베스파,299910,2021,12,디지털컨텐츠,0.1,-,500,"8,206,916",-,-,-,-
벽산,007210,2021,12,비금속광물,1.8,-,500,"68,560,000",10,-37.906,"566,694,030",0.300
보광산업,225530,2021,12,비금속,0.88,-,500,"36,338,727",150,55.677,"5,450,782,650",2.320
보라티알,250000,2021,12,유통,0.36,-,500,"6,750,733",-,-,-,-
보락,002760,2021,12,화학,1.1,-,200,"59,900,000",5,17.670 *,"299,500,000",0.250
보령,003850,2021,12,의약품,0.12,-,500,"68,690,000",100,15.280,"6,588,571,000",0.700
보로노이,310210,2021,12,-,-,-,-,-,-,-,-,-
보성파워텍,006910,2021,12,금속,0.87,-,500,"49,129,824",-,-,-,-
보해양조,000890,2021,12,음식료품,1.34,-,500,"138,014,479",-,-,-,-
본느,226340,2021,12,화학,0.41,-,100,"30,699,596",-,-,-,-
볼빅,206950,2021,12,-,-,-,500,"4,183,333",-,-,-,-
부광약품,003000,2021,12,의약품,0.12,-,500,"71,063,049",100,-244.743,"6,845,467,100",0.800
부국증권,001270,2021,12,증권,3.64,-,"5,000","10,369,886","1,600",18.605,"14,392,634,200",6.400
부국철강,026940,2021,12,철강금속,2.09,-,500,"20,000,000",75,17.057 *,"1,500,000,000",1.700
부방,014470,2021,12,금융,1.34,-,500,"60,052,260",-,-,-,-
부산산업,011390,2021,12,비금속광물,1.8,-,"5,000","1,056,000",250,-8.131,"264,000,000",0.200
부산주공,005030,2021,12,운수장비,1.02,-,500,"65,973,604",-,-,-,-
부스타,008470,2021,12,금속,0.87,-,500,"8,404,800",60,21.418 *,"484,908,660",1.060
뷰노,338220,2021,12,소프트웨어,0.32,-,100,"11,208,656",-,-,-,-
뷰웍스,100120,2021,12,의료·정밀기기,0.32,-,500,"10,001,865",750,20.557,"6,886,433,250",1.900
브랜드엑스코퍼레이션,337930,2021,12,인터넷,0.89,-,500,"29,572,416",40,15.088,"1,171,150,200",0.400
브레인즈컴퍼니,099390,2021,12,소프트웨어,0.32,-,500,"4,108,796",120,9.983 *,"493,055,520",0.400
브리지텍,064480,2021,12,컴퓨터서비스,0.55,-,500,"11,952,500",120,48.977 *,"1,380,654,480",2.000
브릿지바이오,288330,2021,12,제약,0.3,-,500,"19,707,425",-,-,-,-
브이씨,365900,2021,12,-,-,-,-,-,-,-,-,-
브이원텍,251630,2021,12,기계·장비,0.53,-,500,"15,050,580",100,13.501,"1,437,033,900",1.100
브이티지엠피,018290,2021,12,일반전기전자,0.23,-,500,"34,483,893",-,-,-,-
블루베리 NFT,044480,2021,12,화학,0.41,-,500,"32,343,981",-,-,-,-
블루콤,033560,2021,12,IT부품,0.36,-,500,"17,100,000",5,131.271,"85,326,235",0.050
블루탑,191600,2021,12,-,-,-,500,"2,850,000",-,-,-,-
블리츠웨이,369370,2021,12,기타제조,0.64,-,100,"35,615,566",-,-,-,-
비나텍,126340,2021,12,IT부품,0.36,0.05 / (2021-12-31),500,"5,213,207",-,-,-,-
비덴트,121800,2021,12,통신장비,0.28,-,500,"45,673,805",-,-,-,-
비디아이,148140,2021,12,기계·장비,0.53,-,500,"32,251,424",-,-,-,-
비보존 헬스케어,082800,2021,12,반도체,0.42,-,500,"169,906,834",-,-,-,-
비비씨,318410,2021,12,기타제조,0.64,-,500,"5,555,243",-,-,-,-
비비안,002070,2021,12,섬유의복,0.53,-,500,"29,793,990",-,-,-,-
비상교육,100220,2021,12,서비스업,0.43,-,500,"12,996,741",220,44.669,"2,695,333,300",2.830
비씨엔씨,146320,2021,12,-,-,-,-,-,-,-,-,-
비씨월드제약,200780,2021,12,제약,0.3,-,200,"8,892,384",-,-,-,-
비아트론,141000,2021,12,반도체,0.42,-,500,"12,114,710",100,8.552,"1,183,329,000",0.900
비에이치,090460,2021,12,IT부품,0.36,-,500,"33,810,072",250,9.550,"7,805,896,000",1.100
비에이치아이,083650,2021,12,기계·장비,0.53,-,500,"26,000,000",-,-,-,-
비엔디생활건강,215050,2021,12,-,-,-,100,"2,121,666",-,-,-,-
비엘,142760,2021,12,기타서비스,0.5,-,500,"28,658,272",-,-,-,-
비엘팜텍,065170,2021,12,유통,0.36,-,500,"88,970,559",-,-,-,-
비엘헬스케어,086220,2021,12,-,-,-,500,"10,573,865",-,-,-,-
비엠티,086670,2021,12,기계·장비,0.53,-,500,"8,146,529",150,21.330,"1,221,979,350",1.300
비올,335890,2021,12,의료·정밀기기,0.32,-,100,"57,223,739",-,-,-,-
비즈니스온,138580,2021,12,소프트웨어,0.32,-,500,"22,556,163",200,71.527,"4,471,889,200",1.400
비츠로셀,082920,2021,12,IT부품,0.36,-,500,"21,539,152",150,18.775,"3,195,637,950",1.100
비츠로시스,054220,2021,12,일반전기전자,0.23,-,500,"25,160,874",-,-,-,-
비츠로테크,042370,2021,12,금융,1.34,-,500,"26,200,025",50,5.550,"1,310,001,250",0.600
비케이탑스,030790,2021,12,서비스업,0.43,-,500,"15,097,060",-,-,-,-
비케이홀딩스,050090,2021,12,IT부품,0.36,-,500,"79,138,942",-,-,-,-
비투엔,307870,2021,12,소프트웨어,0.32,-,100,"30,181,200",-,-,-,-
비트나인,357880,2021,12,소프트웨어,0.32,-,500,"10,353,956",-,-,-,-
비트컴퓨터,032850,2021,12,소프트웨어,0.32,-,500,"16,623,293",61,20.520,"1,003,860,286",0.600
비플라이소프트,148780,2021,12,-,-,-,500,"5,249,318",-,-,-,-
비피도,238200,2021,12,음식료·담배,0.86,-,500,"8,180,000",-,-,-,-
빅솔론,093190,2021,12,정보기기,0.73,-,500,"19,238,905",250,15.503,"4,008,601,250",3.700
빅텍,065450,2021,12,의료·정밀기기,0.32,-,200,"28,652,800",30,16.329 *,"859,584,000",0.500
빅텐츠,210120,2021,12,-,-,-,500,"1,895,000",-,-,-,-
빙그레,005180,2021,12,음식료품,1.34,-,"5,000","9,851,241","1,400",-64.048,"12,378,521,400",2.700
빛샘전자,072950,2021,12,반도체,0.42,-,500,"6,230,859",100,14.761,"618,329,600",1.200
뿌리깊은나무들,266170,2021,12,-,-,-,500,"5,823,036",-,-,-,-
사람인에이치알,143240,2021,12,인터넷,0.89,-,500,"11,659,263",600,20.839,"6,631,260,000",1.500
사조대림,003960,2021,12,음식료품,1.34,-,"5,000","9,164,467",300,3.314,"2,206,059,650",1.200
사조동아원,008040,2021,12,음식료품,1.34,-,500,"141,144,600",-,-,-,-
사조산업,007160,2021,12,-,-,-,"5,000","5,000,000",300,2.707,"1,497,900,000",0.600
사조씨푸드,014710,2021,12,음식료품,1.34,-,"1,000","17,218,543",60,10.497 *,"1,033,112,580",1.100
사조오양,006090,2021,12,음식료품,1.34,-,"5,000","9,422,739",200,11.950 *,"1,884,547,200",2.180
삼강엠앤티,100090,2021,12,금속,0.87,-,500,"36,574,368",-,-,-,-
삼기,122350,2021,12,운송장비·부품,0.36,-,100,"38,339,428",30,-9.437,"1,138,847,040",0.600
삼륭물산,014970,2021,12,종이·목재,0.2,-,500,"15,125,000",75,-90.245,"1,134,375,000",1.070
삼목에스폼,018310,2021,12,금속,0.87,-,500,"14,700,000",100,4.431,"1,341,607,300",0.770
삼보모터스,053700,2021,12,운송장비·부품,0.36,-,500,"18,823,896",50,7.479,"908,783,100",0.860
삼보산업,009620,2021,12,금속,0.87,-,100,"43,822,897",-,-,-,-
삼보판지,023600,2021,12,종이·목재,0.2,-,500,"16,170,000",175,4.645,"2,794,363,075",1.100
삼부토건,001470,2021,12,건설업,1.63,-,"1,000","137,556,269",-,-,-,-
삼성SDI,006400,2021,12,전기전자,2.7,-,"5,000","68,764,530","1,000",5.354,"66,944,609,800",0.200
삼성공조,006660,2021,12,운수장비,1.02,-,500,"8,126,314",80,-25.868,"641,520,320",0.470
삼성머스트스팩5호,380320,2021,12,금융,1.34,-,100,"4,810,000",-,-,-,-
삼성물산,028260,2021,12,유통업,1.59,-,100,"186,887,081","4,200",37.876,"692,787,708,100",3.600
삼성바이오로직스,207940,2021,12,의약품,0.12,-,"2,500","66,165,000",-,-,-,-
삼성생명,032830,2021,12,보험,3.28,-,500,"200,000,000","3,000",36.662,"538,724,337,000",4.400
삼성스팩4호,377630,2021,12,금융,1.34,-,100,"4,020,000",-,-,-,-
삼성스팩6호,425290,2021,12,-,-,-,-,-,-,-,-,-
삼성에스디에스,018260,2021,12,서비스업,0.43,-,500,"77,377,800","2,400",29.309,"185,640,446,400",1.500
삼성엔지니어링,028050,2021,12,서비스업,0.43,-,"5,000","196,000,000",-,-,-,-
삼성전기,009150,2021,12,전기전자,2.7,-,"5,000","74,693,696","2,100",17.346,"158,791,902,700",1.100
삼성전자,005930,2021,12,전기전자,2.7,-,100,"5,969,782,550","1,444",24.580,"9,809,437,283,700",1.800
삼성제약,001360,2021,12,의약품,0.12,-,500,"67,162,079",-,-,-,-
삼성중공업,010140,2021,12,운수장비,1.02,-,"1,000","880,000,000",-,-,-,-
삼성증권,016360,2021,12,증권,3.64,-,"5,000","89,300,000","3,800",35.152,"339,340,000,000",7.700
삼성출판사,068290,2021,12,서비스업,0.43,-,500,"10,000,000",200,33.698,"2,000,000,000",0.600
삼성카드,029780,2021,12,금융업,2.61,-,"5,000","115,858,891","2,300",44.539,"245,434,598,500",6.700
삼성화재해상보험,000810,2021,12,보험,3.28,-,500,"47,374,837","12,000",45.356,"510,127,598,100",5.500
삼아알미늄,006110,2021,12,철강금속,2.09,-,500,"11,000,000",200,18.103,"2,200,000,000",0.800
삼아제약,009300,2021,12,제약,0.3,-,"1,000","6,370,000",250,44.983,"1,525,835,500",1.300
