,기업명,동향
340,그린플러스,0.5
341,코윈테크,0.46
342,덕산테코피아,0.5
343,슈프리마아이디,0.55
344,한국바이오젠,0.5
345,세경하이테크,0.44
346,윌링스,0.5
347,대모(구.대모엔지니어링),0.43
348,에이스토리,0.33
349,플리토,0.4
351,세틀뱅크,0.25
352,아이스크림에듀,0.33
353,펌텍코리아,0.5
354,에이에프더블류,1.0
358,압타바이오,0.67
359,까스텔바쟉,0.6
360,마이크로디지탈,0.5
363,수젠텍,0.33
364,컴퍼니케이파트너스,0.5
366,에스앤케이,0.0
369,아모그린텍,1.0
370,현대오토에버(유가),1.0
371,지노믹트리,1.0
373,이지케어텍,1.0
375,미래에셋벤처투자,1.0
376,드림텍(유가),1.0
377,에코프로비엠,1.0
378,셀리드,1.0
379,천보,1.0
380,이노테라피,1.0
381,노랑풍선,1.0
382,웹케시,1.0
383,에어부산(유가),0.63
384,비피도,0.62
387,유틸렉스,0.61
390,디케이티,0.6
393,위지윅스튜디오,0.59
395,에이비엘바이오,0.58
396,머큐리,0.59
397,전진바이오팜,0.58
398,뉴트리,0.57
400,이노메트리,0.59
401,대유에이피,0.57
403,에코캡,0.56
405,베스파,0.58
406,윙입푸드,0.6
408,남화산업,0.62
409,엠아이텍,0.61
410,티로보틱스,0.64
411,티앤알바이오팹,0.67
412,네오펙트,0.7
413,아시아나IDT(유가),0.74
414,디알젬,0.78
415,싸이토젠,0.76
416,파멥신,0.75
417,아주IB투자,0.8
418,디케이앤디,0.86
419,디자인,0.85
420,노바렉스,0.83
421,셀리버리,0.82
422,대보마그네틱,0.8
423,노바텍,0.78
424,엘앤씨바이오,0.75
426,옵티팜,0.71
427,로보티즈,0.83
428,에스퓨얼셀,0.8
429,나우아이비캐피탈,0.75
430,푸드나무,0.67
431,하나제약(유가),0.5
432,크리스에프앤씨,0.0
434,지티지웰니스,0.79
435,우진아이엔에스(유가),0.78
437,명성티엔에스,0.76
438,디지캡,0.75
440,액트로,0.73
441,오파스넷,0.71
442,에이피티씨,0.69
443,바이오솔루션,0.67
444,대유,0.73
446,디아이티,0.7
447,에스에스알,0.67
448,휴네시온,0.62
449,티웨이항공(유가),0.57
450,롯데정보통신(유가),0.67
451,한국유니온제약,0.6
452,엠코르셋,0.5
454,올릭스,0.67
455,아이큐어,0.5
456,에스브이인베스트먼트,1.0
458,이원다이애그노믹스,1.0
460,파워넷,1.0
461,현대사료,1.0
462,세종메디칼,1.0
463,제노레이,1.0
466,제이티씨(JTC),1.0
468,케어랩스,0.86
469,애경산업(유가),0.85
470,에코마이스터,0.92
471,린드먼아시아인베스트먼트,0.91
472,오스테오닉,0.9
473,엔지켐생명과학,0.89
474,동구바이오제약,0.88
475,알리코제약,0.86
476,아시아종묘,0.83
477,카페24,0.8
478,링크제니시스,0.75
479,배럴,0.67
480,에스지이,0.5
481,씨앤지하이테크,1.0
482,시스웍,0.67
484,디바이스이엔지,0.65
486,동양피스톤(유가),0.69
487,진에어(유가),0.73
488,씨티케이코스메틱스,0.79
489,메카로,0.85
490,에스트래픽,0.83
491,체리부로,0.82
492,대원,0.8
493,비즈니스온커뮤니케이션,0.78
494,삼양패키징(유가),0.75
496,스튜디오드래곤,0.86
498,비디아이,0.83
499,티슈진,0.8
500,테이팩스(유가),0.75
501,영화테크,0.67
502,세원,0.5
504,상신전자,0.0
505,야스,0.61
507,에스엔피월드,0.64
508,유티아이,0.67
509,신흥에스이씨,0.7
510,선익시스템,0.68
511,엠플러스,0.72
512,앱클론,0.71
513,샘코,0.69
514,펄어비스,0.67
515,케이피에스,0.71
516,덕우전자,0.77
517,이더블유케이,0.75
519,알에스오토메이션,0.73
520,컬러레이,0.7
522,모트렉스,0.78
523,데이타솔루션,0.88
524,지니언스,0.86
525,디앤씨미디어,0.83
526,셀트리온헬스케어,0.8
527,이즈미디어,0.75
529,힘스,0.67
530,브이원텍,0.5
531,아우딘퓨쳐스,0.0
532,제일홀딩스,0.67
536,보라티알,0.75
537,삼양옵틱스,0.71
539,필옵틱스,0.83
541,넷마블게임즈(유가),0.8
542,ING생명보험(유가),0.75
545,하나머티리얼즈,1.0
546,와이엠티,1.0
549,이엘피,1.0
550,서진시스템,0.75
551,코미코,0.73
552,아스타,0.7
553,덴티움(유가),0.67
555,에스디생명공학,0.62
556,신신제약,0.57
557,에프엔에스테크,0.5
558,모바일어플라이언스,0.4
560,피씨엘,0.25
561,호전실업(유가),0.33
562,서플러스글로벌,0.5
563,유바이오로직스,0.0
565,퓨전데이타,0.55
566,디에스씨인베스트먼트,0.53
567,티에스인베스트먼트,0.52
568,마이크로프랜드,0.5
569,코썬바이오,0.52
570,애니젠,0.54
571,유니온커뮤니티,0.56
572,신라젠,0.58
573,핸즈코퍼레이션(유가),0.6
575,퓨쳐켐,0.62
576,오션브릿지,0.61
577,엘앤케이바이오,0.59
578,뉴파워프라즈마,0.57
579,에이치엔티일렉트로닉스,0.6
580,핸디소프트,0.58
581,두산밥캣(유가),0.56
583,삼성바이오로직스(유가),0.53
584,클리오,0.56
585,오가닉티코스메틱,0.6
586,로고스바이오시스템스,0.57
588,인크로스,0.62
589,코스메카코리아,0.58
590,에이치엘사이언스(구.건강사랑),0.55
591,제이더블유생명과학(유가),0.5
592,그레이트리치과기,0.44
593,금세기차륜(골든센츄리),0.5
594,인텔리안테크놀로지스,0.43
595,에이치시티,0.5
596,잉글우드랩,0.4
597,앤디포스,0.25
598,수산아이앤티(구.플러스기술),0.0
599,미투온,0.0
600,화승엔터프라이즈(유가),0.0
602,엘에스전선아시아(유가),0.73
604,유니테크노,0.79
607,자이글,0.77
608,헝셩그룹,0.75
609,에코마케팅,0.82
610,팍스넷,0.8
611,두올(유가),0.78
612,엔지스테크널러지,0.88
613,우리손에프앤지,0.86
614,옵토팩,0.83
615,장원테크,0.8
616,대유위니아(구.위니아만도),0.75
617,한국자산신탁(유가),0.67
618,바이오리더스,1.0
619,피앤씨테크,1.0
620,로스웰,0.8
621,해성디에스(유가),0.78
622,녹십자랩셀,0.75
623,에스티팜,0.71
625,알엔투테크놀로지,0.67
627,용평리조트(유가),0.6
628,해태제과식품(유가),0.5
629,레이언스,0.33
630,씨엠에스에듀,0.5
631,동양파일,0.0
632,대림씨엔에스(유가),0.9
633,팬젠,1.0
635,에이피위성통신,1.0
638,큐리언트,1.0
639,안트로젠,1.0
640,제이에스코퍼레이션(유가),1.0
641,아이엠텍,1.0
642,유니트론텍,1.0
643,차이나크리스탈신소재,1.0
644,한솔씨앤피,1.0
645,에스와이패널,0.64
646,코리아오토글라스(유가),0.66
647,코디엠,0.65
648,잇츠스킨(유가),0.64
649,육일씨엔에쓰,0.63
650,휴젤,0.62
652,이에스브이,0.61
653,한국맥널티,0.59
654,아진산업,0.58
655,덱스터,0.57
656,씨트리,0.55
657,강스템바이오텍,0.54
658,메가엠디,0.52
660,파크시스템스,0.5
661,보광산업,0.48
663,뉴트리바이오텍,0.46
664,예스티,0.43
665,멕아이씨에스,0.41
666,엔에스,0.38
667,미래테크놀로지,0.35
668,세진중공업(유가),0.37
669,하이즈항공,0.39
670,엠지메드,0.41
671,리드,0.38
672,케이디켐,0.4
673,매직마이크로,0.43
674,네오오토,0.46
676,케어젠,0.5
677,아이진,0.55
678,나무가,0.6
679,유앤아이,0.67
680,금호에이치티(유가),0.75
681,제주항공(유가),0.86
683,더블유게임즈,0.83
684,연우,0.8
686,에이티젠,0.75
688,엑시콘,0.67
690,에치디프로,0.5
694,엘아이지넥스원(유가),0.0
696,제너셈,0.67
697,타이거일렉,0.65
698,아이콘트롤스(유가),0.69
699,동일제강(유가),0.73
700,인포마크,0.71
705,웹스,0.69
706,에이제이네트웍스(유가),0.67
708,파인텍,0.73
710,흥국에프엔비,0.7
713,칩스앤미디어,0.67
714,아시아경제신문사,0.62
715,아이쓰리시스템,0.71
716,로지시스,0.67
718,파마리서치프로덕트,0.6
720,펩트론,0.5
722,이노션(유가),0.33
725,토니모리(유가),0.5
726,미래에셋생명보험(유가),0.0
728,동운아나텍,0.85
729,유테크,0.83
731,민앤지,0.82
732,경보제약(유가),0.8
733,에스엔텍,0.78
734,코아스템,0.75
736,세미콘라이트,0.71
737,에스케이디앤디(유가),0.67
738,베셀,0.6
741,싸이맥스,0.5
743,픽셀플러스,0.67
746,제노포커스,1.0
755,유지인트,1.0
757,NS쇼핑(구.농수산홈쇼핑)(유가),0.67
759,세화아이엠씨(유가),1.0
760,포시에스,1.0
764,국일신동,0.74
765,영백씨엠,0.73
767,하이셈,0.72
768,휴메딕스,0.71
769,서전기전,0.7
771,오킨스전자,0.69
773,아스트,0.68
775,넥스트엔터테인먼트월드,0.71
776,아이티센,0.74
777,제일모직(구.삼성에버랜드)(유가),0.73
778,하이로닉,0.71
781,디티앤씨(구.디지털이엠씨),0.7
783,녹십자엠에스,0.68
784,랩지노믹스,0.67
785,에이디테크놀로지,0.65
786,비씨월드제약,0.69
788,알테오젠,0.67
790,에스케이씨코오롱피아이,0.71
791,대창스틸,0.77
792,에프엔씨엔터테인먼트,0.75
794,씨에스윈드(유가),0.82
796,텔콘,0.9
797,파티게임즈,1.0
800,디에이테크놀로지,1.0
801,삼성SDS(유가),1.0
805,테고사이언스,1.0
806,슈피겐코리아,1.0
807,테라셈,1.0
808,영우디에스피,1.0
811,메디아나,1.0
812,데브시스터즈,1.0
814,감마누,0.7
816,신화콘텍,0.67
817,쿠쿠전자(유가),0.75
818,파버나인,0.71
819,덕신하우징,0.83
820,창해에탄올,0.8
821,윈하이텍,0.75
822,아진엑스텍,0.67
824,화인베스틸(유가),0.5
825,트루윈,1.0
827,캐스텍코리아,1.0
828,BGF리테일(구.보광훼미리마트)(유가),1.0
831,오이솔루션,1.0
832,인터파크INT,1.0
833,한국정보인증,1.0
834,솔루에타,0.71
835,이지웰페어,0.75
837,기가레인(구.맥시스),0.74
838,인트로메딕,0.78
839,알티캐스트,0.76
840,현대공업,0.81
841,엔브이에이치코리아,0.8
842,디엠티,0.86
843,우리기업인수목적2호,0.92
844,신송홀딩스,0.92
845,라이온켐텍,0.91
846,램테크놀러지,0.9
847,미동전자통신,0.89
848,에이씨티,1.0
849,해성옵틱스,1.0
850,내츄럴엔도텍,1.0
851,현대로템(유가),1.0
852,테스나,1.0
853,파수닷컴,1.0
854,엘티씨,1.0
855,지엔씨에너지,1.0
856,아미코젠,1.0
857,금호N.T,1.0
858,파이오링크,1.0
859,KG이티에스,1.0
860,나스미디어,1.0
861,엑세스바이오,1.0
862,디에스알(유가),1.0
863,레고켐바이오사이언스,1.0
864,삼목강업,1.0
865,세호로보트,1.0
866,윈팩,0.75
867,코렌텍,0.71
868,제로투세븐,0.83
869,지디,0.8
870,아이원스,0.75
871,우리이앤엘,0.67
872,아이센스,1.0
873,포티스,1.0
874,씨에스엘쏠라,0.56
875,SBIAXES(구.AXES홀딩스),0.5
876,우리로광통신,0.57
877,디젠스,0.67
878,GMB코리아(유가),0.6
879,맥스로텍,0.75
880,와이엠씨,0.67
881,CJ헬로비전(유가),0.5
882,아바텍,1.0
883,코이즈,0.56
884,모다정보통신,0.5
885,나노스,0.43
886,에이제이렌터카(구.아주오토렌탈)(유가),0.33
887,우양에이치씨,0.4
888,엠씨넥스,0.5
889,네이블커뮤니케이션즈,0.67
890,디지탈옵틱,0.5
891,피엔티,1.0
892,사조씨푸드(유가),0.5
893,비아트론,0.67
894,에스비아이모기지,0.5
895,코오롱패션머티리얼(유가),1.0
896,빛샘전자,1.0
897,휴비스(유가),1.0
898,사람인에이치알,1.0
899,뉴로스,1.0
900,남화토건,1.0
902,동아팜텍,1.0
903,원익머트리얼즈,0.69
904,디엔에이링크,0.68
905,GS리테일(지에스리테일)(유가),0.67
906,나이스디앤비,0.7
907,시큐브,0.68
908,서암기계공업,0.71
909,인터지스(유가),0.7
910,씨유메디칼시스템,0.74
911,사파이어테크놀로지,0.72
912,넥스트리밍,0.76
913,티브이로직,0.81
914,에스에프씨,0.87
915,신진에스엠,0.93
916,이엠넷,1.0
917,와이지엔터테인먼트,1.0
918,쎄미시스코,1.0
919,아이테스트,1.0
920,테크윙,1.0
921,신흥기계,1.0
922,씨큐브,1.0
923,씨엔플러스,1.0
924,테라세미콘,1.0
925,케이맥,1.0
926,로보스타,1.0
927,넥솔론(유가),1.0
928,대한과학,1.0
929,피앤이솔루션,1.0
930,화진,1.0
931,제이씨케미칼,1.0
932,아이씨디,1.0
933,제닉,1.0
934,경봉,1.0
935,삼원강재(유가),1.0
936,상아프론테크,1.0
937,신세계인터내셔날(유가),1.0
938,나이벡,1.0
939,옵티시스,1.0
940,대양전기공업,1.0
941,한국항공우주산업(유가),0.59
942,하이마트(유가),0.56
943,탑금속,0.6
944,엠케이트렌드(유가),0.57
945,쓰리피시스템,0.54
946,코오롱플라스틱(유가),0.58
947,리켐,0.55
948,넥스트아이,0.5
949,완리인터내셔널홀딩스,0.56
950,KT스카이라이프(유가),0.62
