,기업명,동향
1260,다사테크,1.0
1261,에스에이티,1.0
1262,큐에스아이,1.0
1263,크레듀,1.0
1264,주연테크(유가),1.0
1265,화신테크,1.0
1266,고려반도체시스템,1.0
1267,인천도시가스(유가),1.0
1268,성창에어텍,1.0
1269,넥스턴,1.0
1270,제이티,1.0
1271,이녹스,1.0
1272,광진윈텍,1.0
1273,삼정펄프(유가),1.0
1274,용현비엠,1.0
1275,바텍,0.69
1276,엠디에스테크놀로지,0.67
1277,현대EP(유가),0.64
1278,평산,0.62
1279,엘씨텍,0.58
1280,지오텔,0.55
1281,트라이콤,0.6
1282,젠트로,0.67
1283,티엘아이,0.62
1284,엑스씨이,0.71
1285,한국전자금융,0.83
1286,미디어플렉스,0.8
1287,팬엔터테인먼트,0.75
1288,맥스엔지니어링,0.67
1289,사이버패스,0.5
1290,인포뱅크,1.0
1291,켐트로닉스,1.0
1292,오스코텍,1.0
