,기업명,수요예측일,청약일
135,삼영에스앤씨,2021.05.06,2021.05.12
136,삼성스팩4호,2021.05.06,2021.05.12
137,진시스템,2021.05.06,2021.05.14
138,NH스팩19호,2021.05.06,2021.05.12
139,샘씨엔에스,2021.05.03,2021.05.11
140,씨앤씨인터내셔널,2021.04.28,2021.05.07
141,에이치피오,2021.04.27,2021.05.04
142,하이스팩6호,2021.04.22,2021.04.29
143,SK아이이테크놀로지,2021.04.22,2021.04.29
144,쿠콘,2021.04.13,2021.04.20
145,해성티피씨,2021.04.06,2021.04.13
146,이삭엔지니어링,2021.04.06,2021.04.13
147,유진스팩6호,2021.03.23,2021.03.31
148,유안타스팩8호,2021.03.19,2021.03.26
149,엔시스,2021.03.16,2021.03.23
150,자이언트스텝,2021.03.09,2021.03.16
151,제노코,2021.03.09,2021.03.16
152,라이프시맨틱스,2021.03.08,2021.03.12
153,SK바이오사이언스,2021.03.04,2021.03.10
154,바이오다인,2021.03.02,2021.03.09
155,디비금융스팩9호,2021.03.02,2021.03.08
156,싸이버원,2021.02.24,2021.03.03
157,네오이뮨텍,2021.02.23,2021.03.05
158,프레스티지바이오로직스,2021.02.23,2021.03.03
159,나노씨엠에스,2021.02.22,2021.02.26
160,하나머스트스팩7호,2021.02.17,2021.02.24
161,IBKS스팩15호,2021.02.15,2021.02.19
162,뷰노,2021.02.08,2021.02.17
163,씨이랩,2021.02.08,2021.02.16
164,오로스테크놀로지,2021.02.08,2021.02.16
165,유일에너테크,2021.02.04,2021.02.16
166,피엔에이치테크,2021.01.28,2021.02.04
167,하나금융스팩17호,2021.01.25,2021.02.01
168,아이퀘스트,2021.01.20,2021.01.28
169,프레스티지바이오파마,2021.01.19,2021.01.26
170,와이더플래닛,2021.01.18,2021.01.26
171,레인보우로보틱스,2021.01.18,2021.01.26
172,신한스팩7호,2021.01.18,2021.01.26
173,솔루엠,2021.01.14,2021.01.22
174,모비릭스,2021.01.14,2021.01.20
175,핑거,2021.01.14,2021.01.22
176,씨앤투스성진,2021.01.12,2021.01.20
177,선진뷰티사이언스,2021.01.12,2021.01.19
178,엔비티,2021.01.06,2021.01.13
179,한국스팩9호,2021.01.06,2021.01.13
180,유안타스팩7호,2020.12.10,2020.12.18
181,석경에이티,2020.12.10,2020.12.16
182,대신밸런스스팩9호,2020.12.09,2020.12.15
183,프리시젼바이오,2020.12.08,2020.12.15
184,지놈앤컴퍼니,2020.12.07,2020.12.15
185,엔에이치스팩18호,2020.12.07,2020.12.14
186,알체라,2020.12.03,2020.12.11
187,에이치엠씨아이비스팩5호,2020.12.02,2020.12.08
188,에프앤가이드,2020.12.02,2020.12.09
189,티엘비,2020.11.30,2020.12.04
190,인바이오,2020.11.25,2020.12.03
191,퀀타매트릭스,2020.11.25,2020.12.01
192,이에스알켄달스퀘어리츠,2020.11.25,2020.12.08
193,명신산업,2020.11.24,2020.11.30
194,디비금융스팩8호,2020.11.24,2020.12.01
195,엔젠바이오,2020.11.23,2020.12.02
196,앱코,2020.11.17,2020.11.24
197,클리노믹스,2020.11.17,2020.11.24
198,엔에프씨,2020.11.16,2020.11.24
199,포인트모바일,2020.11.16,2020.11.24
200,제일전기공업,2020.11.10,2020.11.18
201,티앤엘,2020.11.09,2020.11.13
202,하나기술,2020.11.09,2020.11.16
203,에이플러스에셋어드바이저,2020.11.05,2020.11.11
204,고바이오랩,2020.11.03,2020.11.10
205,네패스아크,2020.11.02,2020.11.10
206,교촌에프앤비,2020.10.28,2020.11.04
207,소룩스,2020.10.23,2020.10.30
208,위드텍,2020.10.14,2020.10.21
209,센코,2020.10.13,2020.10.21
210,바이브컴퍼니,2020.10.12,2020.10.20
211,미코바이오메드,2020.10.06,2020.10.14
212,하이브(구.빅히트),2020.09.24,2020.10.06
213,피플바이오,2020.09.23,2020.10.08
214,넥스틴,2020.09.18,2020.09.25
215,원방테크,2020.09.08,2020.09.16
216,엔에이치스팩17호,2020.09.08,2020.09.15
217,비나텍,2020.09.07,2020.09.15
218,박셀바이오,2020.09.03,2020.09.11
219,압타머사이언스,2020.09.02,2020.09.08
220,비비씨,2020.09.02,2020.09.10
221,핌스,2020.09.02,2020.09.10
222,교보스팩10호,2020.08.31,2020.09.08
223,이오플로우,2020.08.27,2020.09.04
224,카카오게임즈,2020.08.26,2020.09.02
225,피엔케이피부임상연구센타,2020.08.25,2020.09.01
226,미래에셋대우스팩5호,2020.08.10,2020.08.19
227,아이디피,2020.08.06,2020.08.12
228,셀레믹스,2020.08.03,2020.08.11
229,브랜드엑스코퍼레이션,2020.07.30,2020.08.05
230,미투젠,2020.07.30,2020.08.06
231,코람코에너지플러스리츠,2020.07.28,2020.08.07
232,영림원소프트랩,2020.07.27,2020.08.04
233,한국파마,2020.07.22,2020.07.30
234,이루다,2020.07.20,2020.07.28
235,와이팜,2020.07.16,2020.07.22
236,제이알글로벌리츠,2020.07.16,2020.07.24
237,에이치엠씨아이비스팩4호,2020.07.15,2020.07.21
238,이엔드디,2020.07.14,2020.07.22
239,엠투아이,2020.07.09,2020.07.17
240,더네이쳐홀딩스,2020.07.08,2020.07.16
241,제놀루션,2020.07.08,2020.07.15
242,미래에셋맵스리츠1호,2020.07.08,2020.07.15
243,솔트룩스,2020.07.07,2020.07.14
244,하나금융스팩16호,2020.07.07,2020.07.15
245,티에스아이,2020.07.06,2020.07.14
246,에이프로,2020.07.02,2020.07.09
247,IBKS스팩13호,2020.07.01,2020.07.07
248,이지스레지던스리츠,2020.06.30,2020.07.08
249,소마젠,2020.06.22,2020.06.30
250,신도기연,2020.06.22,2020.06.26
251,위더스제약,2020.06.18,2020.06.26
252,SK바이오팜,2020.06.17,2020.06.24
253,마크로밀엠브레인,2020.06.15,2020.06.19
254,젠큐릭스,2020.06.10,2020.06.16
255,이지스밸류플러스리츠,2020.06.10,2020.06.17
256,IBKS스팩14호,2020.06.08,2020.06.12
257,엘이티,2020.06.04,2020.06.12
258,엔에이치스팩16호,2020.06.03,2020.06.09
259,에스씨엠생명과학,2020.06.02,2020.06.09
260,드림씨아이에스,2020.05.07,2020.05.13
261,이베스트스팩5호,2020.05.06,2020.05.12
262,케이프이에스스팩4호,2020.03.09,2020.03.13
263,엔피디,2020.02.25,2020.03.04
264,에스케이스팩6호,2020.02.25,2020.03.03
265,플레이디,2020.02.24,2020.03.03
266,서울바이오시스,2020.02.20,2020.02.27
267,제이앤티씨,2020.02.19,2020.02.25
268,켄코아에어로스페이스,2020.02.17,2020.02.21
269,레몬,2020.02.12,2020.02.20
270,서남,2020.02.04,2020.02.11
271,신영스팩6호,2020.01.29,2020.02.04
272,위세아이텍,2020.01.20,2020.01.30
273,케이비스팩20호,2020.01.13,2020.01.17
274,하나금융스팩15호,2020.01.09,2020.01.17
275,천랩,2019.12.12,2019.12.18
276,한화플러스스팩1호,2019.12.11,2019.12.17
277,피피아이,2019.12.10,2019.12.17
278,브릿지바이오테라퓨틱스,2019.12.09,2019.12.13
279,엔에이치스팩15호,2019.12.09,2019.12.13
280,메탈라이프,2019.12.09,2019.12.13
281,메드팩토,2019.12.05,2019.12.11
282,하이스팩5호,2019.12.05,2019.12.12
283,대신밸런스스팩8호,2019.12.03,2019.12.10
284,유안타스팩6호,2019.12.03,2019.12.10
285,신테카바이오,2019.12.02,2019.12.10
286,제이엘케이인스펙션,2019.11.26,2019.12.03
287,IBKS스팩12호,2019.11.25,2019.11.29
288,태웅로직스,2019.11.21,2019.11.27
289,에스케이스팩5호,2019.11.20,2019.11.26
290,리메드,2019.11.19,2019.11.26
291,코리아센터,2019.11.18,2019.11.22
292,IBKS스팩11호,2019.11.18,2019.11.22
293,유안타스팩5호,2019.11.13,2019.11.19
294,엔에이치프라임리츠,2019.11.13,2019.11.20
295,노터스,2019.11.07,2019.11.15
296,센트랄모텍,2019.11.07,2019.11.14
297,티움바이오,2019.11.05,2019.11.12
298,우양,2019.11.05,2019.11.12
299,코리아에셋투자증권,2019.11.04,2019.11.12
300,현대에너지솔루션,2019.11.04,2019.11.08
301,씨에스베어링,2019.11.04,2019.11.12
302,에스제이그룹,2019.10.31,2019.11.08
303,제테마,2019.10.30,2019.11.07
304,라파스,2019.10.25,2019.11.04
305,아이티엠반도체,2019.10.24,2019.10.31
306,미래에셋대우스팩4호,2019.10.22,2019.10.29
307,자이에스앤디,2019.10.21,2019.10.29
308,한화시스템,2019.10.21,2019.11.05
309,하나금융스팩14호,2019.10.16,2019.10.24
310,지누스,2019.10.16,2019.10.22
311,티라유텍,2019.10.16,2019.10.24
312,미디어젠,2019.10.14,2019.10.22
313,신한스팩6호,2019.10.14,2019.10.22
314,캐리소프트,2019.10.14,2019.10.22
315,케이엔제이,2019.10.10,2019.10.17
316,교보스팩9호,2019.10.07,2019.10.15
317,엔바이오니아,2019.10.07,2019.10.15
318,팜스빌,2019.10.01,2019.10.11
319,라온피플,2019.10.01,2019.10.11
320,아톤,2019.09.30,2019.10.08
321,대신밸런스스팩7호,2019.09.24,2019.10.01
322,녹십자웰빙,2019.09.24,2019.10.02
323,롯데리츠,2019.09.23,2019.10.11
324,유진스팩5호,2019.09.17,2019.09.24
325,케이비스팩19호,2019.09.16,2019.09.20
326,올리패스,2019.08.30,2019.09.06
327,라닉스,2019.08.29,2019.09.06
328,하나금융스팩13호,2019.08.29,2019.09.06
329,한독크린텍,2019.08.22,2019.08.28
330,상상인이안스팩2호,2019.08.13,2019.08.21
331,네오크레마,2019.08.07,2019.08.13
332,나노브릭,2019.08.01,2019.08.08
333,미래에셋대우스팩3호,2019.07.31,2019.08.08
334,에스피시스템스,2019.07.29,2019.08.06
335,레이,2019.07.22,2019.07.30
336,코윈테크,2019.07.18,2019.07.26
337,그린플러스,2019.07.18,2019.07.26
338,세경하이테크,2019.07.17,2019.07.23
339,덕산테코피아,2019.07.17,2019.07.24
340,한국바이오젠,2019.07.17,2019.07.24
341,슈프리마아이디,2019.07.16,2019.07.24
342,윌링스,2019.07.10,2019.07.17
343,대모(구.대모엔지니어링),2019.07.09,2019.07.16
344,에이스토리,2019.07.03,2019.07.10
345,플리토,2019.07.01,2019.07.09
346,세틀뱅크,2019.06.27,2019.07.05
347,이베스트이안스팩1호,2019.06.26,2019.07.03
348,아이스크림에듀,2019.06.25,2019.07.02
349,펌텍코리아,2019.06.18,2019.06.26
350,에이에프더블류,2019.06.12,2019.06.20
351,신영스팩5호,2019.06.10,2019.06.14
352,케이비스팩18호,2019.06.10,2019.06.14
353,신한스팩5호,2019.06.04,2019.06.11
354,압타바이오,2019.05.28,2019.06.04
355,까스텔바쟉,2019.05.27,2019.05.31
356,디비금융스팩7호,2019.05.22,2019.05.27
357,마이크로디지탈,2019.05.20,2019.05.28
358,유진스팩4호,2019.05.16,2019.05.23
359,컴퍼니케이파트너스,2019.05.08,2019.05.14
360,수젠텍,2019.05.07,2019.05.16
361,엔에이치스팩14호,2019.04.24,2019.04.30
362,에스앤케이,2019.04.17,2019.04.24
363,한화에스비아이스팩,2019.04.16,2019.04.23
364,하이스팩4호,2019.04.11,2019.04.18
365,현대오토에버,2019.03.13,2019.03.20
366,케이비스팩17호,2019.03.13,2019.03.19
367,아모그린텍,2019.03.12,2019.03.20
368,지노믹트리,2019.03.11,2019.03.19
369,이지케어텍,2019.03.05,2019.03.13
370,유안타스팩4호,2019.03.04,2019.03.12
371,미래에셋벤처투자,2019.02.27,2019.03.08
372,드림텍,2019.02.25,2019.03.05
373,에코프로비엠,2019.02.14,2019.02.22
374,셀리드,2019.01.29,2019.02.12
375,천보,2019.01.21,2019.01.29
376,이노테라피,2019.01.16,2019.01.24
377,노랑풍선,2019.01.15,2019.01.22
378,웹케시,2019.01.09,2019.01.17
379,에어부산,2018.12.13,2018.12.19
380,키움스팩5호,2018.12.12,2018.12.18
381,비피도,2018.12.11,2018.12.18
382,엔에이치스팩13호,2018.12.10,2018.12.17
383,유틸렉스,2018.12.10,2018.12.14
384,디케이티,2018.12.06,2018.12.13
385,에이비엘바이오,2018.12.06,2018.12.12
386,위지윅스튜디오,2018.12.06,2018.12.13
387,미래에셋대우스팩2호,2018.12.05,2018.12.13
388,한국스팩8호,2018.12.05,2018.12.11
389,신영스팩4호,2018.12.04,2018.12.12
390,삼성머스트스팩3호,2018.12.04,2018.12.11
391,대신밸런스스팩6호,2018.12.03,2018.12.11
392,머큐리,2018.11.29,2018.12.06
393,전진바이오팜,2018.11.28,2018.12.05
394,이노메트리,2018.11.27,2018.12.04
395,뉴트리,2018.11.27,2018.12.04
396,골든브릿지이안스팩5호,2018.11.22,2018.11.29
