,기업명,수요예측일,청약일
584,코스메카코리아,2016.10.11,2016.10.19
585,제이더블유생명과학,2016.10.10,2016.10.19
586,그레이트리치과기,2016.10.10,2016.10.18
587,금세기차륜(골든센츄리),2016.10.04,2016.10.11
588,인텔리안테크놀로지스,2016.09.28,2016.10.07
589,에이치시티,2016.09.28,2016.10.07
590,잉글우드랩,2016.09.26,2016.10.05
591,앤디포스,2016.09.26,2016.10.05
592,수산아이앤티(구.플러스기술),2016.09.22,2016.09.30
593,미투온,2016.09.20,2016.09.27
594,화승엔터프라이즈,2016.09.08,2016.09.22
595,케이비스팩10호,2016.09.07,2016.09.21
596,엘에스전선아시아,2016.09.05,2016.09.09
597,유니테크노,2016.08.31,2016.09.06
598,교보비엔케이스팩,2016.08.23,2016.08.30
599,하나금융스팩8호,2016.08.23,2016.08.31
600,자이글,2016.08.18,2016.08.26
601,헝셩그룹,2016.08.03,2016.08.09
602,에코마케팅,2016.07.18,2016.07.27
603,엔지스테크널러지,2016.07.13,2016.07.20
604,두올,2016.07.13,2016.07.20
605,팍스넷,2016.07.11,2016.07.20
606,우리손에프앤지,2016.07.11,2016.07.19
607,옵토팩,2016.07.05,2016.07.12
608,장원테크,2016.07.04,2016.07.08
609,대유위니아(구.위니아만도),2016.06.27,2016.07.05
610,한국자산신탁,2016.06.23,2016.07.01
611,바이오리더스,2016.06.22,2016.06.28
612,피앤씨테크,2016.06.16,2016.06.23
613,로스웰,2016.06.13,2016.06.20
614,해성디에스,2016.06.09,2016.06.16
615,에스티팜,2016.06.09,2016.06.16
616,녹십자랩셀,2016.06.08,2016.06.16
617,한국스팩4호,2016.06.07,2016.06.14
618,알엔투테크놀로지,2016.06.07,2016.06.14
619,미래에셋스팩5호,2016.05.25,2016.05.31
620,용평리조트,2016.05.10,2016.05.18
621,해태제과식품,2016.04.21,2016.04.28
622,레이언스,2016.03.24,2016.03.31
623,씨엠에스에듀,2016.03.24,2016.03.30
624,동양파일,2016.03.23,2016.03.29
625,대림씨엔에스,2016.03.15,2016.03.22
626,팬젠,2016.02.23,2016.03.03
627,하이에이아이스팩1호,2016.02.17,2016.02.24
628,IBKS스팩4호,2016.02.16,2016.02.22
629,에이피위성통신,2016.02.15,2016.02.24
630,케이비스팩9호,2016.02.15,2016.02.19
631,큐리언트,2016.02.15,2016.02.19
632,안트로젠,2016.01.27,2016.02.02
633,제이에스코퍼레이션,2016.01.20,2016.01.27
634,아이엠텍,2016.01.20,2016.01.27
635,차이나크리스탈신소재,2016.01.14,2016.01.22
636,유니트론텍,2016.01.14,2016.01.22
637,한솔씨앤피,2016.01.13,2016.01.20
638,에스와이패널,2015.12.14,2015.12.18
639,코리아오토글라스,2015.12.14,2015.12.22
640,육일씨엔에쓰,2015.12.10,2015.12.16
641,코디엠,2015.12.10,2015.12.16
642,대신밸런스스팩2호,2015.12.10,2015.12.16
643,이에스브이,2015.12.10,2015.12.16
644,잇츠스킨,2015.12.10,2015.12.18
645,아진산업,2015.12.09,2015.12.15
646,휴젤,2015.12.09,2015.12.16
647,한국맥널티,2015.12.08,2015.12.15
648,덱스터,2015.12.08,2015.12.15
649,메가엠디,2015.12.07,2015.12.11
650,씨트리,2015.12.07,2015.12.11
651,강스템바이오텍,2015.12.07,2015.12.11
652,동부스팩4호,2015.12.04,2015.12.10
653,파크시스템스,2015.12.03,2015.12.10
654,보광산업,2015.12.03,2015.12.10
655,예스티,2015.12.02,2015.12.09
656,뉴트리바이오텍,2015.12.01,2015.12.08
657,멕아이씨에스,2015.11.30,2015.12.04
658,하나금융스팩7호,2015.11.30,2015.12.08
659,엔에스,2015.11.16,2015.11.25
660,세진중공업,2015.11.12,2015.11.20
661,미래테크놀로지,2015.11.12,2015.11.20
662,엠지메드,2015.11.05,2015.11.12
663,매직마이크로,2015.11.05,2015.11.11
664,케이디켐,2015.11.04,2015.11.11
665,하이즈항공,2015.11.04,2015.11.13
666,리드,2015.11.04,2015.11.12
667,네오오토,2015.11.02,2015.11.10
668,골든브릿지스팩4호,2015.11.02,2015.11.10
669,아이진,2015.10.29,2015.11.05
670,나무가,2015.10.28,2015.11.04
671,유앤아이,2015.10.28,2015.11.03
672,케어젠,2015.10.27,2015.11.05
673,금호에이치티,2015.10.27,2015.11.03
674,에이치엠씨스팩3호,2015.10.21,2015.10.28
675,제주항공,2015.10.21,2015.10.29
676,더블유게임즈,2015.10.19,2015.10.27
677,연우,2015.10.15,2015.10.23
678,키움스팩4호,2015.10.15,2015.10.21
679,현대드림스팩4호,2015.10.07,2015.10.14
680,에이티젠,2015.10.07,2015.10.15
681,엑시콘,2015.10.06,2015.10.14
682,이베스트스팩3호,2015.10.01,2015.10.08
683,에치디프로,2015.09.23,2015.10.02
684,IBKS스팩3호,2015.09.21,2015.10.02
685,엘아이지넥스원,2015.09.17,2015.09.23
686,동부스팩3호,2015.09.16,2015.09.22
687,신영해피투모로우2호스팩,2015.09.15,2015.09.23
688,타이거일렉,2015.09.10,2015.09.17
689,동일제강,2015.09.10,2015.09.18
690,엔에이치스팩9호,2015.09.09,2015.09.16
691,제너셈,2015.09.09,2015.09.16
692,인포마크,2015.09.09,2015.09.16
693,아이콘트롤스,2015.09.08,2015.09.16
694,유진스팩3호,2015.08.26,2015.09.01
695,한국스팩3호,2015.08.18,2015.08.25
696,케이티비스팩3호,2015.08.12,2015.08.18
697,교보스팩5호,2015.08.10,2015.08.18
698,웹스,2015.08.05,2015.08.13
699,현대드림스팩3호,2015.08.05,2015.08.13
700,에이제이네트웍스,2015.08.04,2015.08.11
701,교보스팩4호,2015.07.30,2015.08.05
702,파인텍,2015.07.28,2015.08.05
703,미래에셋스팩4호,2015.07.24,2015.07.29
704,흥국에프엔비,2015.07.22,2015.07.30
705,케이비스팩8호,2015.07.21,2015.07.28
706,칩스앤미디어,2015.07.20,2015.07.28
707,아시아경제신문사,2015.07.15,2015.07.23
708,아이쓰리시스템,2015.07.14,2015.07.21
709,로지시스,2015.07.13,2015.07.21
710,엘아이지이에스스팩,2015.07.09,2015.07.17
711,파마리서치프로덕트,2015.07.08,2015.07.16
712,에스케이스팩2호,2015.07.07,2015.07.14
713,펩트론,2015.07.06,2015.07.14
714,한화에이스스팩2호,2015.07.02,2015.07.10
715,이노션,2015.07.01,2015.07.09
716,유안타스팩2호,2015.07.01,2015.07.07
717,토니모리,2015.06.24,2015.07.02
718,미래에셋생명보험,2015.06.22,2015.06.30
719,키움스팩3호,2015.06.22,2015.06.26
720,민앤지,2015.06.17,2015.06.23
721,골든브릿지스팩3호,2015.06.16,2015.06.23
722,동운아나텍,2015.06.16,2015.06.23
723,엔에이치스팩8호,2015.06.16,2015.06.23
724,유테크,2015.06.15,2015.06.19
725,코아스템,2015.06.11,2015.06.18
726,에스엔텍,2015.06.10,2015.06.18
727,경보제약,2015.06.10,2015.06.19
728,이베스트스팩2호,2015.06.10,2015.06.16
729,세미콘라이트,2015.06.09,2015.06.17
730,에스케이디앤디,2015.06.04,2015.06.11
731,베셀,2015.06.03,2015.06.09
732,하나머스트스팩5호,2015.06.02,2015.06.09
733,대신밸런스스팩1호,2015.06.01,2015.06.09
734,하이스팩3호,2015.05.29,2015.06.05
735,싸이맥스,2015.05.28,2015.06.05
736,엔에이치스팩7호,2015.05.27,2015.06.04
737,한화에이씨피씨스팩,2015.05.26,2015.06.02
738,픽셀플러스,2015.05.26,2015.06.03
739,제노포커스,2015.05.13,2015.05.19
740,미래에셋스팩3호,2015.05.07,2015.05.14
741,대우스팩3호,2015.04.29,2015.05.07
742,한화엠지아이스팩,2015.04.28,2015.05.08
743,대우에스비아이스팩1호,2015.04.22,2015.04.29
744,엔에이치스팩5호,2015.04.22,2015.04.28
745,유진에이씨피씨스팩2호,2015.04.13,2015.04.17
746,하나머스트스팩4호,2015.04.07,2015.04.14
747,한화에이스스팩1호,2015.04.01,2015.04.10
748,유지인트,2015.03.26,2015.04.03
749,케이티비스팩2호,2015.03.19,2015.03.25
750,케이비스팩7호,2015.03.11,2015.03.17
751,NS쇼핑(구.농수산홈쇼핑),2015.03.09,2015.03.17
752,세화아이엠씨,2015.03.03,2015.03.11
753,포시에스,2015.01.26,2015.02.03
754,골든브릿지스팩2호,2015.01.21,2015.01.28
755,국일신동,2014.12.15,2014.12.19
756,NH스팩2호,2014.12.15,2014.12.19
757,영백씨엠,2014.12.12,2014.12.19
758,케이비스팩6호,2014.12.11,2014.12.18
759,케이비스팩5호,2014.12.10,2014.12.16
760,교보스팩3호,2014.12.09,2014.12.16
761,현대드림스팩2호,2014.12.09,2014.12.18
762,오킨스전자,2014.12.09,2014.12.16
763,넥스트엔터테인먼트월드,2014.12.09,2014.12.16
764,하나머스트스팩3호,2014.12.09,2014.12.16
765,아스트,2014.12.09,2014.12.16
766,아이티센,2014.12.09,2014.12.16
767,서전기전,2014.12.08,2014.12.16
768,하이셈,2014.12.08,2014.12.16
769,휴메딕스,2014.12.08,2014.12.16
770,제일모직(구.삼성에버랜드),2014.12.03,2014.12.11
771,하나머스트스팩2호,2014.12.03,2014.12.09
772,하이로닉,2014.12.02,2014.12.09
773,디티앤씨(구.디지털이엠씨),2014.12.02,2014.12.09
774,엘아이지스팩2호,2014.12.02,2014.12.09
775,녹십자엠에스,2014.12.02,2014.12.09
776,랩지노믹스,2014.12.01,2014.12.08
777,에이디테크놀로지,2014.12.01,2014.12.05
778,우리에스엘스팩,2014.12.01,2014.12.09
779,동부스팩2호,2014.11.27,2014.12.03
780,알테오젠,2014.11.27,2014.12.03
781,비씨월드제약,2014.11.26,2014.12.04
782,한국스팩2호,2014.11.26,2014.12.02
783,에스케이씨코오롱피아이,2014.11.19,2014.11.27
784,에프엔씨엔터테인먼트,2014.11.18,2014.11.25
785,대창스틸,2014.11.18,2014.11.26
786,하이스팩2호,2014.11.13,2014.11.21
787,씨에스윈드,2014.11.13,2014.11.20
788,케이티비스팩1호,2014.11.10,2014.11.14
789,텔콘,2014.11.10,2014.11.14
790,IBKS스팩2호,2014.11.06,2014.11.12
791,디에이테크놀로지,2014.11.05,2014.11.11
792,파티게임즈,2014.11.04,2014.11.12
793,유안타스팩1호,2014.11.03,2014.11.11
794,삼성SDS,2014.10.29,2014.11.06
795,케이비스팩4호,2014.10.27,2014.11.04
796,교보위드스팩,2014.10.23,2014.10.29
797,현대에이블스팩1호,2014.10.22,2014.10.29
798,테고사이언스,2014.10.22,2014.10.29
799,슈피겐코리아,2014.10.20,2014.10.28
800,테라셈,2014.10.14,2014.10.21
801,영우디에스피,2014.10.13,2014.10.17
802,대우스팩2호,2014.10.06,2014.10.14
803,신한스팩2호,2014.09.24,2014.09.30
804,데브시스터즈,2014.09.18,2014.09.25
805,메디아나,2014.09.17,2014.09.25
806,KB스팩3호,2014.09.15,2014.09.23
807,감마누,2014.07.28,2014.08.05
808,우리스팩3호,2014.07.28,2014.08.05
809,쿠쿠전자,2014.07.23,2014.07.30
810,신화콘텍,2014.07.21,2014.07.31
811,덕신하우징,2014.07.15,2014.07.24
812,파버나인,2014.07.15,2014.07.24
813,창해에탄올,2014.07.14,2014.07.22
814,미래에셋스팩2호,2014.07.10,2014.07.15
815,윈하이텍,2014.07.10,2014.07.17
816,아진엑스텍,2014.07.08,2014.07.15
817,화인베스틸,2014.06.30,2014.07.10
818,트루윈,2014.06.24,2014.07.02
819,하나머스트스팩,2014.05.22,2014.05.29
820,캐스텍코리아,2014.05.08,2014.05.16
821,BGF리테일(구.보광훼미리마트),2014.04.24,2014.05.08
822,유진스팩1호,2014.04.21,2014.04.25
823,KB스팩2호,2014.04.10,2014.04.18
824,오이솔루션,2014.02.12,2014.02.18
825,인터파크INT,2014.01.16,2014.01.24
826,한국정보인증,2014.01.14,2014.01.22
827,솔루에타,2013.12.11,2013.12.17
828,이지웰페어,2013.12.11,2013.12.18
829,키움제2호스팩,2013.12.04,2013.12.10
830,인트로메딕,2013.12.03,2013.12.12
831,기가레인(구.맥시스),2013.11.26,2013.12.05
832,알티캐스트,2013.11.20,2013.11.28
833,엔브이에이치코리아,2013.11.20,2013.11.26
834,현대공업,2013.11.19,2013.11.26
835,우리기업인수목적2호,2013.11.07,2013.11.14
836,디엠티,2013.11.06,2013.11.15
837,신송홀딩스,2013.11.05,2013.11.12
838,램테크놀러지,2013.10.30,2013.11.07
839,라이온켐텍,2013.10.30,2013.11.08
840,미동전자통신,2013.10.28,2013.11.05
841,에이씨티,2013.10.23,2013.10.31
842,해성옵틱스,2013.10.22,2013.10.29
843,내츄럴엔도텍,2013.10.16,2013.10.22
844,현대로템,2013.10.15,2013.10.23
845,테스나,2013.10.01,2013.10.11
846,파수닷컴,2013.09.30,2013.10.08
847,엘티씨,2013.09.23,2013.09.27
848,지엔씨에너지,2013.09.12,2013.09.24
849,아미코젠,2013.08.29,2013.09.05
850,파이오링크,2013.07.18,2013.07.25
851,금호N.T,2013.07.17,2013.07.25
852,KG이티에스,2013.07.08,2013.07.16
853,나스미디어,2013.07.02,2013.07.09
854,엑세스바이오,2013.05.07,2013.05.14
855,디에스알,2013.04.29,2013.05.07
856,레고켐바이오사이언스,2013.04.23,2013.05.03
857,삼목강업,2013.04.11,2013.04.19
858,세호로보트,2013.03.20,2013.03.27
859,윈팩,2013.02.19,2013.02.26
860,코렌텍,2013.02.14,2013.02.22
861,제로투세븐,2013.01.30,2013.02.07
862,지디,2013.01.23,2013.02.01
863,아이원스,2013.01.22,2013.01.29
864,우리이앤엘,2013.01.17,2013.01.25
865,아이센스,2013.01.15,2013.01.22
866,포티스,2013.01.10,2013.01.18
867,씨에스엘쏠라,2012.12.12,2012.12.18
868,SBIAXES(구.AXES홀딩스),2012.11.20,2012.11.29
869,우리로광통신,2012.11.07,2012.11.16
870,디젠스,2012.11.06,2012.11.14
871,맥스로텍,2012.10.31,2012.11.08
872,GMB코리아,2012.10.31,2012.11.08
873,와이엠씨,2012.10.30,2012.11.06
874,CJ헬로비전,2012.10.24,2012.11.01
875,아바텍,2012.10.16,2012.10.26
876,코이즈,2012.09.12,2012.09.19
877,모다정보통신,2012.09.10,2012.09.14
878,나노스,2012.07.17,2012.07.25
879,에이제이렌터카(구.아주오토렌탈),2012.07.12,2012.07.19
880,우양에이치씨,2012.07.10,2012.07.19
881,엠씨넥스,2012.07.09,2012.07.17
882,네이블커뮤니케이션즈,2012.07.03,2012.07.11
883,디지탈옵틱,2012.06.27,2012.07.05
884,피엔티,2012.06.21,2012.06.28
885,사조씨푸드,2012.06.12,2012.06.20
886,비아트론,2012.04.17,2012.04.26
887,에스비아이모기지,2012.04.05,2012.04.17
888,코오롱패션머티리얼,2012.03.19,2012.03.28
889,빛샘전자,2012.03.07,2012.03.13
890,휴비스,2012.02.06,2012.02.14
891,사람인에이치알,2012.02.02,2012.02.10
892,뉴로스,2012.01.26,2012.02.07
893,남화토건,2012.01.09,2012.01.18
894,동아팜텍,2012.01.05,2012.01.11
895,원익머트리얼즈,2011.12.08,2011.12.16
896,나이스디앤비,2011.12.07,2011.12.15
897,GS리테일(지에스리테일),2011.12.07,2011.12.15
898,디엔에이링크,2011.12.05,2011.12.15
899,시큐브,2011.12.05,2011.12.13
900,서암기계공업,2011.11.30,2011.12.08
901,씨유메디칼시스템,2011.11.29,2011.12.07
902,인터지스,2011.11.29,2011.12.07
903,넥스트리밍,2011.11.16,2011.11.23
904,에스에프씨,2011.11.15,2011.11.22
905,티브이로직,2011.11.15,2011.11.23
906,사파이어테크놀로지,2011.11.15,2011.11.24
907,신진에스엠,2011.11.10,2011.11.18
908,이엠넷,2011.11.09,2011.11.18
909,와이지엔터테인먼트,2011.11.07,2011.11.15
910,쎄미시스코,2011.11.02,2011.11.10
911,테크윙,2011.10.25,2011.11.02
912,아이테스트,2011.10.24,2011.11.03
913,신흥기계,2011.10.20,2011.10.28
914,씨큐브,2011.10.19,2011.10.28
915,씨엔플러스,2011.10.17,2011.10.25
916,테라세미콘,2011.10.13,2011.10.21
917,케이맥,2011.10.05,2011.10.14
918,넥솔론,2011.09.28,2011.10.06
919,로보스타,2011.09.27,2011.10.06
920,대한과학,2011.09.22,2011.09.30
921,피앤이솔루션,2011.09.06,2011.09.16
922,화진,2011.07.20,2011.07.29
923,제이씨케미칼,2011.07.20,2011.07.29
924,제닉,2011.07.18,2011.07.26
925,아이씨디,2011.07.18,2011.07.27
926,경봉,2011.07.11,2011.07.20
927,상아프론테크,2011.07.06,2011.07.14
928,삼원강재,2011.07.04,2011.07.12
929,옵티시스,2011.06.29,2011.07.05
930,나이벡,2011.06.29,2011.07.06
931,신세계인터내셔날,2011.06.23,2011.07.01
932,대양전기공업,2011.06.17,2011.06.29
933,한국항공우주산업,2011.06.16,2011.06.24
934,하이마트,2011.06.15,2011.06.22
935,탑금속,2011.06.07,2011.06.16
936,쓰리피시스템,2011.06.02,2011.06.10
937,엠케이트렌드,2011.06.01,2011.06.09
938,완리인터내셔널홀딩스,2011.05.27,2011.06.03
939,리켐,2011.05.25,2011.06.03
940,넥스트아이,2011.05.25,2011.06.02
941,코오롱플라스틱,2011.05.25,2011.06.03
942,엘티에스,2011.05.19,2011.05.26
943,KT스카이라이프,2011.05.16,2011.05.24
944,세아특수강,2011.05.12,2011.05.24
945,케이엠에이치,2011.05.11,2011.05.17
946,골프존,2011.05.02,2011.05.12
947,한국종합기술,2011.04.11,2011.04.19
948,이퓨쳐,2011.04.11,2011.04.19
949,티케이케미칼,2011.04.07,2011.04.15
950,일진머티리얼즈,2011.02.16,2011.02.24
951,현대위아,2011.01.27,2011.02.10
952,부스타,2011.01.26,2011.02.15
953,나노신소재,2011.01.18,2011.01.27
954,케이아이엔엑스,2011.01.17,2011.01.25
955,티피씨,2011.01.17,2011.01.25
956,제이엔케이히터,2011.01.13,2011.01.21
957,엘비세미콘,2011.01.12,2011.01.20
958,딜리,2011.01.12,2011.01.20
959,블루콤,2011.01.11,2011.01.18
960,인트론바이오테크놀로지,2011.01.10,2011.01.18
961,씨그널정보통신,2011.01.07,2011.01.14
962,중국고섬공고,2011.01.07,2011.01.13
963,다나와,2011.01.06,2011.01.14
964,KB게임(KB스팩),2010.12.20,2010.12.24
965,티에스이,2010.12.16,2010.12.24
966,인텍플러스,2010.12.15,2010.12.22
967,두산엔진,2010.12.15,2010.12.22
968,대구도시가스,2010.12.08,2010.12.16
969,현대HCN,2010.12.08,2010.12.15
970,액트,2010.12.07,2010.12.16
971,IBKS스마트스팩,2010.12.07,2010.12.14
972,한전산업개발,2010.12.01,2010.12.09
973,대정화금,2010.12.01,2010.12.09
974,케이티스(구.한국인포서비스),2010.12.01,2010.12.09
975,동부티에스블랙펄스팩,2010.11.23,2010.11.30
976,하이제1호스팩,2010.11.18,2010.11.24
977,세우테크,2010.11.15,2010.11.23
978,대구방송,2010.11.11,2010.11.19
979,코라오홀딩스,2010.11.10,2010.11.19
980,케이티롤,2010.11.09,2010.11.18
981,시그네틱스,2010.11.09,2010.11.17
982,한국전자인증,2010.11.02,2010.11.11
983,코프라,2010.10.26,2010.11.05
984,디케이락,2010.10.25,2010.11.02
985,하나그린스팩1호,2010.10.25,2010.11.02
986,케이엔엔,2010.10.19,2010.10.26
987,아나패스,2010.10.18,2010.10.26
988,삼본정밀전자,2010.10.18,2010.10.28
989,부국퓨쳐스타즈스팩,2010.10.14,2010.10.20
990,아이텍반도체,2010.10.06,2010.10.15
991,누리플랜,2010.10.05,2010.10.14
992,인화정공,2010.10.04,2010.10.14
993,코렌,2010.10.04,2010.10.12
994,아이씨코리아,2010.09.30,2010.10.08
995,키움제1호스팩,2010.09.09,2010.09.15
996,휠라코리아,2010.09.06,2010.09.15
997,포메탈,2010.09.02,2010.09.10
998,케이티씨에스(구.한국인포데이타,2010.09.01,2010.09.08
999,성융광전투자,2010.08.31,2010.09.07
1000,다원시스,2010.08.30,2010.09.07
1001,알파칩스,2010.08.30,2010.09.08
1002,와이솔,2010.08.26,2010.09.02
1003,현대홈쇼핑,2010.08.26,2010.09.03
1004,이트레이드1호스팩,2010.08.25,2010.09.01
1005,씨젠,2010.08.24,2010.09.02
1006,에이치엠씨아이비1호스팩,2010.08.12,2010.08.20
1007,교보케이티비스팩,2010.08.11,2010.08.19
1008,에스비아이앤솔로몬드림스팩,2010.08.09,2010.08.13
1009,대신증권그로쓰알파,2010.08.09,2010.08.13
1010,한국투자신성장1호스팩,2010.08.09,2010.08.17
1011,도화종합기술공사,2010.07.27,2010.08.04
1012,엠에스오토텍,2010.07.19,2010.07.28
1013,이글루시큐리티,2010.07.15,2010.07.27
1014,인터로조,2010.07.14,2010.07.20
1015,아이마켓코리아,2010.07.13,2010.07.23
1016,하이텍팜,2010.07.12,2010.07.21
1017,웨이포트(홍콩),2010.07.06,2010.07.15
1018,우진,2010.07.06,2010.07.16
1019,크루셜텍,2010.07.05,2010.07.13
1020,에스디시스템,2010.06.30,2010.07.08
1021,한화스팩1호,2010.06.24,2010.06.30
1022,신영증권스팩1호,2010.06.16,2010.06.23
1023,웅진에너지,2010.06.15,2010.06.22
1024,처음앤씨,2010.06.07,2010.06.11
1025,유비벨록스,2010.06.03,2010.06.10
1026,케이엔디티앤아이,2010.05.26,2010.06.04
1027,히든챔피언제1호스팩,2010.05.26,2010.06.04
1028,솔라시아,2010.05.25,2010.05.31
1029,이연제약,2010.05.24,2010.06.01
1030,실리콘웍스,2010.05.19,2010.05.27
1031,투비소프트,2010.05.17,2010.05.25
1032,인피니트헬스케어(구.인피니트테,2010.05.10,2010.05.18
1033,모바일리더,2010.05.06,2010.05.14
1034,만도,2010.05.04,2010.05.12
1035,신한제1호스팩,2010.04.28,2010.05.11
1036,우리스팩1호,2010.04.26,2010.04.30
1037,삼성생명,2010.04.22,2010.05.04
1038,동아체육용품유한공사,2010.04.06,2010.04.15
1039,뉴프라이드,2010.04.02,2010.04.13
1040,케이씨에스,2010.03.26,2010.04.06
1041,차이나킹하이웨이,2010.03.16,2010.03.23
1042,동양밸류오션SPAC,2010.03.11,2010.03.17
1043,디지탈아리아,2010.03.11,2010.03.18
1044,현대드림투게더,2010.03.04,2010.03.11
1045,대한생명보험,2010.03.03,2010.03.10
1046,미래에셋스팩1호,2010.02.25,2010.03.04
1047,대우증권그린코리아SPAC,2010.02.17,2010.02.23
1048,이미지스테크놀로지,2010.02.04,2010.02.18
1049,인포바인,2010.01.20,2010.01.29
1050,차이나하오란리사이클링,2010.01.19,2010.01.27
1051,하이소닉,2010.01.19,2010.01.29
1052,에스이티아이,2010.01.18,2010.01.27
1053,모베이스,2010.01.18,2010.01.27
1054,에이치디시에스,2010.01.14,2010.01.22
1055,락앤락,2010.01.14,2010.01.21
1056,지역난방공사,2010.01.13,2010.01.22
1057,우리넷,2010.01.12,2010.01.19
1058,아세아텍,2010.01.08,2010.01.15
1059,영흥철강,2010.01.08,2010.01.18
1060,스타플렉스,2010.01.07,2010.01.19
1061,우노앤컴퍼니,2009.12.28,2010.01.06
1062,승화엘엠씨,2009.12.17,2009.12.24
1063,코디에스,2009.12.16,2009.12.23
1064,아이티엑스시큐리티,2009.12.08,2009.12.15
1065,위메이드엔터테인먼트,2009.12.03,2009.12.10
1066,KPX라이프사이언스,2009.12.03,2009.12.11
1067,멜파스,2009.12.01,2009.12.10
1068,동양피엔에프,2009.12.01,2009.12.11
1069,현대푸드시스템,2009.11.30,2009.12.08
1070,한전기술,2009.11.25,2009.12.04
1071,디오텍,2009.11.24,2009.12.03
1072,중국엔진집단유한공사,2009.11.16,2009.11.24
1073,이원컴포텍,2009.11.12,2009.11.20
1074,GKL,2009.11.04,2009.11.12
1075,강원비앤이,2009.11.02,2009.11.11
1076,이너스텍,2009.10.27,2009.11.03
1077,동방선기,2009.10.27,2009.11.03
1078,에스케이씨앤씨,2009.10.26,2009.11.04
1079,디엠씨,2009.10.20,2009.10.29
1080,진매트릭스,2009.10.20,2009.10.29
1081,스틸플라워,2009.10.09,2009.10.16
1082,비츠로셀,2009.10.09,2009.10.20
1083,진로,2009.09.28,2009.10.09
1084,동양생명,2009.09.23,2009.09.30
1085,한스바이오메드,2009.09.22,2009.09.30
1086,네오위즈벅스,2009.09.17,2009.09.25
1087,아이앤씨테크놀로지,2009.09.16,2009.09.24
1088,케이엔더블유,2009.09.10,2009.09.18
1089,에리트베이직,2009.09.10,2009.09.18
1090,쌍용머티리얼,2009.09.09,2009.09.17
1091,모린스,2009.09.08,2009.09.16
1092,디에스케이,2009.09.07,2009.09.15
1093,제넥신,2009.09.01,2009.09.08
1094,톱텍,2009.08.27,2009.09.04
1095,동국S&C,2009.08.06,2009.08.21
1096,에스앤더블류,2009.07.15,2009.07.28
1097,게임빌,2009.07.13,2009.07.23
1098,동일금속,2009.07.09,2009.07.17
1099,대우캐피탈,2009.06.10,2009.06.18
1100,한미파슨스건축사사무소,2009.06.02,2009.06.12
1101,동아지질,2009.05.26,2009.06.03
1102,어보브반도체,2009.05.20,2009.05.28
1103,조이맥스,2009.05.18,2009.05.26
1104,차이나그레이트스타인터내셔널리,2009.05.11,2009.05.20
1105,이엔에프테크놀로지,2009.05.11,2009.05.21
1106,뉴그리드테크놀로지,2009.05.08,2009.05.15
1107,중국원양자원유한공사,2009.05.04,2009.05.14
1108,해덕선기,2009.04.29,2009.05.12
1109,서울마린,2009.04.29,2009.05.12
1110,한국정밀기계,2009.04.27,2009.05.07
1111,STX엔파코,2009.04.27,2009.05.07
1112,흥국,2009.04.22,2009.04.30
1113,신텍,2009.04.15,2009.04.22
1114,티플랙스,2009.04.07,2009.04.15
1115,우림기계,2009.04.07,2009.04.17
1116,네프로아이티,2009.04.06,2009.04.14
1117,엔에스브이,2009.03.31,2009.04.08
1118,에스티오,2009.03.31,2009.04.09
1119,뷰웍스,2009.03.25,2009.04.03
1120,에스앤에스텍,2009.03.25,2009.04.02
1121,에이테크솔루션,2009.03.25,2009.04.07
1122,코오롱생명과학,2009.03.17,2009.03.27
1123,네오피델리티,2009.03.12,2009.03.20
1124,중국식품포장유한공사,2009.03.04,2009.03.17
1125,이수앱지스,2009.01.13,2009.01.20
1126,유비쿼스,2009.01.07,2009.01.15
1127,대성파인텍,2009.01.07,2009.01.14
1128,메디톡스,2008.12.26,2009.01.08
1129,엠게임,2008.12.01,2008.12.10
1130,아이컴포넌트,2008.11.25,2008.12.05
1131,연합과기공고유한공사,2008.11.18,2008.11.26
1132,LG파워콤,2008.11.12,2008.11.19
1133,에너지솔루션즈,2008.11.04,2008.11.14
1134,이크레더블,2008.10.06,2008.10.14
1135,심팩에이앤씨,2008.09.22,2008.10.08
1136,사이버다임,2008.09.17,2008.09.25
1137,세운메디칼,2008.09.10,2008.09.19
1138,케이제이프리텍,2008.09.02,2008.09.09
1139,마이크로컨텍솔루션,2008.09.01,2008.09.10
1140,삼강엠앤티,2008.07.10,2008.07.22
1141,LG이노텍,2008.07.07,2008.07.15
1142,아이엠,2008.07.03,2008.07.15
1143,코리아에스이,2008.06.26,2008.07.04
1144,한텍엔지니어링,2008.06.25,2008.07.08
1145,슈프리마,2008.06.24,2008.07.03
1146,명문제약,2008.06.24,2008.07.02
1147,서울옥션,2008.06.12,2008.06.20
1148,비유와상징,2008.06.12,2008.06.20
1149,이스트소프트,2008.06.11,2008.06.20
1150,씨디아이홀딩스,2008.06.09,2008.06.17
1151,윌덱스,2008.06.04,2008.06.12
1152,쎄트렉아이,2008.05.27,2008.06.05
1153,브리지텍,2008.05.19,2008.05.27
1154,고영테크놀러지,2008.05.16,2008.05.23
1155,제이씨엔터테인먼트,2008.05.14,2008.05.22
1156,테스,2008.04.28,2008.05.08
1157,우진비앤지,2008.04.28,2008.05.08
1158,세미텍,2008.04.24,2008.05.14
1159,엘디티,2008.04.15,2008.04.24
1160,예스이십사,2008.04.15,2008.04.24
1161,실리콘화일,2008.04.08,2008.04.17
