,검색량,기업명,날짜
0,100.0,코람코에너지플러스리츠,2020-08-07
1,16.35718,코람코에너지플러스리츠,2020-08-08
0,100.0,영림원소프트랩,2020-08-04
1,23.04263,영림원소프트랩,2020-08-05
0,100.0,한국파마,2020-07-30
1,26.17307,한국파마,2020-07-31
0,100.0,이루다,2020-07-28
1,38.20598,이루다,2020-07-29
0,100.0,와이팜,2020-07-22
1,30.23909,와이팜,2020-07-23
0,100.0,제이알글로벌리츠,2020-07-24
1,36.19575,제이알글로벌리츠,2020-07-25
0,100.0,이엔드디,2020-07-22
1,38.31026,이엔드디,2020-07-23
0,100.0,엠투아이,2020-07-17
1,14.4,엠투아이,2020-07-18
0,100.0,더네이쳐홀딩스,2020-07-16
1,21.69764,더네이쳐홀딩스,2020-07-17
0,100.0,제놀루션,2020-07-15
1,62.51418,제놀루션,2020-07-16
0,100.0,미래에셋맵스리츠1호,2020-07-15
1,47.28682,미래에셋맵스리츠1호,2020-07-16
0,100.0,솔트룩스,2020-07-14
1,41.84454,솔트룩스,2020-07-15
0,100.0,티에스아이,2020-07-14
1,40.05008,티에스아이,2020-07-15
0,100.0,에이프로,2020-07-09
1,23.64312,에이프로,2020-07-10
0,100.0,이지스레지던스리츠,2020-07-08
1,36.84829,이지스레지던스리츠,2020-07-09
0,100.0,소마젠,2020-06-30
1,87.57705,소마젠,2020-07-01
0,100.0,신도기연,2020-06-26
1,18.19843,신도기연,2020-06-27
0,100.0,위더스제약,2020-06-26
1,7.8131,위더스제약,2020-06-27
0,100.0,SK바이오팜,2020-06-24
1,44.10155,SK바이오팜,2020-06-25
0,100.0,마크로밀엠브레인,2020-06-19
1,15.54663,마크로밀엠브레인,2020-06-20
0,100.0,젠큐릭스,2020-06-16
1,54.465,젠큐릭스,2020-06-17
0,100.0,이지스밸류플러스리츠,2020-06-17
1,32.47863,이지스밸류플러스리츠,2020-06-18
0,100.0,엘이티,2020-06-12
1,28.46685,엘이티,2020-06-13
0,100.0,에스씨엠생명과학,2020-06-09
1,55.84837,에스씨엠생명과학,2020-06-10
0,100.0,드림씨아이에스,2020-05-13
1,62.79069,드림씨아이에스,2020-05-14
0,100.0,엔피디,2020-03-04
1,32.21062,엔피디,2020-03-05
0,100.0,플레이디,2020-03-03
1,53.13432,플레이디,2020-03-04
0,100.0,서울바이오시스,2020-02-27
1,47.78092,서울바이오시스,2020-02-28
0,100.0,제이앤티씨,2020-02-25
1,33.45724,제이앤티씨,2020-02-26
0,100.0,켄코아에어로스페이스,2020-02-21
1,19.94198,켄코아에어로스페이스,2020-02-22
0,100.0,레몬,2020-02-20
1,69.17763,레몬,2020-02-21
0,100.0,서남,2020-02-11
1,52.53863,서남,2020-02-12
0,100.0,위세아이텍,2020-01-30
1,63.31845,위세아이텍,2020-01-31
0,100.0,천랩,2019-12-18
1,41.6551,천랩,2019-12-19
0,100.0,피피아이,2019-12-17
1,56.17715,피피아이,2019-12-18
0,100.0,브릿지바이오테라퓨틱스,2019-12-13
1,20.13949,브릿지바이오테라퓨틱스,2019-12-14
0,100.0,메탈라이프,2019-12-13
1,35.5134,메탈라이프,2019-12-14
0,100.0,메드팩토,2019-12-11
1,51.32688,메드팩토,2019-12-12
0,100.0,신테카바이오,2019-12-10
1,77.21991,신테카바이오,2019-12-11
0,100.0,제이엘케이인스펙션,2019-12-03
1,39.55592,제이엘케이인스펙션,2019-12-04
0,100.0,태웅로직스,2019-11-27
1,57.18085,태웅로직스,2019-11-28
0,100.0,리메드,2019-11-26
1,43.28004,리메드,2019-11-27
0,100.0,코리아센터,2019-11-22
1,22.41873,코리아센터,2019-11-23
0,100.0,엔에이치프라임리츠,2019-11-20
1,25.47318,엔에이치프라임리츠,2019-11-21
0,100.0,노터스,2019-11-15
1,21.28623,노터스,2019-11-16
0,100.0,센트랄모텍,2019-11-14
1,28.56071,센트랄모텍,2019-11-15
0,100.0,티움바이오,2019-11-12
1,56.58174,티움바이오,2019-11-13
0,100.0,우양,2019-11-12
1,48.18565,우양,2019-11-13
0,100.0,코리아에셋투자증권,2019-11-12
1,37.86407,코리아에셋투자증권,2019-11-13
0,100.0,현대에너지솔루션,2019-11-08
1,19.97672,현대에너지솔루션,2019-11-09
0,100.0,씨에스베어링,2019-11-12
1,39.77186,씨에스베어링,2019-11-13
0,100.0,에스제이그룹,2019-11-08
1,16.65381,에스제이그룹,2019-11-09
0,100.0,제테마,2019-11-07
1,44.32515,제테마,2019-11-08
0,100.0,라파스,2019-11-04
1,57.63221,라파스,2019-11-05
0,100.0,아이티엠반도체,2019-10-31
1,44.35757,아이티엠반도체,2019-11-01
0,100.0,자이에스앤디,2019-10-29
1,47.31682,자이에스앤디,2019-10-30
0,100.0,한화시스템,2019-11-05
1,52.26995,한화시스템,2019-11-06
0,100.0,지누스,2019-10-22
1,59.42243,지누스,2019-10-23
0,100.0,티라유텍,2019-10-24
1,61.71032,티라유텍,2019-10-25
0,100.0,미디어젠,2019-10-22
1,41.79104,미디어젠,2019-10-23
0,100.0,캐리소프트,2019-10-22
1,88.21898,캐리소프트,2019-10-23
0,100.0,케이엔제이,2019-10-17
1,50.46554,케이엔제이,2019-10-18
0,100.0,엔바이오니아,2019-10-15
1,35.75498,엔바이오니아,2019-10-16
0,100.0,팜스빌,2019-10-11
1,18.50853,팜스빌,2019-10-12
0,100.0,라온피플,2019-10-11
1,28.17021,라온피플,2019-10-12
0,100.0,아톤,2019-10-08
1,22.98412,아톤,2019-10-09
0,100.0,녹십자웰빙,2019-10-02
1,30.38936,녹십자웰빙,2019-10-03
0,100.0,롯데리츠,2019-10-11
1,26.41703,롯데리츠,2019-10-12
0,100.0,올리패스,2019-09-06
1,34.97045,올리패스,2019-09-07
0,100.0,라닉스,2019-09-06
1,28.91891,라닉스,2019-09-07
0,100.0,한독크린텍,2019-08-28
1,47.38955,한독크린텍,2019-08-29
0,100.0,네오크레마,2019-08-13
1,49.7902,네오크레마,2019-08-14
0,100.0,나노브릭,2019-08-08
1,57.9171,나노브릭,2019-08-09
0,100.0,에스피시스템스,2019-08-06
1,34.26829,에스피시스템스,2019-08-07
0,100.0,레이,2019-07-30
1,88.8267,레이,2019-07-31
0,100.0,코윈테크,2019-07-26
1,22.69991,코윈테크,2019-07-27
0,100.0,그린플러스,2019-07-26
1,19.05697,그린플러스,2019-07-27
0,100.0,세경하이테크,2019-07-23
1,55.34177,세경하이테크,2019-07-24
0,100.0,덕산테코피아,2019-07-24
1,55.88536,덕산테코피아,2019-07-25
0,100.0,한국바이오젠,2019-07-24
1,60.66712,한국바이오젠,2019-07-25
0,100.0,슈프리마아이디,2019-07-24
1,42.66666,슈프리마아이디,2019-07-25
0,100.0,윌링스,2019-07-17
1,39.13857,윌링스,2019-07-18
0,87.34177,대모,2019-07-16
1,100.0,대모,2019-07-17
0,100.0,에이스토리,2019-07-10
1,30.77765,에이스토리,2019-07-11
0,100.0,플리토,2019-07-09
1,50.52585,플리토,2019-07-10
0,100.0,세틀뱅크,2019-07-05
1,26.65568,세틀뱅크,2019-07-06
0,100.0,아이스크림에듀,2019-07-02
1,45.89285,아이스크림에듀,2019-07-03
0,100.0,펌텍코리아,2019-06-26
1,58.78671,펌텍코리아,2019-06-27
0,100.0,에이에프더블류,2019-06-20
1,56.65051,에이에프더블류,2019-06-21
0,100.0,압타바이오,2019-06-04
1,79.6636,압타바이오,2019-06-05
0,100.0,까스텔바쟉,2019-05-31
