,name,type,day,gongmo_p,sicho_p
537,삼양옵틱스,kosdaq,20170602,16700,16700
538,IBKS스팩6호,kosdaq,20170601,2000,1980
539,필옵틱스,kosdaq,20170601,48000,48200
540,미래에셋대우스팩1호,kosdaq,20170526,2000,2000
541,넷마블게임즈(유가),kospi,20170512,157000,165000
542,ING생명보험(유가),kospi,20170511,33000,31200
543,한화에이스스팩3호,kosdaq,20170502,2000,2000
544,엔에이치스팩10호,kosdaq,20170502,2000,1995
545,하나머티리얼즈,kosdaq,20170428,12000,17500
546,와이엠티,kosdaq,20170427,21000,35100
547,케이비스팩11호,kosdaq,20170427,2000,2000
548,신영스팩3호,kosdaq,20170406,2000,2000
549,이엘피,kosdaq,20170406,20000,22000
550,서진시스템,kosdaq,20170327,25000,40000
551,코미코,kosdaq,20170323,13000,29050
552,아스타,kosdaq,20170320,8000,9700
553,덴티움(유가),kospi,20170315,32000,38200
554,대신밸런스스팩4호,kosdaq,20170303,2000,2000
555,에스디생명공학,kosdaq,20170302,12000,15200
556,신신제약,kosdaq,20170228,4500,6170
557,에프엔에스테크,kosdaq,20170227,14000,17050
558,모바일어플라이언스,kosdaq,20170224,3500,5900
559,신한스팩3호,kosdaq,20170223,2000,2010
560,피씨엘,kosdaq,20170223,8000,7800
561,호전실업(유가),kospi,20170202,25000,24500
562,서플러스글로벌,kosdaq,20170125,8000,8500
563,유바이오로직스,kosdaq,20170124,6000,5600
564,엔에이치스팩11호,kosdaq,20161228,2000,1990
565,퓨전데이타,kosdaq,20161221,11500,20750
566,디에스씨인베스트먼트,kosdaq,20161219,1700,3400
567,티에스인베스트먼트,kosdaq,20161215,1300,1470
568,마이크로프랜드,kosdaq,20161212,7300,6570
569,코썬바이오,kosdaq,20161209,7000,6300
570,애니젠,kosdaq,20161207,18000,17800
571,유니온커뮤니티,kosdaq,20161207,5000,4465
572,신라젠,kosdaq,20161206,15000,13500
573,핸즈코퍼레이션(유가),kospi,20161202,12000,10800
574,IBKS스팩5호,kosdaq,20161202,2000,2000
575,퓨쳐켐,kosdaq,20161201,15000,15750
576,오션브릿지,kosdaq,20161201,6600,7730
577,엘앤케이바이오,kosdaq,20161130,15000,15750
578,뉴파워프라즈마,kosdaq,20161130,17500,17500
579,에이치엔티일렉트로닉스,kosdaq,20161128,10000,12100
580,핸디소프트,kosdaq,20161124,5600,8180
581,두산밥캣(유가),kospi,20161118,30000,36000
582,에스케이스팩3호,kosdaq,20161116,2000,2050
583,삼성바이오로직스(유가),kospi,20161110,136000,135000
584,클리오,kosdaq,20161109,41000,39950
585,오가닉티코스메틱,kosdaq,20161104,4000,6510
586,로고스바이오시스템스,kosdaq,20161103,25500,25500
587,아이비케이에스지엠비스팩,kosdaq,20161102,2000,2050
588,인크로스,kosdaq,20161031,43000,67700
589,코스메카코리아,kosdaq,20161028,54000,71400
590,에이치엘사이언스(구.건강사랑),kosdaq,20161028,27000,38400
591,제이더블유생명과학(유가),kospi,20161027,30000,33050
592,그레이트리치과기,kosdaq,20161025,5000,5000
593,금세기차륜(골든센츄리),kosdaq,20161019,3500,4005
594,인텔리안테크놀로지스,kosdaq,20161018,19000,18750
595,에이치시티,kosdaq,20161017,17000,19500
596,잉글우드랩,kosdaq,20161014,6000,8360
597,앤디포스,kosdaq,20161012,14500,17500
598,수산아이앤티(구.플러스기술),kosdaq,20161011,11500,11500
599,미투온,kosdaq,20161010,3800,3420
600,화승엔터프라이즈(유가),kospi,20161004,15000,13500
601,케이비스팩10호,kosdaq,20160929,2000,2000
602,엘에스전선아시아(유가),kospi,20160922,8000,7200
603,모두투어리츠(유가),kospi,20160922,6000,5700
604,유니테크노,kosdaq,20160920,10300,12750
605,교보비엔케이스팩,kosdaq,20160908,2000,2100
606,하나금융스팩8호,kosdaq,20160908,2000,2010
607,자이글,kosdaq,20160906,11000,13600
608,헝셩그룹,kosdaq,20160818,3600,3240
609,에코마케팅,kosdaq,20160808,35000,68000
610,팍스넷,kosdaq,20160801,5200,10400
611,두올(유가),kospi,20160729,8500,8190
612,엔지스테크널러지,kosdaq,20160728,10000,19000
613,우리손에프앤지,kosdaq,20160727,2210,4000
614,옵토팩,kosdaq,20160720,5900,6210
615,장원테크,kosdaq,20160715,17500,22250
616,대유위니아(구.위니아만도),kosdaq,20160714,6800,7900
617,한국자산신탁(유가),kospi,20160713,10300,9900
618,바이오리더스,kosdaq,20160707,15000,17100
619,피앤씨테크,kosdaq,20160704,10200,11000
620,로스웰,kosdaq,20160630,3200,3915
621,해성디에스(유가),kospi,20160624,12000,16700
622,녹십자랩셀,kosdaq,20160623,18500,37000
623,에스티팜,kosdaq,20160623,29000,47000
624,한국스팩4호,kosdaq,20160622,2000,1950
625,알엔투테크놀로지,kosdaq,20160622,5800,12500
626,미래에셋스팩5호,kosdaq,20160609,2000,1995
627,용평리조트(유가),kospi,20160527,7000,9000
628,해태제과식품(유가),kospi,20160511,15100,18960
629,레이언스,kosdaq,20160411,25000,23700
630,씨엠에스에듀,kosdaq,20160407,23200,26800
631,동양파일,kosdaq,20160406,10000,9000
632,대림씨엔에스(유가),kospi,20160330,27700,24950
633,팬젠,kosdaq,20160311,16500,24900
634,하이에이아이스팩1호,kosdaq,20160308,2000,1970
635,에이피위성통신,kosdaq,20160304,9700,12400
636,IBKS스팩4호,kosdaq,20160302,2000,2030
637,케이비스팩9호,kosdaq,20160229,2000,1975
638,큐리언트,kosdaq,20160229,21000,33900
639,안트로젠,kosdaq,20160215,24000,38000
640,제이에스코퍼레이션(유가),kospi,20160204,23000,39100
641,아이엠텍,kosdaq,20160203,7500,8500
642,유니트론텍,kosdaq,20160202,14000,25300
643,차이나크리스탈신소재,kosdaq,20160128,3000,4000
644,한솔씨앤피,kosdaq,20160127,13000,18950
645,에스와이패널,kosdaq,20151229,5000,4700
646,코리아오토글라스(유가),kospi,20151229,11000,11600
647,코디엠,kosdaq,20151229,4700,7490
648,잇츠스킨(유가),kospi,20151228,170000,172000
649,육일씨엔에쓰,kosdaq,20151224,6000,6560
650,휴젤,kosdaq,20151224,150000,199500
651,대신밸런스스팩2호,kosdaq,20151224,2000,2000
652,이에스브이,kosdaq,20151224,10000,18500
653,한국맥널티,kosdaq,20151223,8000,16000
654,아진산업,kosdaq,20151222,6500,7620
655,덱스터,kosdaq,20151222,14000,24800
656,씨트리,kosdaq,20151221,6500,9250
657,강스템바이오텍,kosdaq,20151221,6000,7200
658,메가엠디,kosdaq,20151218,3000,5020
659,동부스팩4호,kosdaq,20151218,2000,2000
660,파크시스템스,kosdaq,20151217,9000,11000
661,보광산업,kosdaq,20151217,4000,6110
662,하나금융스팩7호,kosdaq,20151216,2000,2010
663,뉴트리바이오텍,kosdaq,20151216,21000,23000
664,예스티,kosdaq,20151216,14500,15500
665,멕아이씨에스,kosdaq,20151214,4500,8000
666,엔에스,kosdaq,20151207,8000,12950
667,미래테크놀로지,kosdaq,20151201,16100,14950
668,세진중공업(유가),kospi,20151130,3500,3495
669,하이즈항공,kosdaq,20151125,18000,16200
670,엠지메드,kosdaq,20151120,40000,41000
671,리드,kosdaq,20151120,5100,4590
672,케이디켐,kosdaq,20151119,16000,14850
673,매직마이크로,kosdaq,20151119,5500,5420
674,네오오토,kosdaq,20151118,12000,11800
675,골든브릿지스팩4호,kosdaq,20151118,2000,1990
676,케어젠,kosdaq,20151117,110000,101500
677,아이진,kosdaq,20151116,13500,12900
678,나무가,kosdaq,20151112,37000,33400
679,유앤아이,kosdaq,20151112,30000,28650
680,금호에이치티(유가),kospi,20151111,10000,9500
681,제주항공(유가),kospi,20151106,30000,49500
682,에이치엠씨스팩3호,kosdaq,20151105,2000,2020
683,더블유게임즈,kosdaq,20151104,65000,65100
684,연우,kosdaq,20151102,25200,28150
685,키움스팩4호,kosdaq,20151030,2000,2060
686,에이티젠,kosdaq,20151023,17000,34000
687,현대드림스팩4호,kosdaq,20151022,2000,2090
688,엑시콘,kosdaq,20151022,10000,10400
689,이베스트스팩3호,kosdaq,20151019,2000,2090
690,에치디프로,kosdaq,20151013,8900,9580
691,IBKS스팩3호,kosdaq,20151008,2000,2100
692,동부스팩3호,kosdaq,20151006,2000,2105
693,신영해피투모로우2호스팩,kosdaq,20151005,2000,2090
694,엘아이지넥스원(유가),kospi,20151002,76000,68400
695,엔에이치스팩9호,kosdaq,20150925,2000,2070
696,제너셈,kosdaq,20150925,10500,11000
697,타이거일렉,kosdaq,20150925,6000,5720
698,아이콘트롤스(유가),kospi,20150924,32000,31650
699,동일제강(유가),kospi,20150924,3000,3870
700,인포마크,kosdaq,20150923,14000,25000
701,유진스팩3호,kosdaq,20150909,2000,2105
702,한국스팩3호,kosdaq,20150902,2000,2125
703,케이티비스팩3호,kosdaq,20150828,2000,2185
704,교보스팩5호,kosdaq,20150827,2000,2300
705,웹스,kosdaq,20150824,7200,11400
706,에이제이네트웍스(유가),kospi,20150821,34300,30900
707,현대드림스팩3호,kosdaq,20150821,2000,2000
708,파인텍,kosdaq,20150817,10500,21000
709,교보스팩4호,kosdaq,20150813,2000,3365
710,흥국에프엔비,kosdaq,20150807,20000,40000
711,미래에셋스팩4호,kosdaq,20150806,2000,3130
712,케이비스팩8호,kosdaq,20150805,2000,2370
713,칩스앤미디어,kosdaq,20150805,10500,13700
714,아시아경제신문사,kosdaq,20150731,3600,3240
715,아이쓰리시스템,kosdaq,20150730,36000,63000
716,로지시스,kosdaq,20150729,2500,4180
717,엘아이지이에스스팩,kosdaq,20150727,2000,2770
718,파마리서치프로덕트,kosdaq,20150724,55000,110000
719,에스케이스팩2호,kosdaq,20150723,2000,2140
720,펩트론,kosdaq,20150722,16000,32000
721,한화에이스스팩2호,kosdaq,20150720,2000,2125
722,이노션(유가),kospi,20150717,68000,66500
723,유안타스팩2호,kosdaq,20150717,2000,2125
724,키움스팩3호,kosdaq,20150710,2000,2110
725,토니모리(유가),kospi,20150710,32000,64000
726,미래에셋생명보험(유가),kospi,20150708,7500,7400
727,골든브릿지스팩3호,kosdaq,20150630,2000,2035
728,동운아나텍,kosdaq,20150630,10000,12500
729,유테크,kosdaq,20150630,9000,12550
730,엔에이치스팩8호,kosdaq,20150630,2000,2080
731,민앤지,kosdaq,20150630,28000,56000
732,경보제약(유가),kospi,20150629,15000,30000
733,에스엔텍,kosdaq,20150626,6500,10000
734,코아스템,kosdaq,20150626,16000,32000
735,이베스트스팩2호,kosdaq,20150626,2000,2020
736,세미콘라이트,kosdaq,20150625,11300,11500
737,에스케이디앤디(유가),kospi,20150623,26000,52000
738,베셀,kosdaq,20150619,9000,13400
739,대신밸런스스팩1호,kosdaq,20150618,2000,2025
740,하나머스트스팩5호,kosdaq,20150618,2000,2025
741,싸이맥스,kosdaq,20150617,16300,15200
742,하이스팩3호,kosdaq,20150616,2000,2020
743,픽셀플러스,kosdaq,20150612,30000,27000
744,엔에이치스팩7호,kosdaq,20150612,2000,2130
745,한화에이씨피씨스팩,kosdaq,20150610,2000,2155
746,제노포커스,kosdaq,20150529,11000,22000
747,미래에셋스팩3호,kosdaq,20150522,2000,2255
748,대우스팩3호,kosdaq,20150519,2000,2600
749,한화엠지아이스팩,kosdaq,20150518,2000,2900
750,대우에스비아이스팩1호,kosdaq,20150513,2000,2365
751,엔에이치스팩5호,kosdaq,20150508,2000,2250
752,유진에이씨피씨스팩2호,kosdaq,20150428,2000,2315
753,하나머스트스팩4호,kosdaq,20150422,2000,3010
754,한화에이스스팩1호,kosdaq,20150420,2000,2245
755,유지인트,kosdaq,20150413,15000,29150
756,케이티비스팩2호,kosdaq,20150403,2000,2150
757,NS쇼핑(구.농수산홈쇼핑)(유가),kospi,20150327,235000,211500
758,케이비스팩7호,kosdaq,20150325,2000,2260
759,세화아이엠씨(유가),kospi,20150319,16300,18100
760,포시에스,kosdaq,20150211,9100,15500
761,골든브릿지스팩2호,kosdaq,20150205,2000,2220
762,현대드림스팩2호,kosdaq,20141229,2000,1995
763,케이비스팩6호,kosdaq,20141229,2000,2030
764,국일신동,kosdaq,20141229,1700,3225
765,영백씨엠,kosdaq,20141229,5500,11000
766,NH스팩2호,kosdaq,20141229,2000,2015
767,하이셈,kosdaq,20141226,1500,2610
768,휴메딕스,kosdaq,20141226,28000,43600
769,서전기전,kosdaq,20141224,6500,8000
770,교보스팩3호,kosdaq,20141224,2000,2005
771,오킨스전자,kosdaq,20141224,7100,11000
772,하나머스트스팩3호,kosdaq,20141224,2000,2015
773,아스트,kosdaq,20141224,9500,8550
774,케이비스팩5호,kosdaq,20141224,2000,2000
775,넥스트엔터테인먼트월드,kosdaq,20141223,16300,15800
776,아이티센,kosdaq,20141223,7500,8460
777,제일모직(구.삼성에버랜드)(유가),kospi,20141218,53000,106000
778,하이로닉,kosdaq,20141217,51000,63800
779,하나머스트스팩2호,kosdaq,20141217,2000,2000
780,우리에스엘스팩,kosdaq,20141217,2000,2000
781,디티앤씨(구.디지털이엠씨),kosdaq,20141217,18500,30000
782,엘아이지스팩2호,kosdaq,20141217,2000,2015
783,녹십자엠에스,kosdaq,20141217,6000,9000
784,랩지노믹스,kosdaq,20141216,13200,16650
785,에이디테크놀로지,kosdaq,20141216,15000,13500
786,비씨월드제약,kosdaq,20141215,15700,18100
787,동부스팩2호,kosdaq,20141212,2000,2010
788,알테오젠,kosdaq,20141212,26000,25150
789,한국스팩2호,kosdaq,20141210,2000,2015
790,에스케이씨코오롱피아이,kosdaq,20141208,8000,7800
791,대창스틸,kosdaq,20141205,2500,3605
792,에프엔씨엔터테인먼트,kosdaq,20141204,28000,25200
793,하이스팩2호,kosdaq,20141201,2000,2010
794,씨에스윈드(유가),kospi,20141127,43500,39150
795,케이티비스팩1호,kosdaq,20141124,2000,2030
796,텔콘,kosdaq,20141124,14500,13800
797,파티게임즈,kosdaq,20141121,13000,26000
798,IBKS스팩2호,kosdaq,20141120,2000,2030
799,유안타스팩1호,kosdaq,20141119,2000,2045
800,디에이테크놀로지,kosdaq,20141119,6600,7800
801,삼성SDS(유가),kospi,20141114,190000,380000
802,케이비스팩4호,kosdaq,20141112,2000,2080
803,현대에이블스팩1호,kosdaq,20141110,2000,3500
804,교보위드스팩,kosdaq,20141107,2000,2250
805,테고사이언스,kosdaq,20141106,13500,27000
806,슈피겐코리아,kosdaq,20141105,27500,37100
807,테라셈,kosdaq,20141030,3000,3200
808,영우디에스피,kosdaq,20141029,5000,5500
809,대우스팩2호,kosdaq,20141022,2000,2005
810,신한스팩2호,kosdaq,20141013,2000,1990
811,메디아나,kosdaq,20141007,6200,6370
812,데브시스터즈,kosdaq,20141006,53000,71000
813,KB스팩3호,kosdaq,20140930,2000,2045
814,감마누,kosdaq,20140814,11000,22000
815,우리스팩3호,kosdaq,20140813,2000,2150
816,신화콘텍,kosdaq,20140808,9100,8190
817,쿠쿠전자(유가),kospi,20140806,104000,180000
818,파버나인,kosdaq,20140804,12500,12300
819,덕신하우징,kosdaq,20140801,13000,21650
820,창해에탄올,kosdaq,20140730,8300,16600
821,윈하이텍,kosdaq,20140725,8300,13300
822,아진엑스텍,kosdaq,20140724,7000,7900
823,미래에셋스팩2호,kosdaq,20140723,2000,2110
824,화인베스틸(유가),kospi,20140722,4700,4490
825,트루윈,kosdaq,20140711,10500,17000
826,하나머스트스팩,kosdaq,20140610,2000,2330
827,캐스텍코리아,kosdaq,20140527,6500,11500
828,BGF리테일(구.보광훼미리마트)(유가),kospi,20140519,41000,57000
829,유진스팩1호,kosdaq,20140508,2000,2090
830,KB스팩2호,kosdaq,20140428,2000,2075
831,오이솔루션,kosdaq,20140227,10000,20000
832,인터파크INT,kosdaq,20140206,7700,15400
833,한국정보인증,kosdaq,20140204,1800,2900
834,솔루에타,kosdaq,20131227,24000,21600
835,이지웰페어,kosdaq,20131227,4400,7000
836,키움제2호스팩,kosdaq,20131220,2000,2020
837,기가레인(구.맥시스),kosdaq,20131219,5500,4950
838,인트로메딕,kosdaq,20131219,6000,6700
839,알티캐스트,kosdaq,20131206,8500,8500
840,현대공업,kosdaq,20131204,7500,8850
841,엔브이에이치코리아,kosdaq,20131203,4500,4440
842,디엠티,kosdaq,20131126,5700,5210
843,우리기업인수목적2호,kosdaq,20131121,2000,2005
844,신송홀딩스,kosdaq,20131121,6500,10900
845,라이온켐텍,kosdaq,20131119,12500,14200
846,램테크놀러지,kosdaq,20131118,3900,6250
847,미동전자통신,kosdaq,20131113,20000,19400
848,에이씨티,kosdaq,20131108,8100,12000
849,해성옵틱스,kosdaq,20131106,6600,7800
850,내츄럴엔도텍,kosdaq,20131031,40000,80000
851,현대로템(유가),kospi,20131030,23000,33700
852,테스나,kosdaq,20131022,13500,15300
853,파수닷컴,kosdaq,20131018,5800,6000
854,엘티씨,kosdaq,20131008,20500,25000
855,지엔씨에너지,kosdaq,20131002,6000,12000
856,아미코젠,kosdaq,20130912,25000,50000
857,금호N.T,kosdaq,20130802,3100,6200
858,파이오링크,kosdaq,20130801,10500,18500
859,KG이티에스,kosdaq,20130724,3800,4000
860,나스미디어,kosdaq,20130717,8800,15050
861,엑세스바이오,kosdaq,20130530,4500,9000
862,디에스알(유가),kospi,20130515,4000,5000
863,레고켐바이오사이언스,kosdaq,20130510,15500,19900
864,삼목강업,kosdaq,20130430,2600,3440
865,세호로보트,kosdaq,20130403,7800,14000
866,윈팩,kosdaq,20130307,4000,4050
867,코렌텍,kosdaq,20130305,16000,15950
868,제로투세븐,kosdaq,20130219,8300,13050
869,지디,kosdaq,20130213,18000,25150
870,아이원스,kosdaq,20130207,4500,5500
871,우리이앤엘,kosdaq,20130205,4900,4410
872,아이센스,kosdaq,20130130,19000,29200
873,포티스,kosdaq,20130129,3900,5700
874,씨에스엘쏠라,kosdaq,20121227,10000,12500
875,SBIAXES(구.AXES홀딩스),kosdaq,20121217,3600,3240
876,우리로광통신,kosdaq,20121127,10300,9270
877,디젠스,kosdaq,20121122,1800,2800
878,GMB코리아(유가),kospi,20121120,6000,5990
879,맥스로텍,kosdaq,20121116,7000,10650
880,와이엠씨,kosdaq,20121115,6000,7090
881,CJ헬로비전(유가),kospi,20121109,16000,15100
882,아바텍,kosdaq,20121106,6300,10500
883,코이즈,kosdaq,20120927,7500,9000
884,모다정보통신,kosdaq,20120925,7000,8900
885,나노스,kosdaq,20120802,7000,9280
886,에이제이렌터카(구.아주오토렌탈)(유가),kospi,20120727,7000,6460
887,우양에이치씨,kosdaq,20120726,5500,4950
888,엠씨넥스,kosdaq,20120725,15000,13500
889,네이블커뮤니케이션즈,kosdaq,20120719,9000,9920
890,디지탈옵틱,kosdaq,20120713,11500,10900
891,피엔티,kosdaq,20120706,17000,22300
892,사조씨푸드(유가),kospi,20120629,10600,10000
893,비아트론,kosdaq,20120504,15900,25500
894,에스비아이모기지,kosdaq,20120430,7000,6300
895,코오롱패션머티리얼(유가),kospi,20120405,14500,20000
896,빛샘전자,kosdaq,20120321,4400,8800
897,휴비스(유가),kospi,20120223,12200,12250
898,사람인에이치알,kosdaq,20120221,5000,10000
899,뉴로스,kosdaq,20120215,8500,13600
900,남화토건,kosdaq,20120131,3000,4000
901,케이탑리츠,kosdaq,20120131,5500,5550
902,동아팜텍,kosdaq,20120120,24000,35000
903,원익머트리얼즈,kosdaq,20111228,27000,40000
904,디엔에이링크,kosdaq,20111226,7700,15400
905,GS리테일(지에스리테일)(유가),kospi,20111223,19500,19500
906,나이스디앤비,kosdaq,20111222,1700,2450
907,시큐브,kosdaq,20111221,4900,4410
908,서암기계공업,kosdaq,20111219,3800,4000
909,인터지스(유가),kospi,20111216,10000,9000
910,씨유메디칼시스템,kosdaq,20111215,12000,16000
911,사파이어테크놀로지,kosdaq,20111205,65000,58500
912,넥스트리밍,kosdaq,20111202,6000,5400
913,티브이로직,kosdaq,20111201,12000,10850
914,에스에프씨,kosdaq,20111130,14000,12600
915,신진에스엠,kosdaq,20111128,15000,15000
916,이엠넷,kosdaq,20111125,6400,11400
917,와이지엔터테인먼트,kosdaq,20111123,34000,68000
918,쎄미시스코,kosdaq,20111118,9500,11100
919,아이테스트,kosdaq,20111111,2400,2690
920,테크윙,kosdaq,20111110,23000,30000
921,신흥기계,kosdaq,20111108,8500,16000
922,씨큐브,kosdaq,20111108,5750,7000
923,씨엔플러스,kosdaq,20111102,11500,15200
924,테라세미콘,kosdaq,20111101,13500,23800
925,케이맥,kosdaq,20111025,14500,24750
926,로보스타,kosdaq,20111017,5800,7800
927,넥솔론(유가),kospi,20111014,4000,6000
928,대한과학,kosdaq,20111011,3000,5010
929,피앤이솔루션,kosdaq,20110927,8000,8110
930,화진,kosdaq,20110810,4300,6330
931,제이씨케미칼,kosdaq,20110808,7200,10300
932,아이씨디,kosdaq,20110805,34000,62800
933,제닉,kosdaq,20110803,22000,35600
934,경봉,kosdaq,20110729,7100,10900
935,삼원강재(유가),kospi,20110722,4000,8000
936,상아프론테크,kosdaq,20110721,6000,7680
937,신세계인터내셔날(유가),kospi,20110714,65000,103000
938,나이벡,kosdaq,20110713,10000,15000
939,옵티시스,kosdaq,20110712,7600,11000
940,대양전기공업,kosdaq,20110708,9000,11200
941,한국항공우주산업(유가),kospi,20110630,15500,19300
942,하이마트(유가),kospi,20110629,59000,53100
943,탑금속,kosdaq,20110624,6500,8120
944,엠케이트렌드(유가),kospi,20110621,11000,15500
945,쓰리피시스템,kosdaq,20110617,5800,5800
946,코오롱플라스틱(유가),kospi,20110615,4300,6900
947,리켐,kosdaq,20110614,14000,18200
948,넥스트아이,kosdaq,20110614,10000,9000
949,완리인터내셔널홀딩스,kosdaq,20110613,4100,3850
950,KT스카이라이프(유가),kospi,20110603,17000,17500
951,엘티에스,kosdaq,20110602,34000,30600
952,세아특수강(유가),kospi,20110601,28000,32500
953,케이엠에이치,kosdaq,20110525,9500,8550
954,골프존,kosdaq,20110520,85000,94400
955,한국종합기술(유가),kospi,20110428,7100,9300
956,이퓨쳐,kosdaq,20110427,6400,12800
957,티케이케미칼,kosdaq,20110426,5000,4850
958,일진머티리얼즈(유가),kospi,20110304,15800,15300
959,부스타,kosdaq,20110223,4200,3780
960,현대위아(유가),kospi,20110221,65000,76500
961,나노신소재,kosdaq,20110209,17000,17550
962,케이아이엔엑스,kosdaq,20110208,8000,8000
963,티피씨,kosdaq,20110208,5200,7000
964,엘비세미콘,kosdaq,20110131,4700,4650
965,제이엔케이히터,kosdaq,20110131,13600,12250
966,딜리,kosdaq,20110131,8000,7600
967,블루콤,kosdaq,20110126,12000,18850
968,인트론바이오테크놀로지,kosdaq,20110126,6100,12200
969,중국고섬공고(유가),kospi,20110125,7000,6300
970,씨그널정보통신,kosdaq,20110124,8500,17000
971,다나와,kosdaq,20110124,14000,25800
972,인텍플러스,kosdaq,20110105,7000,14000
973,티에스이,kosdaq,20110105,45000,66600
974,KB게임(KB스팩),kosdaq,20110105,2500,2700
975,두산엔진(유가),kospi,20110104,19300,22350
976,액트,kosdaq,20101227,2700,2430
977,대구도시가스(유가),kospi,20101224,5400,5560
978,현대HCN(유가),kospi,20101223,3800,3420
979,IBKS스마트스팩,kosdaq,20101222,1000,990
980,대정화금,kosdaq,20101220,9200,13100
981,케이티스(구.한국인포서비스)(유가),kospi,20101217,2700,2920
982,한전산업개발(유가),kospi,20101216,5500,5490
983,동부티에스블랙펄스팩,kosdaq,20101208,2000,1970
984,하이제1호스팩,kosdaq,20101203,4000,4060
985,세우테크,kosdaq,20101201,5500,6500
986,코라오홀딩스(유가),kospi,20101130,4800,7300
987,대구방송,kosdaq,20101129,7500,7100
988,케이티롤,kosdaq,20101126,6800,8210
989,시그네틱스,kosdaq,20101126,2600,2700
990,한국전자인증,kosdaq,20101119,1600,1800
991,코프라,kosdaq,20101112,7000,14000
992,디케이락,kosdaq,20101112,7500,7480
993,하나그린스팩1호,kosdaq,20101110,4000,4210
994,아나패스,kosdaq,20101105,52000,54400
995,삼본정밀전자,kosdaq,20101105,8800,9300
996,케이엔엔,kosdaq,20101103,9000,8800
997,부국퓨쳐스타즈스팩,kosdaq,20101029,2000,2300
998,아이텍반도체,kosdaq,20101026,9100,9150
999,누리플랜,kosdaq,20101026,5500,8400
1000,인화정공,kosdaq,20101022,26000,30200
1001,코렌,kosdaq,20101022,5800,6300
1002,아이씨코리아,kosdaq,20101019,2800,4500
1003,키움제1호스팩,kosdaq,20101005,2000,2100
1004,휠라코리아(유가),kospi,20100928,35000,70000
1005,포메탈,kosdaq,20100917,6000,5710
1006,알파칩스,kosdaq,20100917,12000,15500
1007,케이티씨에스(구.한국인포데이타(유가),kospi,20100916,2600,3055
1008,성융광전투자,kosdaq,20100915,2800,2920
1009,다원시스,kosdaq,20100914,11000,11300
1010,현대홈쇼핑(유가),kospi,20100913,90000,124500
1011,이트레이드1호스팩,kosdaq,20100910,2000,2005
1012,씨젠,kosdaq,20100910,30500,27450
1013,와이솔,kosdaq,20100910,8000,7200
1014,에이치엠씨아이비1호스팩,kosdaq,20100831,2000,2120
1015,교보케이티비스팩,kosdaq,20100827,4000,3950
1016,에스비아이앤솔로몬드림스팩,kosdaq,20100824,1250,1235
1017,대신증권그로쓰알파,kosdaq,20100824,2000,1990
1018,한국투자신성장1호스팩,kosdaq,20100824,2200,2210
1019,도화종합기술공사(유가),kospi,20100812,22000,19800
1020,엠에스오토텍,kosdaq,20100806,5500,11000
1021,이글루시큐리티,kosdaq,20100804,14000,12600
1022,아이마켓코리아(유가),kospi,20100730,15300,22100
1023,인터로조,kosdaq,20100728,12000,10800
1024,하이텍팜,kosdaq,20100728,11500,16200
1025,우진(유가),kospi,20100726,15000,30000
1026,웨이포트(홍콩),kosdaq,20100723,1400,1395
1027,크루셜텍,kosdaq,20100721,23500,31900
1028,에스디시스템,kosdaq,20100716,14800,17500
1029,한화스팩1호,kosdaq,20100709,5000,4960
1030,신영증권스팩1호,kosdaq,20100702,1000,1065
1031,웅진에너지(유가),kospi,20100630,9500,12000
1032,유비벨록스,kosdaq,20100618,11000,12250
1033,처음앤씨,kosdaq,20100618,13000,12100
1034,케이엔디티앤아이,kosdaq,20100615,8500,11000
1035,히든챔피언제1호스팩,kosdaq,20100611,2000,1960
1036,이연제약(유가),kospi,20100610,16500,16500
1037,솔라시아,kosdaq,20100609,5000,9500
1038,실리콘웍스,kosdaq,20100608,67000,66900
1039,투비소프트,kosdaq,20100601,8000,16000
1040,인피니트헬스케어(구.인피니트테,kosdaq,20100526,5200,5940
1041,신한제1호스팩,kosdaq,20100525,5000,4500
1042,모바일리더,kosdaq,20100525,15000,21000
1043,만도(유가),kospi,20100519,83000,97000
1044,삼성생명(유가),kospi,20100512,110000,119500
1045,우리스팩1호(유가),kospi,20100511,10000,10500
1046,동아체육용품유한공사,kosdaq,20100423,5000,4500
1047,뉴프라이드,kosdaq,20100421,7500,15000
1048,케이씨에스,kosdaq,20100414,1600,3200
1049,차이나킹하이웨이,kosdaq,20100331,3700,4100
1050,디지탈아리아,kosdaq,20100326,11000,22000
1051,동양밸류오션SPAC(유가),kospi,20100325,10000,15000
1052,현대드림투게더,kosdaq,20100319,6000,6800
1053,대한생명보험(유가),kospi,20100317,8200,8700
1054,미래에셋스팩1호,kosdaq,20100312,1500,1540
1055,대우증권그린코리아SPAC(유가),kospi,20100303,3500,3705
1056,이미지스테크놀로지,kosdaq,20100226,6000,6000
1057,하이소닉,kosdaq,20100209,13000,14200
1058,인포바인,kosdaq,20100209,33000,36000
1059,차이나하오란리사이클링,kosdaq,20100205,4700,4350
1060,에스이티아이,kosdaq,20100204,17500,15750
1061,모베이스,kosdaq,20100204,13200,17000
1062,에이치디시에스,kosdaq,20100202,15000,18500
1063,지역난방공사(유가),kospi,20100129,45000,90000
1064,락앤락(유가),kospi,20100128,15700,20000
1065,우리넷,kosdaq,20100127,6700,9900
1066,스타플렉스,kosdaq,20100127,15000,15700
