,name,type,day,gongmo_p,sicho_p
123,에이치케이이노엔,kosdaq,20210809,59000,68100
124,카카오뱅크(유가),kospi,20210806,39000,53700
125,한화플러스스팩2호,kosdaq,20210805,2000,4000
126,에브리봇,kosdaq,20210728,36700,33050
127,맥스트,kosdaq,20210727,15000,30000
128,큐라클,kosdaq,20210722,25000,36500
129,에스디바이오센서(유가),kospi,20210716,52000,57000
130,오비고,kosdaq,20210713,14300,19200
131,아모센스,kosdaq,20210625,12400,12250
132,이노뎁,kosdaq,20210618,18000,22200
133,삼성머스트스팩5호,kosdaq,20210617,2000,4000
134,라온테크,kosdaq,20210617,18000,20250
135,엘비루셈,kosdaq,20210611,14000,18000
136,에이디엠코리아,kosdaq,20210603,3800,7600
137,제주맥주,kosdaq,20210526,3200,4780
138,진시스템,kosdaq,20210526,20000,19100
139,삼영에스앤씨,kosdaq,20210521,11000,22000
140,삼성스팩4호,kosdaq,20210521,2000,2070
141,NH스팩19호(유가),kospi,20210521,2000,2075
142,샘씨엔에스,kosdaq,20210520,6500,6400
143,씨앤씨인터내셔널,kosdaq,20210517,47500,47250
144,에이치피오,kosdaq,20210514,22200,20000
145,SK아이이테크놀로지(유가),kospi,20210511,105000,210000
146,하이스팩6호,kosdaq,20210510,2000,2060
147,쿠콘,kosdaq,20210428,45000,80000
148,해성티피씨,kosdaq,20210421,13000,26000
149,이삭엔지니어링,kosdaq,20210421,11500,23000
150,유진스팩6호,kosdaq,20210408,2000,2050
151,유안타스팩8호,kosdaq,20210405,2000,2030
152,엔시스,kosdaq,20210401,19000,38000
153,자이언트스텝,kosdaq,20210324,11000,22000
154,제노코,kosdaq,20210324,36000,65000
155,라이프시맨틱스,kosdaq,20210323,12500,25000
156,SK바이오사이언스(유가),kospi,20210318,65000,130000
157,바이오다인,kosdaq,20210317,30000,40000
158,네오이뮨텍,kosdaq,20210316,7500,15000
159,디비금융스팩9호,kosdaq,20210316,2000,2025
160,프레스티지바이오로직스,kosdaq,20210311,12400,12100
161,싸이버원,kosdaq,20210311,9500,18000
162,나노씨엠에스,kosdaq,20210309,20000,33000
163,하나머스트스팩7호,kosdaq,20210305,2000,2055
164,뷰노,kosdaq,20210226,21000,32900
165,IBKS스팩15호,kosdaq,20210226,2000,2060
166,유일에너테크,kosdaq,20210225,16000,32000
167,씨이랩,kosdaq,20210224,35000,46600
168,오로스테크놀로지,kosdaq,20210224,21000,42000
169,피엔에이치테크,kosdaq,20210216,18000,20500
170,하나금융스팩17호,kosdaq,20210210,2000,2045
171,프레스티지바이오파마(유가),kospi,20210205,32000,28800
172,아이퀘스트,kosdaq,20210205,11000,22000
173,신한스팩7호,kosdaq,20210204,2000,2020
174,와이더플래닛,kosdaq,20210203,16000,24900
175,레인보우로보틱스,kosdaq,20210203,10000,20000
176,솔루엠(유가),kospi,20210202,17000,34000
177,핑거,kosdaq,20210129,16000,32000
178,씨앤투스성진,kosdaq,20210128,32000,31700
179,모비릭스,kosdaq,20210128,14000,28000
180,선진뷰티사이언스,kosdaq,20210127,11500,23000
181,엔비티,kosdaq,20210121,19000,38000
182,한국스팩9호,kosdaq,20210121,2000,2020
183,유안타스팩7호,kosdaq,20201228,2000,2010
184,지놈앤컴퍼니,kosdaq,20201223,40000,80000
185,대신밸런스스팩9호,kosdaq,20201223,2000,2020
186,석경에이티,kosdaq,20201223,10000,20000
187,이에스알켄달스퀘어리츠(유가),kospi,20201223,5000,4970
188,프리시젼바이오,kosdaq,20201222,12500,25000
189,알체라,kosdaq,20201221,10000,20000
190,엔에이치스팩18호,kosdaq,20201221,2000,2025
191,에프앤가이드,kosdaq,20201217,7000,14000
192,에이치엠씨아이비스팩5호,kosdaq,20201216,2000,2000
