,기업명,경쟁률,의무보유확약,시초/공모%(수익률)
302,에이에프더블류,866.03:1,13.72%,24.44% 
303,신영스팩5호,,0.00%,100% 
304,케이비스팩18호,,0.00%,15% 
305,신한스팩5호,,0.00%,93% 
306,압타바이오,856.41:1,35.10%,67.33% 
307,까스텔바쟉,32.53:1,3.86%,41.67% 
308,디비금융스팩7호,,0.00%,4% 
309,마이크로디지탈,621.48:1,2.29%,78.48% 
310,유진스팩4호,,0.00%,25% 
311,컴퍼니케이파트너스,865.66:1,27.80%,82.22% 
312,수젠텍,75.21:1,3.15%,-7.08% 
313,엔에이치스팩14호,,0.00%,5.75% 
314,에스앤케이,317.30:1,11.59%,-9.9% 
315,한화에스비아이스팩,,0.00%,0.25% 
316,하이스팩4호,,0.00%,0.25% 
317,케이비스팩17호,,0.00%,-0.25% 
318,아모그린텍,164.22:1,3.05%,4.04% 
319,지노믹트리,372:1,22.80%,9.07% 
320,이지케어텍,1108.03:1,40.25%,100% 
321,유안타스팩4호,,0.00%,0.25% 
322,미래에셋벤처투자,441.4:1,3.70%,36.67% 
323,에코프로비엠,988.49:1,45.04%,27.29% 
324,셀리드,778.77:1,10.49%,32.58% 
325,천보,891.1:1,15.80%,31.25% 
326,이노테라피,154.44:1,2.83%,23.33% 
327,노랑풍선,978.43:1,12.42%,51.75% 
328,웹케시,614:1,6.80%,21.92% 
329,키움스팩5호,,0.00%,0% 
330,비피도,74.62:1,0.00%,100% 
331,엔에이치스팩13호,,0.00%,0% 
332,유틸렉스,597.20:1,18.63%,20.2% 
333,디케이티,771.42:1,3.50%,74.32% 
334,에이비엘바이오,60.08:1,10.99%,-10% 
335,위지윅스튜디오,177.33:1,1.13%,2.27% 
336,미래에셋대우스팩2호,,0.00%,0.75% 
337,한국스팩8호,,0.00%,0.25% 
338,신영스팩4호,,0.00%,0.25% 
339,삼성머스트스팩3호,,0.00%,0.25% 
340,대신밸런스스팩6호,,0.00%,0.25% 
341,머큐리,749.57:1,13.35%,57.87% 
342,전진바이오팜,14.69:1,27.20%,15.5% 
343,이노메트리,765.22:1,11.39%,53.85% 
344,뉴트리,28.68:1,0.00%,-10% 
345,골든브릿지이안스팩5호,,0.00%,0% 
346,에스케이에이씨피씨스팩4호,,0.00%,1% 
347,대유에이피,299.23:1,0.00%,100% 
348,교보스팩8호,,0.00%,1% 
349,하나머스트스팩6호,,0.00%,1% 
350,베스파,24.81,0.00%,-4.57% 
351,윙입푸드,131.15:1,0.00%,-10% 
352,티로보틱스,56.9,0.00%,-10% 
353,에코캡,20.66:1,0.00%,-2.38% 
354,티앤알바이오팹,101.9:1,1.00%,-10% 
355,엠아이텍,472.57:1,0.42%,-10% 
356,네오펙트,338.01:1,0.89%,-10% 
357,남화산업,822.09:1,6.14%,51.62% 
358,싸이토젠,608.85:1,0.70%,4.71% 
359,아주IB투자,40.55:1,0.00%,-10% 
360,디알젬,785.43:1,1.05%,30.31% 
361,파멥신,764.16:1,18.81%,-3.17% 
362,디케이앤디,256.3:1,0.00%,26.17% 
363,디자인,771.73,3.86%,100% 
364,노바렉스,48.64:1,18.99%,33.95% 
365,셀리버리,698.98:1,16.80%,28% 
366,대보마그네틱,995.40:1,45.41%,94.19% 
367,디비금융스팩6호,,0.00%,0.5% 
368,엘앤씨바이오,937.08:1,17.27%,24.17% 
369,노바텍,66.32:1,0.03%,41% 
370,옵티팜,94.57:1,11.60%,-10% 
371,로보티즈,958.60:1,39.80%,100% 
372,에스퓨얼셀,942.85:1,40.50%,100% 
373,크리스에프앤씨,7.89:1,0.00%,-10% 
374,푸드나무,791.08:1,16.50%,80.63% 
375,나우아이비캐피탈,63.17:1,0.00%,9.41% 
376,IBKS스팩10호,,0.00%,5.5% 
377,지티지웰니스,946.89:1,4.22%,38.64% 
378,명성티엔에스,745.56:1,11.73%,10% 
379,삼성스팩2호,,0.00%,1.5% 
380,디지캡,979.06:1,4.18%,10.42% 
381,대신밸런스스팩5호,,0.00%,2.5% 
382,액트로,132.07:1,1.86%,3.5% 
383,에이피티씨,20.99:1,8.70%,3.44% 
384,오파스넷,861.66:1,14.22%,63.64% 
385,바이오솔루션,174.79:1,5.04%,-2.76% 
386,대유,148.39:1,0.00%,47.22% 
387,에스에스알,928.44:1,41.62%,100% 
388,휴네시온,751.89:1,8.90%,50% 
389,디아이티,105.14:1,6.80%,5.5% 
390,한국유니온제약,918.99:1,9.40%,27.78% 
391,엠코르셋,766.05:1,16.40%,-3.91% 
392,IBKS스팩9호,,0.00%,12.5% 
393,올릭스,876.72:1,74.03%,100% 
394,아이큐어,642.1:1,5.08%,-10% 
395,에스브이인베스트먼트,786.73:1,4.70%,28.57% 
396,이원다이애그노믹스,749.79:1,27.87%,38.46% 
397,파워넷,590.60:1,7.66%,55.38% 
398,하나금융스팩11호,,0.00%,0% 
399,현대사료,839.16:1,31.92%,100% 
400,세종메디칼,836.68:1,39.75%,54% 
401,제노레이,907.12:1,32.59%,99.57% 
402,한국스팩7호,,0.00%,0% 
403,유안타스팩3호,,0.00%,-1% 
404,대신밸런스스팩3호,,0.00%,0.25% 
405,제이티씨(JTC),478:1,24.17%,65.29% 
406,케어랩스,934.42:1,40.19%,100% 
407,린드먼아시아인베스트먼트,640.8:1,27.40%,100% 
408,에코마이스터,15.54:1,0.00%,34.62% 
409,엔지켐생명과학,258.68:1,13.25%,55.36% 
410,오스테오닉,442:1,1.70%,100% 
411,동구바이오제약,727.70:1,53.41%,100% 
412,아시아종묘,239.52:1,4.39%,0.44% 
413,알리코제약,389.27:1,9.38%,50.83% 
414,카페24,672.71:1,42.90%,48.25% 
415,링크제니시스,754.60:1,35.90%,76.67% 
416,배럴,298.48:1,9.06%,9.47% 
417,에스지이,17.03:1,0.00%,-10% 
418,씨앤지하이테크,249.23:1,0.00%,16.25% 
419,시스웍,78.86:1,0.44%,36.07% 
420,한국스팩6호,,0.00%,-1.75% 
421,디바이스이엔지,11.40:1,0.00%,-10% 
422,동부스팩5호,,0.00%,0.5% 
423,메카로,719.26:1,42.07%,30.3% 
424,씨티케이코스메틱스,188.65:1,6.60%,-10% 
425,에스트래픽,605.02:1,13.40%,100% 
426,대원,247.25:1,0.20%,6.67% 
427,체리부로,265.38:1,0.40%,6.81% 
428,비즈니스온커뮤니케이션,513.97:1,14.90%,87.78% 
429,한화에이스스팩4호,,0.00%,0.5% 
430,IBKS스팩7호,,0.00%,1.5% 
431,비디아이,53.95:1,0.00%,76% 
432,티슈진,299.49:1,22.45%,92.59% 
433,영화테크,61.83:1,0.00%,100% 
434,신한스팩4호,,0.00%,0% 
435,세원,90.67:1,0.00%,50.88% 
436,상신전자,601.54:1,0.00%,0% 
437,IBKS스팩8호,,0.00%,4% 
438,에스엔피월드,534.27:1,4.97%,0% 
439,야스,28.90:1,7.15%,-10% 
440,유티아이,5.05:1,0.40%,-10% 
441,신흥에스이씨,482.4:1,33.10%,83.75% 
442,엠플러스,596.2:1,27.20%,57.5% 
443,선익시스템,7.87:1,0.00%,-10% 
444,샘코,19.26:1,0.96%,9.09% 
445,앱클론,564.87:1,21.72%,100% 
446,펄어비스,62.40:1,6.22%,-10% 
447,케이피에스,75.3:1,0.00%,-3.57% 
448,덕우전자,282.69:1,11.35%,9.03% 
449,하나금융스팩10호,,0.00%,1% 
450,이더블유케이,588.13:1,25.95%,100% 
451,컬러레이,60.49:1,0.00%,-3.68% 
452,엔에이치스팩12호,,0.00%,2% 
453,알에스오토메이션,656.89:1,61.00%,99.17% 
454,모트렉스,357.12:1,11.24%,-0.78% 
455,디앤씨미디어,539.1:1,33.50%,61.5% 
456,데이타솔루션,395.83:1,23.09%,100% 
457,지니언스,620.04:1,14.50%,48.52% 
458,셀트리온헬스케어,38.06:1,12.50%,6.46% 
459,이즈미디어,129.22:1,1.38%,12% 
460,한국스팩5호,,0.00%,1% 
461,힘스,729.64:1,27.48%,62.5% 
462,아우딘퓨쳐스,182.60:1,0.00%,-10% 
463,브이원텍,557.47:1,8.30%,13.56% 
464,제일홀딩스,113.98:1,2.88%,-9.9% 
465,하나금융스팩9호,,0.00%,-2.25% 
466,교보스팩7호,,0.00%,1% 
467,한화수성스팩,,0.00%,1% 
468,보라티알,557.61:1,13.30%,32.17% 
469,삼양옵틱스,33.2:1,8.70%,0% 
470,필옵틱스,647.18:1,13.25%,0.42% 
471,IBKS스팩6호,,0.00%,-1% 
472,미래에셋대우스팩1호,,0.00%,0% 
473,엔에이치스팩10호,,0.00%,-0.25% 
474,한화에이스스팩3호,,0.00%,0% 
475,하나머티리얼즈,689.90:1,49.73%,45.83% 
476,케이비스팩11호,,0.00%,0% 
477,와이엠티,706.16:1,42.75%,67.14% 
478,신영스팩3호,,0.00%,0% 
479,이엘피,527.12:1,11.26%,10% 
480,서진시스템,588.93:1,36.65%,60% 
481,코미코,580.68:1,30.91%,123.46% 
482,아스타,18.4:1,0.00%,21.25% 
483,대신밸런스스팩4호,,0.00%,0% 
484,에스디생명공학,26.66:1,0.00%,26.67% 
485,모바일어플라이언스,471.31:1,19.13%,68.57% 
486,신한스팩3호,,0.00%,0.5% 
487,에프엔에스테크,624.02:1,6.26%,21.79% 
488,신신제약,40.88:1,0.06%,37.11% 
489,피씨엘,6.61:1,0.46%,-2.5% 
490,서플러스글로벌,81.31:1,1.04%,6.25% 
491,유바이오로직스,31.09:1,0.00%,-6.67% 
492,엔에이치스팩11호,,0.00%,-0.5% 
493,퓨전데이타,345.36:1,12.05%,80.43% 
494,디에스씨인베스트먼트,11.2:1,0.00%,100% 
495,티에스인베스트먼트,30.87:1,0.00%,13.08% 
496,마이크로프랜드,124.3:1,0.00%,-10% 
497,코썬바이오,54.22:1,0.00%,-10% 
498,신라젠,74.98:1,0.00%,-10% 
499,애니젠,93.9:1,0.00%,-1.11% 
500,유니온커뮤니티,134.5:1,0.00%,-10.7% 
501,IBKS스팩5호,,0.00%,0% 
502,퓨쳐켐,62.51:1,0.00%,5% 
503,뉴파워프라즈마,501.2:1,7.80%,0% 
504,오션브릿지,617.92:1,10.75%,17.12% 
505,엘앤케이바이오,220.1:1,0.00%,5% 
506,에이치엔티일렉트로닉스,132.1:1,0.00%,21% 
507,핸디소프트,262.22:1,0.00%,46.07% 
508,에스케이스팩3호,,0.00%,2.5% 
509,클리오,153.08:1,10.42%,-2.56% 
510,오가닉티코스메틱,672.02:1,11.30%,62.75% 
511,로고스바이오시스템스,190.16:1,0.53%,0% 
512,아이비케이에스지엠비스팩,,0.00%,2.5% 
513,인크로스,492.1:1,6.10%,57.44% 
514,에이치엘사이언스(구.건강사랑),274.19:1,5.60%,42.22% 
515,코스메카코리아,573.0:1,30.80%,32.22% 
516,그레이트리치과기,140.75:1,4.32%,0% 
517,금세기차륜(골든센츄리),181.93:1,0.55%,14.43% 
518,인텔리안테크놀로지스,319:1,1.30%,-1.32% 
519,에이치시티,95.67:1,11.60%,14.71% 
520,잉글우드랩,226.37:1,0.00%,39.33% 
521,앤디포스,406.09:1,10.60%,20.69% 
522,수산아이앤티(구.플러스기술),157.55:1,0.64%,0% 
523,미투온,73.1:1,0.00%,-10% 
524,케이비스팩10호,,0.00%,0% 
525,유니테크노,233.84:1,0.00%,23.79% 
526,교보비엔케이스팩,,0.00%,5% 
527,하나금융스팩8호,,0.00%,0.5% 
528,자이글,18.90:1,0.00%,23.64% 
529,헝셩그룹,93.06:1,0.00%,-10% 
530,에코마케팅,941.86:1,0.00%,94.29% 
531,엔지스테크널러지,475.6:1,21.20%,90% 
532,팍스넷,753.07:1,5.19%,100% 
533,우리손에프앤지,455.1:1,40.40%,81% 
534,옵토팩,397.4:1,2.82%,5.25% 
535,장원테크,216.32:1,11.30%,27.14% 
536,대유위니아(구.위니아만도),76.75:1,1.32%,16.18% 
537,바이오리더스,352.2:1,6.50%,14% 
538,피앤씨테크,306.39:1,10.89%,7.84% 
539,로스웰,386.96:1,26.60%,22.34% 
540,에스티팜,717.41:1,60.03%,62.07% 
541,녹십자랩셀,733.72:1,51.66%,100% 
542,한국스팩4호,,0.00%,-2.5% 
543,알엔투테크놀로지,570.26:1,0.00%,115.52% 
544,미래에셋스팩5호,,0.00%,-0.25% 
545,레이언스,430.31:1,20.70%,-5.2% 
546,씨엠에스에듀,302.17:1,28.83%,15.52% 
547,동양파일,12.56:1,0.00%,-10% 
548,팬젠,614.46:1,14.04%,50.91% 
549,하이에이아이스팩1호,,0.00%,-1.5% 
550,IBKS스팩4호,,0.00%,1.5% 
551,에이피위성통신,271.55:1,7.80%,27.84% 
552,케이비스팩9호,,0.00%,-1.25% 
553,큐리언트,709.15:1,35.24%,61.43% 
554,안트로젠,531.1:1,30.60%,58.33% 
555,아이엠텍,112.3:1,25.00%,13.33% 
