검색량,기업명,날짜
100.0,이노테라피,2019-01-24
37.58012,이노테라피,2019-01-25
100.0,노랑풍선,2019-01-22
88.55293,노랑풍선,2019-01-23
100.0,웹케시,2019-01-17
66.12301,웹케시,2019-01-18
100.0,에어부산,2018-12-19
83.83298,에어부산,2018-12-20
100.0,비피도,2018-12-18
48.35082,비피도,2018-12-19
100.0,유틸렉스,2018-12-14
27.13891,유틸렉스,2018-12-15
100.0,디케이티,2018-12-13
49.29225,디케이티,2018-12-14
100.0,에이비엘바이오,2018-12-12
70.11081999999999,에이비엘바이오,2018-12-13
100.0,위지윅스튜디오,2018-12-13
50.52878,위지윅스튜디오,2018-12-14
100.0,머큐리,2018-12-06
82.26299,머큐리,2018-12-07
100.0,전진바이오팜,2018-12-05
52.32558,전진바이오팜,2018-12-06
100.0,이노메트리,2018-12-04
44.77611,이노메트리,2018-12-05
93.38028,뉴트리,2018-12-04
100.0,뉴트리,2018-12-05
100.0,대유에이피,2018-11-28
58.05658,대유에이피,2018-11-29
100.0,베스파,2018-11-22
55.37229,베스파,2018-11-23
100.0,윙입푸드,2018-11-22
57.64499,윙입푸드,2018-11-23
100.0,티로보틱스,2018-11-20
58.20895,티로보틱스,2018-11-21
100.0,에코캡,2018-11-20
63.21525,에코캡,2018-11-21
100.0,티앤알바이오팹,2018-11-16
10.11959,티앤알바이오팹,2018-11-17
100.0,엠아이텍,2018-11-20
48.65454,엠아이텍,2018-11-21
100.0,네오펙트,2018-11-20
47.06533,네오펙트,2018-11-21
100.0,남화산업,2018-11-16
20.93023,남화산업,2018-11-17
100.0,싸이토젠,2018-11-14
50.79855,싸이토젠,2018-11-15
100.0,아시아나IDT,2018-11-15
49.89122,아시아나IDT,2018-11-16
100.0,아주IB투자,2018-11-14
55.91216,아주IB투자,2018-11-15
100.0,디알젬,2018-11-13
42.47863,디알젬,2018-11-14
100.0,파멥신,2018-11-13
46.63937,파멥신,2018-11-14
100.0,디케이앤디,2018-11-08
23.27416,디케이앤디,2018-11-09
100.0,디자인,2018-11-08
72.05034,디자인,2018-11-09
100.0,노바렉스,2018-11-06
42.0763,노바렉스,2018-11-07
100.0,셀리버리,2018-10-30
45.50143,셀리버리,2018-10-31
100.0,대보마그네틱,2018-10-26
17.23259,대보마그네틱,2018-10-27
100.0,엘앤씨바이오,2018-10-24
45.59099000000001,엘앤씨바이오,2018-10-25
100.0,노바텍,2018-10-24
32.3741,노바텍,2018-10-25
100.0,옵티팜,2018-10-17
53.12941,옵티팜,2018-10-18
100.0,로보티즈,2018-10-18
50.78821,로보티즈,2018-10-19
100.0,에스퓨얼셀,2018-10-02
