Unnamed: 0,date,기업검색량,기업명
2,2022-07-31,19.62858,대명에너지
3,2022-08-01,66.11268000000001,대명에너지
4,2022-08-02,36.09065,대명에너지
5,2022-08-03,30.38715,대명에너지
6,2022-08-04,22.56216,대명에너지
0,2022-07-29,100.0,포바이포
1,2022-07-30,22.71622,포바이포
2,2022-07-31,18.721770000000006,포바이포
3,2022-08-01,73.74088,포바이포
4,2022-08-02,64.39735999999999,포바이포
5,2022-08-03,71.79576,포바이포
6,2022-08-04,75.72073,포바이포
0,2022-07-29,100.0,지투파워
1,2022-07-30,22.45019,지투파워
2,2022-07-31,20.88666,지투파워
3,2022-08-01,64.98218,지투파워
4,2022-08-02,61.18221,지투파워
5,2022-08-03,50.03298,지투파워
6,2022-08-04,45.76461,지투파워
0,2022-07-29,74.7988,세아메카닉스
1,2022-07-30,17.10588,세아메카닉스
2,2022-07-31,14.97554,세아메카닉스
3,2022-08-01,59.34985,세아메카닉스
4,2022-08-02,63.29493000000001,세아메카닉스
5,2022-08-03,100.0,세아메카닉스
6,2022-08-04,72.74735,세아메카닉스
0,2022-07-29,89.02673,공구우먼
1,2022-07-30,100.0,공구우먼
2,2022-07-31,48.65653,공구우먼
3,2022-08-01,95.12373,공구우먼
4,2022-08-02,83.71259,공구우먼
5,2022-08-03,79.41351999999998,공구우먼
6,2022-08-04,83.57991,공구우먼
0,2022-07-29,10.4453,유일로보틱스
1,2022-07-30,2.52274,유일로보틱스
2,2022-07-31,2.38952,유일로보틱스
3,2022-08-01,18.32818,유일로보틱스
4,2022-08-02,100.0,유일로보틱스
5,2022-08-03,54.831480000000006,유일로보틱스
6,2022-08-04,46.41854,유일로보틱스
0,2022-07-29,64.84161,모아데이타
1,2022-07-30,15.15565,모아데이타
2,2022-07-31,11.75587,모아데이타
3,2022-08-01,100.0,모아데이타
4,2022-08-02,80.28399,모아데이타
5,2022-08-03,84.28454,모아데이타
6,2022-08-04,64.32276999999999,모아데이타
0,2022-07-29,90.2527,코람코더원리츠
1,2022-07-30,20.2166,코람코더원리츠
2,2022-07-31,18.05054,코람코더원리츠
3,2022-08-01,91.69675,코람코더원리츠
4,2022-08-02,100.0,코람코더원리츠
5,2022-08-03,86.28158,코람코더원리츠
6,2022-08-04,80.1444,코람코더원리츠
0,2022-07-29,58.1803,비씨엔씨
1,2022-07-30,13.18864,비씨엔씨
2,2022-07-31,13.27212,비씨엔씨
3,2022-08-01,65.4424,비씨엔씨
4,2022-08-02,86.72787,비씨엔씨
5,2022-08-03,100.0,비씨엔씨
6,2022-08-04,79.88313000000002,비씨엔씨
0,2022-07-29,66.91701,노을
1,2022-07-30,76.26736,노을
2,2022-07-31,66.35373,노을
3,2022-08-01,88.88471,노을
4,2022-08-02,100.0,노을
5,2022-08-03,77.20615,노을
6,2022-08-04,82.61359,노을
0,2022-07-29,90.84249,브이씨
1,2022-07-30,26.73992,브이씨
2,2022-07-31,26.92307000000001,브이씨
3,2022-08-01,100.0,브이씨
4,2022-08-02,79.30402,브이씨
5,2022-08-03,88.09523,브이씨
6,2022-08-04,83.88278000000003,브이씨
0,2022-07-29,84.92279,풍원정밀
1,2022-07-30,17.25703,풍원정밀
2,2022-07-31,14.98637,풍원정밀
3,2022-08-01,81.56221,풍원정밀
4,2022-08-02,81.92551999999998,풍원정밀
5,2022-08-03,94.45958,풍원정밀
6,2022-08-04,100.0,풍원정밀
0,2022-07-29,27.61217000000001,스톤브릿지벤처스
1,2022-07-30,12.33134,스톤브릿지벤처스
2,2022-07-31,11.76655,스톤브릿지벤처스
3,2022-08-01,34.42108,스톤브릿지벤처스
4,2022-08-02,40.82208,스톤브릿지벤처스
5,2022-08-03,100.0,스톤브릿지벤처스
6,2022-08-04,63.57075,스톤브릿지벤처스
0,2022-07-29,37.56326,퓨런티어
1,2022-07-30,11.78597,퓨런티어
2,2022-07-31,11.11713,퓨런티어
3,2022-08-01,35.61099,퓨런티어
4,2022-08-02,59.94215,퓨런티어
5,2022-08-03,100.0,퓨런티어
6,2022-08-04,45.93275,퓨런티어
0,2022-07-29,100.0,바이오에프디엔씨
1,2022-07-30,27.2503,바이오에프디엔씨
2,2022-07-31,25.15413,바이오에프디엔씨
3,2022-08-01,94.57459,바이오에프디엔씨
4,2022-08-02,96.54747,바이오에프디엔씨
5,2022-08-03,81.1344,바이오에프디엔씨
6,2022-08-04,91.73859,바이오에프디엔씨
0,2022-07-29,95.71209,인카금융서비스
1,2022-07-30,25.26799,인카금융서비스
2,2022-07-31,26.64624,인카금융서비스
3,2022-08-01,82.69525,인카금융서비스
4,2022-08-02,94.02756,인카금융서비스
5,2022-08-03,100.0,인카금융서비스
6,2022-08-04,97.09035,인카금융서비스
0,2022-07-29,100.0,나래나노텍
1,2022-07-30,22.31139,나래나노텍
