,cor_name,cor_rate,obligation,market_type,listed_date,offer_price,sicho_p,profit_percent,sales,profit,shares_to_pub,sub_rate,pre_demand_day,subs_day,l_exp_offer_price,h_exp_offer_price,score
36,케이옥션,1638.36,36.8,0,20220124,20000,40000,100.0,24192,-2088.0,0.8,1408.33,2022.1.6,2022.1.13,17000,20000,0.46
37,오토앤,1713.0,8.34,0,20220120,5300,8800,66.04,49437,3444.0,1.0,2395.63,2022.1.5,2022.1.12,4200,4800,0.27
38,래몽래인,1545.68,17.75,0,20211230,15000,26000,73.33,34650,3153.0,1.0,2054.63,2021.12.15,2021.12.21,11500,13000,0.27
39,케이티비네트워크,50.19,6.94,0,20211216,5800,6030,3.97,66974,35765.0,1.0,327.26,2021.11.29,2021.12.7,5800,7200,0.24
40,툴젠,29.54,0.1,0,20211210,70000,82300,17.57,713,-14882.0,1.0,164.13,2021.11.25,2021.12.3,100000,120000,0.43
41,마인즈랩,197.55,19.74,0,20211123,30000,29650,-1.17,11292,-20386.0,1.0,89.9,2021.11.8,2021.11.12,26000,30000,0.21
42,알비더블유,1719.61,15.98,0,20211122,21400,42800,100.0,37277,3719.0,0.62,3706.79,2021.11.5,2021.11.12,18700,21400,0.2
43,바이옵트로,205.12,0.98,0,20211118,7500,7300,-2.67,16115,2235.0,1.0,68.11,2021.11.3,2021.11.10,7500,8500,0.47
44,트윔,1627.34,9.2,0,20211117,22000,44000,100.0,18260,2916.0,1.0,2266.84,2021.11.2,2021.11.9,17800,20400,0.2
45,지오엘리먼트,1613.84,15.23,0,20211111,10000,20000,100.0,13180,2457.0,1.0,1537.44,2021.10.28,2021.11.3,7600,8700,0.25
46,비트나인,1662.29,5.96,0,20211110,11000,15250,38.64,11576,-10226.0,1.0,589.64,2021.10.25,2021.11.2,8700,9700,0.3
47,디어유,2001.11,37.46,0,20211110,26000,52000,100.0,13048,-2250.0,1.0,1598.15,2021.10.25,2021.11.2,18000,24000,0.31
48,아이티아이즈,1601.14,9.11,0,20211111,14300,28600,100.0,51314,3015.0,0.93,633.61,2021.10.25,2021.11.2,12500,14300,0.29
49,지니너스,66.03,0.1,0,20211108,20000,18000,-10.0,3794,-9152.0,1.0,162.5,2021.10.21,2021.10.28,24700,32200,0.3
50,카카오페이,1714.47,70.44,1,20211103,90000,180000,100.0,284371,-25051.0,1.0,29.6,2021.10.20,2021.10.26,60000,90000,0.16
51,피코그램,1472.19,12.96,0,20211103,12500,25000,100.0,24273,1957.0,1.0,1520.35,2021.10.19,2021.10.26,11000,12500,0.44
52,엔켐,1647.4,64.45,0,20211101,42000,81600,94.29,138888,501.0,1.0,1275.69,2021.10.15,2021.10.22,30000,35000,0.47
53,리파인,64.19,3.22,0,20211029,21000,18900,-10.0,54164,16067.0,1.0,5.95,2021.10.14,2021.10.21,21000,24000,0.38
54,지앤비에스엔지니어링,1134.34,4.37,0,20211029,17400,24000,37.93,42392,4554.0,1.0,1479.87,2021.10.14,2021.10.20,14300,17400,0.35
55,차백신연구소,206.23,1.93,0,20211022,11000,11700,6.36,78,-6240.0,1.0,42.16,2021.10.5,2021.10.13,11000,15000,0.39
56,지아이텍,2068.17,25.28,0,20211021,14000,28000,100.0,17189,4165.0,0.74,2968.35,2021.10.5,2021.10.13,11500,13100,0.16
57,씨유테크,1565.03,22.76,0,20211008,6000,12000,100.0,221698,10598.0,0.67,1408.69,2021.9.23,2021.9.29,5100,5600,0.32
58,아스플로,2142.7,12.1,0,20211007,25000,36000,44.0,44784,6964.0,1.0,2818.08,2021.9.16,2021.9.28,19000,22000,0.61
59,원준,1464.1,44.3,0,20211007,65000,102000,56.92,64030,4412.0,1.0,1623.28,2021.9.15,2021.9.28,52000,60000,0.16
60,실리콘투,1437.63,8.37,0,20210929,27200,38500,41.54,99398,5716.0,0.94,1701.0,2021.9.9,2021.9.15,23800,27200,0.48
61,프롬바이오,85.71,1.45,0,20210928,18000,19250,6.94,108045,-7813.0,0.82,48.24,2021.9.9,2021.9.15,21500,24500,0.41
62,바이오플러스,1220.2,7.8,0,20210927,31500,39500,25.4,24367,9703.0,1.0,1206.63,2021.9.8,2021.9.14,28500,31500,0.27
63,에스앤디,173.11,0.01,0,20210929,28000,25200,-10.0,56537,7359.0,1.0,4.2,2021.9.7,2021.9.15,30000,32000,0.33
64,현대중공업,1835.87,53.09,1,20210917,60000,111000,85.0,8310181,-431463.0,1.0,404.29,2021.9.2,2021.9.8,52000,60000,0.19
