,기업명,매출액(백만원),순이익(백만원),구주매출,청약경쟁률(:1),확정공모가(원),경쟁률(:1),의무보유확약(:1),시초/공모%(수익률),동향,점수,합계,총점,시장 종류,상장일,현재가,공모가(원),시초가(원),종가,희망공모가(최저),희망공모가(최고)
33,바이옵트로,16115.0,2235.0,1.0,68.11,7500,205.12,0.98,-2.67,0.79,2,34,0.0588235294117647,kosdaq,20211118,6900,7500,7300,6290,7500.0,8500.0
34,트윔,18260.0,2916.0,1.0,2266.84,22000,1627.34,9.2,100.0,0.83,4,37,0.1081081081081081,kosdaq,20211117,19100,22000,44000,41100,17800.0,20400.0
35,지오엘리먼트,13180.0,2457.0,1.0,1537.44,10000,1613.84,15.23,100.0,0.82,5,40,0.125,kosdaq,20211111,20200,10000,20000,15900,7600.0,8700.0
36,비트나인,11576.0,-10226.0,1.0,589.64,11000,1662.29,5.96,38.64,0.8,6,33,0.1818181818181818,kosdaq,20211110,11350,11000,15250,11400,8700.0,9700.0
37,디어유,13048.0,-2250.0,1.0,1598.15,26000,2001.11,37.46,100.0,0.79,16,60,0.2666666666666666,kosdaq,20211110,38500,26000,52000,66500,18000.0,24000.0
38,아이티아이즈,51314.0,3015.0,0.93,633.61,14300,1601.14,9.11,100.0,0.81,8,38,0.2105263157894736,kosdaq,20211111,12050,14300,28600,20050,12500.0,14300.0
39,지니너스,3794.0,-9152.0,1.0,162.5,20000,66.03,0.1,-10.0,0.77,2,36,0.0555555555555555,kosdaq,20211108,2975,20000,18000,13400,24700.0,32200.0
40,피코그램,24273.0,1957.0,1.0,1520.35,12500,1472.19,12.96,100.0,0.82,5,43,0.1162790697674418,kosdaq,20211103,43000,12500,25000,18600,11000.0,12500.0
41,엔켐,138888.0,501.0,1.0,1275.69,42000,1647.4,64.45,94.29,0.8,5,44,0.1136363636363636,kosdaq,20211101,54100,42000,81600,80000,30000.0,35000.0
42,리파인,54164.0,16067.0,1.0,5.95,21000,64.19,3.22,-10.0,0.78,-1,32,-0.03125,kosdaq,20211029,11200,21000,18900,14300,21000.0,24000.0
43,지앤비에스엔지니어링,42392.0,4554.0,1.0,1479.87,17400,1134.34,4.37,37.93,0.88,4,36,0.1111111111111111,kosdaq,20211029,12450,17400,24000,19200,14300.0,17400.0
44,차백신연구소,78.0,-6240.0,1.0,42.16,11000,206.23,1.93,6.36,0.83,-2,56,-0.0357142857142857,kosdaq,20211022,7480,11000,11700,13000,11000.0,15000.0
45,지아이텍,17189.0,4165.0,0.74,2968.35,14000,2068.17,25.28,100.0,0.8,0,38,0.0,kosdaq,20211021,3430,14000,28000,36400,11500.0,13100.0
46,씨유테크,221698.0,10598.0,0.66,1408.69,6000,1565.03,22.76,100.0,1.0,3,58,0.0517241379310344,kosdaq,20211008,5490,6000,12000,8400,5100.0,5600.0
47,아스플로,44784.0,6964.0,1.0,2818.08,25000,2142.7,12.1,44.0,1.0,2,21,0.0952380952380952,kosdaq,20211007,8870,25000,36000,28350,19000.0,22000.0
48,준,64030.0,4412.0,1.0,1623.28,65000,1464.1,44.3,56.92,1.0,6,57,0.1052631578947368,kosdaq,20211007,35150,65000,102000,87000,52000.0,60000.0
49,실리콘투,99398.0,5716.0,0.9400000000000001,1701.0,27200,1437.63,8.37,41.54,0.83,-3,45,-0.0666666666666666,kosdaq,20210929,2790,27200,38500,29000,23800.0,27200.0
50,프롬바이오,108045.0,-7813.0,0.81,48.24,18000,85.71,1.45,6.94,0.83,-2,46,-0.0434782608695652,kosdaq,20210928,9960,18000,19250,19850,21500.0,24500.0
51,바이오플러스,24367.0,9703.0,1.0,1206.63,31500,1220.2,7.8,25.4,0.82,1,49,0.0204081632653061,kosdaq,20210927,32000,31500,39500,32450,28500.0,31500.0
52,에스앤디,56537.0,7359.0,1.0,4.2,28000,173.11,0.01,-10.0,0.8,3,38,0.0789473684210526,kosdaq,20210929,19000,28000,25200,21700,30000.0,32000.0
53,와이엠텍,17037.0,3866.0,1.0,2939.57,28000,1696.19,31.59,100.0,0.8,7,41,0.1707317073170731,kosdaq,20210910,16350,28000,56000,59000,21000.0,25000.0
54,에이비온,1994.0,-10476.0,1.0,30.66,17000,139.36,4.3,-1.18,0.79,-2,36,-0.0555555555555555,kosdaq,20210908,10600,17000,16800,15700,14500.0,17000.0
55,브레인즈컴퍼니,14829.0,3734.0,0.66,1190.39,25000,1428.8,8.92,100.0,0.8,3,48,0.0625,kosdaq,20210819,9320,25000,50000,65000,20000.0,22500.0
56,딥노이드,235.0,-8606.0,1.0,834.86,42000,1179.07,7.29,71.43,0.85,6,53,0.1132075471698113,kosdaq,20210817,9070,42000,72000,50400,31500.0,42000.0
57,플래티어,39376.0,2685.0,1.0,2498.8,11000,1631.0,18.29,100.0,0.8,4,59,0.0677966101694915,kosdaq,20210812,13450,11000,22000,28600,8500.0,10000.0
58,엠로,40302.0,3389.0,1.0,250.0,22600,685.6,6.97,44.69,0.82,2,51,0.0392156862745098,kosdaq,20210813,16550,22600,32700,28300,20100.0,22600.0
59,티드랩,14648.0,-9174.0,0.72,1731.23,35000,1503.91,10.98,100.0,0.78,-1,46,-0.0217391304347826,kosdaq,20210811,24350,35000,70000,91000,28000.0,35000.0
60,에이치케이이노엔,515289.0,67061.0,0.5700000000000001,388.9,59000,1871.36,13.49,15.42,0.86,1,47,0.0212765957446808,kosdaq,20210809,43500,59000,68100,68500,50000.0,59000.0
61,에브리봇,49165.0,-902.0,0.75,159.42,36700,576.74,0.67,-9.95,0.8,2,32,0.0625,kosdaq,20210728,33450,36700,33050,30300,32600.0,36700.0
62,맥스트,1983.0,-8921.0,1.0,6762.75,15000,1587.01,39.13,100.0,1.0,6,44,0.1363636363636363,kosdaq,20210727,19200,15000,30000,39000,11000.0,13000.0
63,오비고,10229.0,-5332.0,1.0,1485.15,14300,1123.74,7.68,34.27,1.0,2,28,0.0714285714285714,kosdaq,20210713,11850,14300,19200,20700,12400.0,14300.0
64,아모센스,62028.0,-1196.0,0.8,26.55,12400,116.79,2.57,-1.21,0.69,-1,31,-0.032258064516129,kosdaq,20210625,15650,12400,12250,15900,12400.0,15200.0
65,이노뎁,60760.0,1653.0,1.0,692.12,18000,1573.93,6.05,23.33,0.73,-2,32,-0.0625,kosdaq,20210618,15250,18000,22200,18050,14000.0,18000.0
66,라온테크,12632.0,-1432.0,1.0,779.1,18000,1526.2,8.9,12.5,0.71,5,29,0.1724137931034483,kosdaq,20210617,15650,18000,20250,20500,12800.0,15800.0
67,엘비루셈,209770.0,17105.0,0.66,824.51,14000,1419.23,4.48,28.57,0.69,4,19,0.2105263157894736,kosdaq,20210611,7940,14000,18000,15200,12000.0,14000.0
68,에이디엠코리아,10206.0,653.0,1.0,2345.4,3800,1515.98,12.35,100.0,0.67,14,31,0.4516129032258064,kosdaq,20210603,3100,3800,7600,9880,2900.0,3300.0
69,제주맥주,7317.0,-13955.0,1.0,1747.82,3200,1356.43,5.47,49.38,0.64,0,74,0.0,kosdaq,20210526,2460,3200,4780,4900,2600.0,2900.0
70,삼영에스앤씨,14489.0,633.0,1.0,2392.84,11000,1762.39,15.27,100.0,0.67,1,21,0.0476190476190476,kosdaq,20210521,7770,11000,22000,28600,7800.0,10000.0
71,진시스템,1135.0,-4041.0,1.0,354.58,20000,934.07,1.5,-4.5,0.6,5,40,0.125,kosdaq,20210526,9750,20000,19100,17400,16000.0,20000.0
72,샘씨엔에스,20985.0,556.0,0.8300000000000001,1104.29,6500,1537.67,26.07,-1.54,0.62,9,46,0.1956521739130435,kosdaq,20210520,5110,6500,6400,8320,5000.0,5700.0
73,씨앤씨인터내셔널,81598.0,6637.0,0.6,898.0,47500,1029.14,5.28,-0.53,0.71,5,24,0.2083333333333333,kosdaq,20210517,20850,47500,47250,41150,35000.0,47500.0
74,에이치피오,58604.0,8761.0,0.75,95.01,22200,252.13,4.12,-9.91,0.83,2,39,0.0512820512820512,kosdaq,20210514,11650,22200,20000,16750,22200.0,25400.0
75,쿠콘,39526.0,8382.0,0.8,1596.32,45000,1594.61,30.9,77.78,1.0,5,37,0.1351351351351351,kosdaq,20210428,34550,45000,80000,65500,31000.0,40000.0
76,해성티피씨,15327.0,-1518.0,1.0,2053.27,13000,1508.95,16.05,100.0,1.0,6,42,0.1428571428571428,kosdaq,20210421,7930,13000,26000,33800,9500.0,11500.0
77,이삭엔지니어링,32759.0,2679.0,1.0,2262.09,11500,1427.15,20.73,100.0,1.0,-2,39,-0.0512820512820512,kosdaq,20210421,11850,11500,23000,26150,9500.0,11500.0
78,엔시스,31884.0,1912.0,0.7000000000000001,2573.6,19000,1467.73,21.73,100.0,1.0,3,39,0.0769230769230769,kosdaq,20210401,14400,19000,38000,31400,13000.0,16500.0
79,자이언트스텝,12839.0,-4430.0,1.0,2342.0,11000,1691.65,24.42,100.0,0.88,8,60,0.1333333333333333,kosdaq,20210324,27900,11000,22000,28600,9000.0,11000.0
80,제노코,32927.0,2198.0,1.0,2095.45,36000,1452.49,22.15,80.56,0.87,10,40,0.25,kosdaq,20210324,24200,36000,65000,80100,27000.0,33000.0
81,라이프시맨틱스,1162.0,-3963.0,1.0,1774.57,12500,1402.17,3.78,100.0,0.86,9,46,0.1956521739130435,kosdaq,20210323,6100,12500,25000,17500,9000.0,12500.0
82,바이오다인,4089.0,-2026.0,1.0,48.36,30000,1364.85,8.8,33.33,0.85,3,31,0.0967741935483871,kosdaq,20210317,28200,30000,40000,42600,22500.0,28700.0
83,싸이버,22372.0,1903.0,0.44,1880.43,9500,1303.1,9.7,89.47,0.88,2,35,0.0571428571428571,kosdaq,20210311,11600,9500,18000,21200,7600.0,8300.0
84,프레스티지바이오로직스,185.0,-22057.0,1.0,126.06,12400,369.91,6.5,-2.42,0.83,-3,53,-0.0566037735849056,kosdaq,20210311,4970,12400,12100,14300,8700.0,12400.0
85,나노씨엠에스,3978.0,-1691.0,1.0,1243.48,20000,1295.75,6.65,65.0,0.88,5,20,0.25,kosdaq,20210309,32750,20000,33000,23950,14500.0,18500.0
86,뷰노,162.0,-5913.0,1.0,1102.7,21000,1457.21,23.8,56.67,0.87,4,38,0.1052631578947368,kosdaq,20210226,8050,21000,32900,32150,15000.0,19500.0
87,씨이랩,7089.0,62.0,1.0,195.53,35000,1371.37,12.97,33.14,0.85,0,27,0.0,kosdaq,20210224,13550,35000,46600,40800,23000.0,31000.0
88,오로스테크놀로지,26901.0,7570.0,1.0,1033.82,21000,1260.0,37.12,100.0,0.83,5,28,0.1785714285714285,kosdaq,20210224,15650,21000,42000,54600,17000.0,21000.0
89,유일에너테크,47015.0,8164.0,0.71,683.55,16000,1427.69,61.06,100.0,0.86,3,32,0.09375,kosdaq,20210225,15300,16000,32000,34500,11000.0,14000.0
