,cor_name,cor_rate,obligation
162,프레스티지바이오로직스,369.91:1,6.50%
163,나노씨엠에스,1295.75:1,6.65%
164,하나머스트스팩7호,,0.00%
165,IBKS스팩15호,,0.00%
166,뷰노,1457.21:1,23.80%
167,씨이랩,1371.37:1,12.97%
168,오로스테크놀로지,1260:1,37.12%
169,유일에너테크,1427.69:1,61.06%
170,피엔에이치테크,1454.47:1,9.58%
171,하나금융스팩17호,,0.00%
172,아이퀘스트,1504.02:1,18.70%
173,프레스티지바이오파마,819.76:1,19.31%
174,와이더플래닛,1449.22:1,9.59%
175,레인보우로보틱스,1489.9:1,19.90%
176,신한스팩7호,,0.00%
177,솔루엠,1167.55:1,20.79%
178,모비릭스,1407.53:1,5.73%
179,핑거,1453.12:1,12.64%
180,씨앤투스성진,1010.02:1,1.70%
181,선진뷰티사이언스,1431:1,17.83%
182,엔비티,1425.3:1,10.70%
183,한국스팩9호,,0.00%
184,유안타스팩7호,,0.00%
185,석경에이티,1390.29:1,6.68%
186,대신밸런스스팩9호,,0.00%
187,프리시젼바이오,1231.23:1,1.62%
188,지놈앤컴퍼니,1163.49:1,9.08%
189,엔에이치스팩18호,,0.00%
190,알체라,1315.61:1,3.88%
191,에이치엠씨아이비스팩5호,,0.00%
192,에프앤가이드,1327.98:1,7.60%
193,티엘비,1318.82:1,6.10%
194,인바이오,1386.04:1,8.23%
195,퀀타매트릭스,185.56:1,4.60%
196,이에스알켄달스퀘어리츠,,0.00%
197,명신산업,1195.69:1,30.60%
198,디비금융스팩8호,,0.00%
199,엔젠바이오,1006.96:1,3.33%
200,앱코,1141.02:1,3.64%
201,클리노믹스,494.20:1,2.05%
202,엔에프씨,979.94:1,6.15%
203,포인트모바일,1447.07:1,18.19%
204,제일전기공업,1196.21:1,8.86%
205,티앤엘,338.91:1,0.41%
206,하나기술,1393.98:1,16.83%
207,에이플러스에셋어드바이저,3.66:1,25.40%
208,고바이오랩,64.33:1,0.03%
209,네패스아크,707.7:1,1.60%
210,교촌에프앤비,999.44:1,3.90%
211,소룩스,1135.7:1,0.80%
212,위드텍,1336.49:1,23.53%
213,센코,848.37:1,2.20%
214,바이브컴퍼니,1221.45:1,7.96%
215,미코바이오메드,159.15:1,0.02%
216,하이브(구.빅히트),1117.25:1,43.85%
217,피플바이오,40.4:1,0.00%
218,넥스틴,30.25:1,23.30%
219,원방테크,406.8:1,3.20%
220,엔에이치스팩17호,,0.00%
221,비나텍,1098.10:1,22.47%
222,박셀바이오,94.18:1,11.68%
223,압타머사이언스,830.32:1,3.27%
224,비비씨,977.5:1,3.90%
225,핌스,1210.28:1,4.39%
226,교보스팩10호,,0.00%
227,이오플로우,150.87:1,14.83%
228,카카오게임즈,1478.53:1,58.59%
229,피엔케이피부임상연구센타,1372.51:1,17.10%
230,미래에셋대우스팩5호,,0.00%
231,아이디피,894:1,7.40%
232,셀레믹스,1203.41:1,5.41%
233,브랜드엑스코퍼레이션,47.06:1,0.00%
234,미투젠,1114.56:1,1.35%
235,코람코에너지플러스리츠,,0.00%
236,영림원소프트랩,1269.3:1,4.30%
237,한국파마,1296.86:1,0.00%
238,이루다,1316.5:1,7.80%
239,와이팜,407.01:1,8.01%
240,제이알글로벌리츠,,0.00%
241,에이치엠씨아이비스팩4호,,0.00%
242,이엔드디,1168.72:1,8.99%
243,엠투아이,61.70:1,1.60%
244,더네이쳐홀딩스,97.21:1,8.46%
245,제놀루션,1161.09:1,21.36%
246,미래에셋맵스리츠1호,,0.00%
247,솔트룩스,528.17:1,5.58%
248,하나금융스팩16호,,0.00%
249,티에스아이,1283.73:1,4.97%
250,에이프로,1090.80:1,10.46%
251,IBKS스팩13호,,0.00%
252,이지스레지던스리츠,,0.00%
253,소마젠,69.46:1,0.00%
254,신도기연,1272.90:1,14.51%
255,위더스제약,1033.41:1,17.36%
256,SK바이오팜,835.66:1,81.15%
257,마크로밀엠브레인,1056.80:1,19.39%
258,젠큐릭스,77.03:1,0.00%
259,이지스밸류플러스리츠,87.09:1,8.70%
260,IBKS스팩14호,,0.00%
261,엘이티,1255.9:1,24.50%
262,엔에이치스팩16호,,0.00%
263,에스씨엠생명과학,1032.17:1,7.70%
264,드림씨아이에스,926.11:1,6.82%
265,이베스트스팩5호,,0.00%
266,케이프이에스스팩4호,,0.00%
267,엔피디,307.50:1,8.78%
268,에스케이스팩6호,,0.00%
269,플레이디,1270.7:1,7.55%
270,서울바이오시스,1119:1,10.50%
271,제이앤티씨,1077.88:1,6.72%
272,켄코아에어로스페이스,120.75:1,2.55%
273,레몬,426:1,6.30%
274,서남,1228.4:1,5.21%
