,cor_name,market_type,listed_date,offer_price,sicho_p,profit_percent,first_p
95,지아이텍,kosdaq,20211021,14000,28000,100%,36400
96,NH스팩21호,kosdaq,20211015,2000,2075,3.75%,2075
97,케이카(유가),kospi,20211013,25000,22500,-10%,23000
98,씨유테크,kosdaq,20211008,6000,12000,100%,8400
99,원준,kosdaq,20211007,65000,102000,56.92%,87000
100,하나금융스팩19호,kosdaq,20211007,2000,2045,2.25%,2045
101,아스플로,kosdaq,20211007,25000,36000,44%,28350
102,NH스팩20호,kosdaq,20211005,2000,2030,1.5%,2050
103,에스앤디,kosdaq,20210929,28000,25200,-10%,21700
104,실리콘투,kosdaq,20210929,27200,38500,41.54%,29000
105,프롬바이오,kosdaq,20210928,18000,19250,6.94%,19850
106,신한스팩8호,kosdaq,20210927,2000,2100,5%,2080
107,바이오플러스,kosdaq,20210927,31500,39500,25.4%,32450
108,대신밸런스스팩10호,kosdaq,20210917,2000,2305,15.25%,2220
109,현대중공업(유가),kospi,20210917,60000,111000,85%,111500
110,SK리츠(유가),kospi,20210914,5000,5340,6.8%,5780
111,유진스팩7호,kosdaq,20210913,2000,4000,100%,2800
112,와이엠텍,kosdaq,20210910,28000,56000,100%,59000
113,에이비온,kosdaq,20210908,17000,16800,-1.18%,15700
114,IBKS스팩16호,kosdaq,20210903,2000,4000,100%,2475
115,일진하이솔루스(유가),kospi,20210901,34300,68600,100%,89100
116,디앤디플랫폼리츠,kosdaq,20210827,5000,5390,7.8%,5290
117,바이젠셀,kosdaq,20210825,52700,73500,39.47%,59500
118,아주스틸(유가),kospi,20210820,15100,30200,100%,33500
119,브레인즈컴퍼니,kosdaq,20210819,25000,50000,100%,65000
120,롯데렌탈(유가),kospi,20210819,59000,57500,-2.54%,55500
121,딥노이드,kosdaq,20210817,42000,72000,71.43%,50400
122,한컴라이프케어(유가),kospi,20210817,13700,16050,17.15%,12800
123,엠로,kosdaq,20210813,22600,32700,44.69%,28300
124,플래티어,kosdaq,20210812,11000,22000,100%,28600
125,원티드랩,kosdaq,20210811,35000,70000,100%,91000
126,크래프톤(유가),kospi,20210810,498000,448500,-9.94%,454000
127,에이치케이이노엔,kosdaq,20210809,59000,68100,15.42%,68500
128,카카오뱅크(유가),kospi,20210806,39000,53700,37.69%,69800
129,한화플러스스팩2호,kosdaq,20210805,2000,4000,100%,-
130,에브리봇,kosdaq,20210728,36700,33050,-9.95%,30300
131,맥스트,kosdaq,20210727,15000,30000,100%,39000
132,큐라클,kosdaq,20210722,25000,36500,46%,30650
133,에스디바이오센서(유가),kospi,20210716,52000,57000,9.62%,61000
134,오비고,kosdaq,20210713,14300,19200,34.27%,20700
135,아모센스,kosdaq,20210625,12400,12250,-1.21%,15900
136,이노뎁,kosdaq,20210618,18000,22200,23.33%,18050
137,삼성머스트스팩5호,kosdaq,20210617,2000,4000,100%,5200
138,라온테크,kosdaq,20210617,18000,20250,12.5%,20500
139,엘비루셈,kosdaq,20210611,14000,18000,28.57%,15200
140,에이디엠코리아,kosdaq,20210603,3800,7600,100%,9880
141,제주맥주,kosdaq,20210526,3200,4780,49.38%,4900
142,진시스템,kosdaq,20210526,20000,19100,-4.5%,17400
143,삼영에스앤씨,kosdaq,20210521,11000,22000,100%,28600
144,삼성스팩4호,kosdaq,20210521,2000,2070,3.5%,2105
145,NH스팩19호(유가),kospi,20210521,2000,2075,3.75%,2100
146,샘씨엔에스,kosdaq,20210520,6500,6400,-1.54%,8320
147,씨앤씨인터내셔널,kosdaq,20210517,47500,47250,-0.53%,41150
148,에이치피오,kosdaq,20210514,22200,20000,-9.91%,16750
149,SK아이이테크놀로지(유가),kospi,20210511,105000,210000,100%,154500
150,하이스팩6호,kosdaq,20210510,2000,2060,3%,2065
151,쿠콘,kosdaq,20210428,45000,80000,77.78%,65500
152,해성티피씨,kosdaq,20210421,13000,26000,100%,33800
153,이삭엔지니어링,kosdaq,20210421,11500,23000,100%,26150
154,유진스팩6호,kosdaq,20210408,2000,2050,2.5%,2045
155,유안타스팩8호,kosdaq,20210405,2000,2030,1.5%,2030
156,엔시스,kosdaq,20210401,19000,38000,100%,31400
157,자이언트스텝,kosdaq,20210324,11000,22000,100%,28600
158,제노코,kosdaq,20210324,36000,65000,80.56%,80100
159,라이프시맨틱스,kosdaq,20210323,12500,25000,100%,17500
160,SK바이오사이언스(유가),kospi,20210318,65000,130000,100%,169000
161,바이오다인,kosdaq,20210317,30000,40000,33.33%,42600
162,네오이뮨텍,kosdaq,20210316,7500,15000,100%,14350
163,디비금융스팩9호,kosdaq,20210316,2000,2025,1.25%,2020
164,프레스티지바이오로직스,kosdaq,20210311,12400,12100,-2.42%,14300
165,싸이버원,kosdaq,20210311,9500,18000,89.47%,21200
166,나노씨엠에스,kosdaq,20210309,20000,33000,65%,23950
167,하나머스트스팩7호,kosdaq,20210305,2000,2055,2.75%,2050
168,뷰노,kosdaq,20210226,21000,32900,56.67%,32150
169,IBKS스팩15호,kosdaq,20210226,2000,2060,3%,2070
170,유일에너테크,kosdaq,20210225,16000,32000,100%,34500
171,씨이랩,kosdaq,20210224,35000,46600,33.14%,40800
172,오로스테크놀로지,kosdaq,20210224,21000,42000,100%,54600
173,피엔에이치테크,kosdaq,20210216,18000,20500,13.89%,23850
174,하나금융스팩17호,kosdaq,20210210,2000,2045,2.25%,2050
175,프레스티지바이오파마(유가),kospi,20210205,32000,28800,-10%,32800
176,아이퀘스트,kosdaq,20210205,11000,22000,100%,20000
177,신한스팩7호,kosdaq,20210204,2000,2020,1%,2030
178,와이더플래닛,kosdaq,20210203,16000,24900,55.63%,20000
179,레인보우로보틱스,kosdaq,20210203,10000,20000,100%,26000
180,솔루엠(유가),kospi,20210202,17000,34000,100%,29150
181,핑거,kosdaq,20210129,16000,32000,100%,29100
182,씨앤투스성진,kosdaq,20210128,32000,31700,-0.94%,28700
183,모비릭스,kosdaq,20210128,14000,28000,100%,36400
184,선진뷰티사이언스,kosdaq,20210127,11500,23000,100%,29900
185,엔비티,kosdaq,20210121,19000,38000,100%,36500
186,한국스팩9호,kosdaq,20210121,2000,2020,1%,2030
187,유안타스팩7호,kosdaq,20201228,2000,2010,0.5%,2005
188,지놈앤컴퍼니,kosdaq,20201223,40000,80000,100%,68800
189,대신밸런스스팩9호,kosdaq,20201223,2000,2020,1%,2050
190,석경에이티,kosdaq,20201223,10000,20000,100%,26000
191,이에스알켄달스퀘어리츠(유가),kospi,20201223,5000,4970,-0.6%,5190
192,프리시젼바이오,kosdaq,20201222,12500,25000,100%,32500
193,알체라,kosdaq,20201221,10000,20000,100%,26000
194,엔에이치스팩18호,kosdaq,20201221,2000,2025,1.25%,2025
195,에프앤가이드,kosdaq,20201217,7000,14000,100%,12850
196,에이치엠씨아이비스팩5호,kosdaq,20201216,2000,2000,0%,-
197,티엘비,kosdaq,20201214,38000,75900,99.74%,54500
198,인바이오,kosdaq,20201211,5800,11600,100%,12200
199,엔젠바이오,kosdaq,20201210,14000,28000,100%,25650
200,퀀타매트릭스,kosdaq,20201209,25500,25050,-1.76%,24100
