,cor_name,market_type,listed_date,offer_price,sicho_p,profit_percent
457,아이큐어,kosdaq,20180712,65000,58500,-10%
458,에스브이인베스트먼트,kosdaq,20180706,7000,9000,28.57%
459,이리츠코크렙기업(유가),kospi,20180627,5000,5010,0.2%
460,이원다이애그노믹스,kosdaq,20180626,6500,9000,38.46%
461,하나금융스팩11호,kosdaq,20180608,2000,2000,0%
462,파워넷,kosdaq,20180607,6500,10100,55.38%
463,현대사료,kosdaq,20180601,6600,13200,100%
464,세종메디칼,kosdaq,20180529,15000,23100,54%
465,제노레이,kosdaq,20180528,23000,45900,99.57%
466,한국스팩7호,kosdaq,20180511,2000,2000,0%
467,유안타스팩3호,kosdaq,20180508,2000,1980,-1%
468,제이티씨(JTC),kosdaq,20180406,8500,14050,65.29%
469,대신밸런스스팩3호,kosdaq,20180404,2000,2005,0.25%
470,케어랩스,kosdaq,20180328,20000,40000,100%
471,애경산업(유가),kospi,20180322,29100,28000,-3.78%
472,에코마이스터,kosdaq,20180315,5200,7000,34.62%
473,린드먼아시아인베스트먼트,kosdaq,20180314,6500,13000,100%
474,오스테오닉,kosdaq,20180222,7700,15400,100%
475,엔지켐생명과학,kosdaq,20180221,56000,87000,55.36%
476,동구바이오제약,kosdaq,20180213,16000,32000,100%
477,알리코제약,kosdaq,20180212,12000,18100,50.83%
478,아시아종묘,kosdaq,20180212,4500,4520,0.44%
479,카페24,kosdaq,20180208,57000,84500,48.25%
480,링크제니시스,kosdaq,20180205,30000,53000,76.67%
481,배럴,kosdaq,20180201,9500,10400,9.47%
482,에스지이,kosdaq,20180126,6000,5400,-10%
483,씨앤지하이테크,kosdaq,20180125,16000,18600,16.25%
484,시스웍,kosdaq,20171226,2800,3810,36.07%
485,한국스팩6호,kosdaq,20171221,2000,1965,-1.75%
486,디바이스이엔지,kosdaq,20171220,12000,10800,-10%
487,동부스팩5호,kosdaq,20171212,2000,2010,0.5%
488,동양피스톤(유가),kospi,20171208,5700,5130,-10%
489,진에어(유가),kospi,20171208,31800,31800,0%
490,씨티케이코스메틱스,kosdaq,20171207,55000,49500,-10%
491,메카로,kosdaq,20171206,33000,43000,30.3%
492,에스트래픽,kosdaq,20171205,10000,20000,100%
493,체리부로,kosdaq,20171204,4700,5020,6.81%
494,대원,kosdaq,20171201,15000,16000,6.67%
495,비즈니스온커뮤니케이션,kosdaq,20171130,9000,16900,87.78%
496,삼양패키징(유가),kospi,20171129,26000,25750,-0.96%
497,한화에이스스팩4호,kosdaq,20171127,2000,2010,0.5%
498,스튜디오드래곤,kosdaq,20171124,35000,55300,58%
499,IBKS스팩7호,kosdaq,20171110,2000,2030,1.5%
500,비디아이,kosdaq,20171109,10000,17600,76%
501,티슈진,kosdaq,20171106,27000,52000,92.59%
502,테이팩스(유가),kospi,20171031,23000,26600,15.65%
503,영화테크,kosdaq,20171026,12500,25000,100%
504,세원,kosdaq,20171020,5700,8600,50.88%
505,신한스팩4호,kosdaq,20171020,2000,2000,0%
506,상신전자,kosdaq,20171016,13300,13300,0%
507,야스,kosdaq,20170929,23500,21150,-10%
508,IBKS스팩8호,kosdaq,20170929,2000,2080,4%
509,에스엔피월드,kosdaq,20170928,5100,5100,0%
510,유티아이,kosdaq,20170927,25000,22500,-10%
511,신흥에스이씨,kosdaq,20170927,16000,29400,83.75%
512,선익시스템,kosdaq,20170920,37000,33300,-10%
513,엠플러스,kosdaq,20170920,18000,28350,57.5%
514,앱클론,kosdaq,20170918,10000,20000,100%
515,샘코,kosdaq,20170915,11000,12000,9.09%
516,펄어비스,kosdaq,20170914,103000,92700,-10%
517,케이피에스,kosdaq,20170906,14000,13500,-3.57%
518,덕우전자,kosdaq,20170828,15500,16900,9.03%
519,이더블유케이,kosdaq,20170822,5000,10000,100%
520,하나금융스팩10호,kosdaq,20170822,2000,2020,1%
521,알에스오토메이션,kosdaq,20170811,6000,11950,99.17%
522,컬러레이,kosdaq,20170810,3800,3660,-3.68%
523,엔에이치스팩12호,kosdaq,20170807,2000,2040,2%
524,모트렉스,kosdaq,20170804,38300,38000,-0.78%
525,데이타솔루션,kosdaq,20170803,3300,6600,100%
526,지니언스,kosdaq,20170802,13500,20050,48.52%
527,디앤씨미디어,kosdaq,20170801,20000,32300,61.5%
528,셀트리온헬스케어,kosdaq,20170728,41000,43650,6.46%
529,이즈미디어,kosdaq,20170726,7500,8400,12%
530,한국스팩5호,kosdaq,20170724,2000,2020,1%
531,힘스,kosdaq,20170720,20000,32500,62.5%
532,브이원텍,kosdaq,20170713,17700,20100,13.56%
533,아우딘퓨쳐스,kosdaq,20170712,26000,23400,-10%
534,제일홀딩스,kosdaq,20170630,20700,18650,-9.9%
535,하나금융스팩9호,kosdaq,20170626,2000,1955,-2.25%
536,교보스팩7호,kosdaq,20170622,2000,2020,1%
537,한화수성스팩,kosdaq,20170608,2000,2020,1%
538,보라티알,kosdaq,20170608,14300,18900,32.17%
539,삼양옵틱스,kosdaq,20170602,16700,16700,0%
540,IBKS스팩6호,kosdaq,20170601,2000,1980,-1%
541,필옵틱스,kosdaq,20170601,48000,48200,0.42%
542,미래에셋대우스팩1호,kosdaq,20170526,2000,2000,0%
543,넷마블게임즈(유가),kospi,20170512,157000,165000,5.1%
544,ING생명보험(유가),kospi,20170511,33000,31200,-5.45%
545,한화에이스스팩3호,kosdaq,20170502,2000,2000,0%
546,엔에이치스팩10호,kosdaq,20170502,2000,1995,-0.25%
547,하나머티리얼즈,kosdaq,20170428,12000,17500,45.83%
548,와이엠티,kosdaq,20170427,21000,35100,67.14%
549,케이비스팩11호,kosdaq,20170427,2000,2000,0%
550,신영스팩3호,kosdaq,20170406,2000,2000,0%
551,이엘피,kosdaq,20170406,20000,22000,10%
552,서진시스템,kosdaq,20170327,25000,40000,60%
553,코미코,kosdaq,20170323,13000,29050,123.46%
554,아스타,kosdaq,20170320,8000,9700,21.25%
555,덴티움(유가),kospi,20170315,32000,38200,19.38%
556,대신밸런스스팩4호,kosdaq,20170303,2000,2000,0%
557,에스디생명공학,kosdaq,20170302,12000,15200,26.67%
558,신신제약,kosdaq,20170228,4500,6170,37.11%
559,에프엔에스테크,kosdaq,20170227,14000,17050,21.79%
560,모바일어플라이언스,kosdaq,20170224,3500,5900,68.57%
561,신한스팩3호,kosdaq,20170223,2000,2010,0.5%
562,피씨엘,kosdaq,20170223,8000,7800,-2.5%
563,호전실업(유가),kospi,20170202,25000,24500,-2%
564,서플러스글로벌,kosdaq,20170125,8000,8500,6.25%
565,유바이오로직스,kosdaq,20170124,6000,5600,-6.67%
566,엔에이치스팩11호,kosdaq,20161228,2000,1990,-0.5%
567,퓨전데이타,kosdaq,20161221,11500,20750,80.43%
568,디에스씨인베스트먼트,kosdaq,20161219,1700,3400,100%
569,티에스인베스트먼트,kosdaq,20161215,1300,1470,13.08%
570,마이크로프랜드,kosdaq,20161212,7300,6570,-10%
571,코썬바이오,kosdaq,20161209,7000,6300,-10%
572,애니젠,kosdaq,20161207,18000,17800,-1.11%
573,유니온커뮤니티,kosdaq,20161207,5000,4465,-10.7%
574,신라젠,kosdaq,20161206,15000,13500,-10%
575,핸즈코퍼레이션(유가),kospi,20161202,12000,10800,-10%
576,IBKS스팩5호,kosdaq,20161202,2000,2000,0%
577,퓨쳐켐,kosdaq,20161201,15000,15750,5%
578,오션브릿지,kosdaq,20161201,6600,7730,17.12%
579,엘앤케이바이오,kosdaq,20161130,15000,15750,5%
580,뉴파워프라즈마,kosdaq,20161130,17500,17500,0%
581,에이치엔티일렉트로닉스,kosdaq,20161128,10000,12100,21%
582,핸디소프트,kosdaq,20161124,5600,8180,46.07%
583,두산밥캣(유가),kospi,20161118,30000,36000,20%
584,에스케이스팩3호,kosdaq,20161116,2000,2050,2.5%
585,삼성바이오로직스(유가),kospi,20161110,136000,135000,-0.74%
586,클리오,kosdaq,20161109,41000,39950,-2.56%
587,오가닉티코스메틱,kosdaq,20161104,4000,6510,62.75%
588,로고스바이오시스템스,kosdaq,20161103,25500,25500,0%
589,아이비케이에스지엠비스팩,kosdaq,20161102,2000,2050,2.5%
590,인크로스,kosdaq,20161031,43000,67700,57.44%
591,코스메카코리아,kosdaq,20161028,54000,71400,32.22%
592,에이치엘사이언스(구.건강사랑),kosdaq,20161028,27000,38400,42.22%
593,제이더블유생명과학(유가),kospi,20161027,30000,33050,10.17%
594,그레이트리치과기,kosdaq,20161025,5000,5000,0%
595,금세기차륜(골든센츄리),kosdaq,20161019,3500,4005,14.43%
596,인텔리안테크놀로지스,kosdaq,20161018,19000,18750,-1.32%
597,에이치시티,kosdaq,20161017,17000,19500,14.71%
598,잉글우드랩,kosdaq,20161014,6000,8360,39.33%
599,앤디포스,kosdaq,20161012,14500,17500,20.69%
600,수산아이앤티(구.플러스기술),kosdaq,20161011,11500,11500,0%
601,미투온,kosdaq,20161010,3800,3420,-10%
602,화승엔터프라이즈(유가),kospi,20161004,15000,13500,-10%
603,케이비스팩10호,kosdaq,20160929,2000,2000,0%
604,엘에스전선아시아(유가),kospi,20160922,8000,7200,-10%
605,모두투어리츠(유가),kospi,20160922,6000,5700,-5%
606,유니테크노,kosdaq,20160920,10300,12750,23.79%
607,교보비엔케이스팩,kosdaq,20160908,2000,2100,5%
608,하나금융스팩8호,kosdaq,20160908,2000,2010,0.5%
609,자이글,kosdaq,20160906,11000,13600,23.64%
610,헝셩그룹,kosdaq,20160818,3600,3240,-10%
611,에코마케팅,kosdaq,20160808,35000,68000,94.29%
612,팍스넷,kosdaq,20160801,5200,10400,100%
613,두올(유가),kospi,20160729,8500,8190,-3.65%
614,엔지스테크널러지,kosdaq,20160728,10000,19000,90%
615,우리손에프앤지,kosdaq,20160727,2210,4000,81%
616,옵토팩,kosdaq,20160720,5900,6210,5.25%
617,장원테크,kosdaq,20160715,17500,22250,27.14%
618,대유위니아(구.위니아만도),kosdaq,20160714,6800,7900,16.18%
619,한국자산신탁(유가),kospi,20160713,10300,9900,-3.88%
620,바이오리더스,kosdaq,20160707,15000,17100,14%
621,피앤씨테크,kosdaq,20160704,10200,11000,7.84%
622,로스웰,kosdaq,20160630,3200,3915,22.34%
623,해성디에스(유가),kospi,20160624,12000,16700,39.17%
624,녹십자랩셀,kosdaq,20160623,18500,37000,100%
625,에스티팜,kosdaq,20160623,29000,47000,62.07%
626,한국스팩4호,kosdaq,20160622,2000,1950,-2.5%
627,알엔투테크놀로지,kosdaq,20160622,5800,12500,115.52%
628,미래에셋스팩5호,kosdaq,20160609,2000,1995,-0.25%
629,용평리조트(유가),kospi,20160527,7000,9000,28.57%
630,해태제과식품(유가),kospi,20160511,15100,18960,25.56%
631,레이언스,kosdaq,20160411,25000,23700,-5.2%
632,씨엠에스에듀,kosdaq,20160407,23200,26800,15.52%
633,동양파일,kosdaq,20160406,10000,9000,-10%
634,대림씨엔에스(유가),kospi,20160330,27700,24950,-9.93%
635,팬젠,kosdaq,20160311,16500,24900,50.91%
636,하이에이아이스팩1호,kosdaq,20160308,2000,1970,-1.5%
637,에이피위성통신,kosdaq,20160304,9700,12400,27.84%
638,IBKS스팩4호,kosdaq,20160302,2000,2030,1.5%
639,케이비스팩9호,kosdaq,20160229,2000,1975,-1.25%
640,큐리언트,kosdaq,20160229,21000,33900,61.43%
641,안트로젠,kosdaq,20160215,24000,38000,58.33%
642,제이에스코퍼레이션(유가),kospi,20160204,23000,39100,70%
643,아이엠텍,kosdaq,20160203,7500,8500,13.33%
644,유니트론텍,kosdaq,20160202,14000,25300,80.71%
645,차이나크리스탈신소재,kosdaq,20160128,3000,4000,33.33%
646,한솔씨앤피,kosdaq,20160127,13000,18950,45.77%
647,에스와이패널,kosdaq,20151229,5000,4700,-6%
648,코리아오토글라스(유가),kospi,20151229,11000,11600,5.45%
649,코디엠,kosdaq,20151229,4700,7490,59.36%
650,잇츠스킨(유가),kospi,20151228,170000,172000,1.18%
651,육일씨엔에쓰,kosdaq,20151224,6000,6560,9.33%
652,휴젤,kosdaq,20151224,150000,199500,33%
653,대신밸런스스팩2호,kosdaq,20151224,2000,2000,0%
654,이에스브이,kosdaq,20151224,10000,18500,85%
655,한국맥널티,kosdaq,20151223,8000,16000,100%
656,아진산업,kosdaq,20151222,6500,7620,17.23%
657,덱스터,kosdaq,20151222,14000,24800,77.14%
658,씨트리,kosdaq,20151221,6500,9250,42.31%
659,강스템바이오텍,kosdaq,20151221,6000,7200,20%
660,메가엠디,kosdaq,20151218,3000,5020,67.33%
661,동부스팩4호,kosdaq,20151218,2000,2000,0%
662,파크시스템스,kosdaq,20151217,9000,11000,22.22%
663,보광산업,kosdaq,20151217,4000,6110,52.75%
664,하나금융스팩7호,kosdaq,20151216,2000,2010,0.5%
665,뉴트리바이오텍,kosdaq,20151216,21000,23000,9.52%
666,예스티,kosdaq,20151216,14500,15500,6.9%
667,멕아이씨에스,kosdaq,20151214,4500,8000,77.78%
668,엔에스,kosdaq,20151207,8000,12950,61.88%
669,미래테크놀로지,kosdaq,20151201,16100,14950,-7.14%
670,세진중공업(유가),kospi,20151130,3500,3495,-0.14%
671,하이즈항공,kosdaq,20151125,18000,16200,-10%
672,엠지메드,kosdaq,20151120,40000,41000,2.5%
673,리드,kosdaq,20151120,5100,4590,-10%
674,케이디켐,kosdaq,20151119,16000,14850,-7.19%
675,매직마이크로,kosdaq,20151119,5500,5420,-1.45%
676,네오오토,kosdaq,20151118,12000,11800,-1.67%
677,골든브릿지스팩4호,kosdaq,20151118,2000,1990,-0.5%
678,케어젠,kosdaq,20151117,110000,101500,-7.73%
679,아이진,kosdaq,20151116,13500,12900,-4.44%
680,나무가,kosdaq,20151112,37000,33400,-9.73%
681,유앤아이,kosdaq,20151112,30000,28650,-4.5%
682,금호에이치티(유가),kospi,20151111,10000,9500,-5%
683,제주항공(유가),kospi,20151106,30000,49500,65%
684,에이치엠씨스팩3호,kosdaq,20151105,2000,2020,1%
685,더블유게임즈,kosdaq,20151104,65000,65100,0.15%
686,연우,kosdaq,20151102,25200,28150,11.71%
687,키움스팩4호,kosdaq,20151030,2000,2060,3%
688,에이티젠,kosdaq,20151023,17000,34000,100%
689,현대드림스팩4호,kosdaq,20151022,2000,2090,4.5%
690,엑시콘,kosdaq,20151022,10000,10400,4%
691,이베스트스팩3호,kosdaq,20151019,2000,2090,4.5%
692,에치디프로,kosdaq,20151013,8900,9580,7.64%
693,IBKS스팩3호,kosdaq,20151008,2000,2100,5%
694,동부스팩3호,kosdaq,20151006,2000,2105,5.25%
695,신영해피투모로우2호스팩,kosdaq,20151005,2000,2090,4.5%
696,엘아이지넥스원(유가),kospi,20151002,76000,68400,-10%
697,엔에이치스팩9호,kosdaq,20150925,2000,2070,3.5%
698,제너셈,kosdaq,20150925,10500,11000,4.76%
699,타이거일렉,kosdaq,20150925,6000,5720,-4.67%
700,아이콘트롤스(유가),kospi,20150924,32000,31650,-1.09%
701,동일제강(유가),kospi,20150924,3000,3870,29%
702,인포마크,kosdaq,20150923,14000,25000,78.57%
703,유진스팩3호,kosdaq,20150909,2000,2105,5.25%
704,한국스팩3호,kosdaq,20150902,2000,2125,6.25%
705,케이티비스팩3호,kosdaq,20150828,2000,2185,9.25%
706,교보스팩5호,kosdaq,20150827,2000,2300,15%
707,웹스,kosdaq,20150824,7200,11400,58.33%
708,에이제이네트웍스(유가),kospi,20150821,34300,30900,-9.91%
709,현대드림스팩3호,kosdaq,20150821,2000,2000,0%
710,파인텍,kosdaq,20150817,10500,21000,100%
711,교보스팩4호,kosdaq,20150813,2000,3365,68.25%
712,흥국에프엔비,kosdaq,20150807,20000,40000,100%
713,미래에셋스팩4호,kosdaq,20150806,2000,3130,56.5%
714,케이비스팩8호,kosdaq,20150805,2000,2370,18.5%
715,칩스앤미디어,kosdaq,20150805,10500,13700,30.48%
716,아시아경제신문사,kosdaq,20150731,3600,3240,-10%
717,아이쓰리시스템,kosdaq,20150730,36000,63000,75%
718,로지시스,kosdaq,20150729,2500,4180,67.2%
719,엘아이지이에스스팩,kosdaq,20150727,2000,2770,38.5%
720,파마리서치프로덕트,kosdaq,20150724,55000,110000,100%
721,에스케이스팩2호,kosdaq,20150723,2000,2140,7%
722,펩트론,kosdaq,20150722,16000,32000,100%
723,한화에이스스팩2호,kosdaq,20150720,2000,2125,6.25%
724,이노션(유가),kospi,20150717,68000,66500,-2.21%
725,유안타스팩2호,kosdaq,20150717,2000,2125,6.25%
726,키움스팩3호,kosdaq,20150710,2000,2110,5.5%
727,토니모리(유가),kospi,20150710,32000,64000,100%
728,미래에셋생명보험(유가),kospi,20150708,7500,7400,-1.33%
729,골든브릿지스팩3호,kosdaq,20150630,2000,2035,1.75%
730,동운아나텍,kosdaq,20150630,10000,12500,25%
731,유테크,kosdaq,20150630,9000,12550,39.44%
732,엔에이치스팩8호,kosdaq,20150630,2000,2080,4%
733,민앤지,kosdaq,20150630,28000,56000,100%
734,경보제약(유가),kospi,20150629,15000,30000,100%
735,에스엔텍,kosdaq,20150626,6500,10000,53.85%
736,코아스템,kosdaq,20150626,16000,32000,100%
737,이베스트스팩2호,kosdaq,20150626,2000,2020,1%
738,세미콘라이트,kosdaq,20150625,11300,11500,1.77%
739,에스케이디앤디(유가),kospi,20150623,26000,52000,100%
740,베셀,kosdaq,20150619,9000,13400,48.89%
741,대신밸런스스팩1호,kosdaq,20150618,2000,2025,1.25%
742,하나머스트스팩5호,kosdaq,20150618,2000,2025,1.25%
743,싸이맥스,kosdaq,20150617,16300,15200,-6.75%
744,하이스팩3호,kosdaq,20150616,2000,2020,1%
745,픽셀플러스,kosdaq,20150612,30000,27000,-10%
746,엔에이치스팩7호,kosdaq,20150612,2000,2130,6.5%
747,한화에이씨피씨스팩,kosdaq,20150610,2000,2155,7.75%
748,제노포커스,kosdaq,20150529,11000,22000,100%
749,미래에셋스팩3호,kosdaq,20150522,2000,2255,12.75%
750,대우스팩3호,kosdaq,20150519,2000,2600,30%
751,한화엠지아이스팩,kosdaq,20150518,2000,2900,45%
752,대우에스비아이스팩1호,kosdaq,20150513,2000,2365,18.25%
753,엔에이치스팩5호,kosdaq,20150508,2000,2250,12.5%
754,유진에이씨피씨스팩2호,kosdaq,20150428,2000,2315,15.75%
755,하나머스트스팩4호,kosdaq,20150422,2000,3010,50.5%
756,한화에이스스팩1호,kosdaq,20150420,2000,2245,12.25%
757,유지인트,kosdaq,20150413,15000,29150,94.33%
758,케이티비스팩2호,kosdaq,20150403,2000,2150,7.5%
759,NS쇼핑(구.농수산홈쇼핑)(유가),kospi,20150327,235000,211500,-10%
760,케이비스팩7호,kosdaq,20150325,2000,2260,13%
761,세화아이엠씨(유가),kospi,20150319,16300,18100,11.04%
762,포시에스,kosdaq,20150211,9100,15500,70.33%
763,골든브릿지스팩2호,kosdaq,20150205,2000,2220,11%
764,현대드림스팩2호,kosdaq,20141229,2000,1995,-0.25%
765,케이비스팩6호,kosdaq,20141229,2000,2030,1.5%
766,국일신동,kosdaq,20141229,1700,3225,89.71%
767,영백씨엠,kosdaq,20141229,5500,11000,100%
768,NH스팩2호,kosdaq,20141229,2000,2015,0.75%
769,하이셈,kosdaq,20141226,1500,2610,74%
770,휴메딕스,kosdaq,20141226,28000,43600,55.71%
771,서전기전,kosdaq,20141224,6500,8000,23.08%
772,교보스팩3호,kosdaq,20141224,2000,2005,0.25%
773,오킨스전자,kosdaq,20141224,7100,11000,54.93%
774,하나머스트스팩3호,kosdaq,20141224,2000,2015,0.75%
775,아스트,kosdaq,20141224,9500,8550,-10%
776,케이비스팩5호,kosdaq,20141224,2000,2000,0%
777,넥스트엔터테인먼트월드,kosdaq,20141223,16300,15800,-3.07%
778,아이티센,kosdaq,20141223,7500,8460,12.8%
779,제일모직(구.삼성에버랜드)(유가),kospi,20141218,53000,106000,100%
780,하이로닉,kosdaq,20141217,51000,63800,25.1%
781,하나머스트스팩2호,kosdaq,20141217,2000,2000,0%
782,우리에스엘스팩,kosdaq,20141217,2000,2000,0%
783,디티앤씨(구.디지털이엠씨),kosdaq,20141217,18500,30000,62.16%
784,엘아이지스팩2호,kosdaq,20141217,2000,2015,0.75%
785,녹십자엠에스,kosdaq,20141217,6000,9000,50%
786,랩지노믹스,kosdaq,20141216,13200,16650,26.14%
787,에이디테크놀로지,kosdaq,20141216,15000,13500,-10%
788,비씨월드제약,kosdaq,20141215,15700,18100,15.29%
789,동부스팩2호,kosdaq,20141212,2000,2010,0.5%
790,알테오젠,kosdaq,20141212,26000,25150,-3.27%
791,한국스팩2호,kosdaq,20141210,2000,2015,0.75%
792,에스케이씨코오롱피아이,kosdaq,20141208,8000,7800,-2.5%
793,대창스틸,kosdaq,20141205,2500,3605,44.2%
794,에프엔씨엔터테인먼트,kosdaq,20141204,28000,25200,-10%
795,하이스팩2호,kosdaq,20141201,2000,2010,0.5%
796,씨에스윈드(유가),kospi,20141127,43500,39150,-10%
797,케이티비스팩1호,kosdaq,20141124,2000,2030,1.5%
798,텔콘,kosdaq,20141124,14500,13800,-4.83%
799,파티게임즈,kosdaq,20141121,13000,26000,100%
800,IBKS스팩2호,kosdaq,20141120,2000,2030,1.5%
801,유안타스팩1호,kosdaq,20141119,2000,2045,2.25%
802,디에이테크놀로지,kosdaq,20141119,6600,7800,18.18%
803,삼성SDS(유가),kospi,20141114,190000,380000,100%
804,케이비스팩4호,kosdaq,20141112,2000,2080,4%
805,현대에이블스팩1호,kosdaq,20141110,2000,3500,75%
806,교보위드스팩,kosdaq,20141107,2000,2250,12.5%
807,테고사이언스,kosdaq,20141106,13500,27000,100%
808,슈피겐코리아,kosdaq,20141105,27500,37100,34.91%
809,테라셈,kosdaq,20141030,3000,3200,6.67%
810,영우디에스피,kosdaq,20141029,5000,5500,10%
811,대우스팩2호,kosdaq,20141022,2000,2005,0.25%
812,신한스팩2호,kosdaq,20141013,2000,1990,-0.5%
813,메디아나,kosdaq,20141007,6200,6370,2.74%
814,데브시스터즈,kosdaq,20141006,53000,71000,33.96%
815,KB스팩3호,kosdaq,20140930,2000,2045,2.25%
816,감마누,kosdaq,20140814,11000,22000,100%
817,우리스팩3호,kosdaq,20140813,2000,2150,7.5%
818,신화콘텍,kosdaq,20140808,9100,8190,-10%
819,쿠쿠전자(유가),kospi,20140806,104000,180000,73.08%
820,파버나인,kosdaq,20140804,12500,12300,-1.6%
821,덕신하우징,kosdaq,20140801,13000,21650,66.54%
822,창해에탄올,kosdaq,20140730,8300,16600,100%
823,윈하이텍,kosdaq,20140725,8300,13300,60.24%
824,아진엑스텍,kosdaq,20140724,7000,7900,12.86%
825,미래에셋스팩2호,kosdaq,20140723,2000,2110,5.5%
826,화인베스틸(유가),kospi,20140722,4700,4490,-4.47%
827,트루윈,kosdaq,20140711,10500,17000,61.9%
828,하나머스트스팩,kosdaq,20140610,2000,2330,16.5%
829,캐스텍코리아,kosdaq,20140527,6500,11500,76.92%
830,BGF리테일(구.보광훼미리마트)(유가),kospi,20140519,41000,57000,39.02%
831,유진스팩1호,kosdaq,20140508,2000,2090,4.5%
832,KB스팩2호,kosdaq,20140428,2000,2075,3.75%
833,오이솔루션,kosdaq,20140227,10000,20000,100%
834,인터파크INT,kosdaq,20140206,7700,15400,100%
835,한국정보인증,kosdaq,20140204,1800,2900,61.11%
836,솔루에타,kosdaq,20131227,24000,21600,-10%
837,이지웰페어,kosdaq,20131227,4400,7000,59.09%
838,키움제2호스팩,kosdaq,20131220,2000,2020,1%
839,기가레인(구.맥시스),kosdaq,20131219,5500,4950,-10%
840,인트로메딕,kosdaq,20131219,6000,6700,11.67%
841,알티캐스트,kosdaq,20131206,8500,8500,0%
842,현대공업,kosdaq,20131204,7500,8850,18%
843,엔브이에이치코리아,kosdaq,20131203,4500,4440,-1.33%
844,디엠티,kosdaq,20131126,5700,5210,-8.6%
845,우리기업인수목적2호,kosdaq,20131121,2000,2005,0.25%
846,신송홀딩스,kosdaq,20131121,6500,10900,67.69%
847,라이온켐텍,kosdaq,20131119,12500,14200,13.6%
848,램테크놀러지,kosdaq,20131118,3900,6250,60.26%
849,미동전자통신,kosdaq,20131113,20000,19400,-3%
850,에이씨티,kosdaq,20131108,8100,12000,48.15%
851,해성옵틱스,kosdaq,20131106,6600,7800,18.18%
852,내츄럴엔도텍,kosdaq,20131031,40000,80000,100%
853,현대로템(유가),kospi,20131030,23000,33700,46.52%
854,테스나,kosdaq,20131022,13500,15300,13.33%
855,파수닷컴,kosdaq,20131018,5800,6000,3.45%
856,엘티씨,kosdaq,20131008,20500,25000,21.95%
857,지엔씨에너지,kosdaq,20131002,6000,12000,100%
858,아미코젠,kosdaq,20130912,25000,50000,100%
859,금호N.T,kosdaq,20130802,3100,6200,100%
860,파이오링크,kosdaq,20130801,10500,18500,76.19%
861,KG이티에스,kosdaq,20130724,3800,4000,5.26%
862,나스미디어,kosdaq,20130717,8800,15050,71.02%
863,엑세스바이오,kosdaq,20130530,4500,9000,100%
864,디에스알(유가),kospi,20130515,4000,5000,25%
865,레고켐바이오사이언스,kosdaq,20130510,15500,19900,28.39%
866,삼목강업,kosdaq,20130430,2600,3440,32.31%
867,세호로보트,kosdaq,20130403,7800,14000,79.49%
868,윈팩,kosdaq,20130307,4000,4050,1.25%
869,코렌텍,kosdaq,20130305,16000,15950,-0.31%
870,제로투세븐,kosdaq,20130219,8300,13050,57.23%
871,지디,kosdaq,20130213,18000,25150,39.72%
872,아이원스,kosdaq,20130207,4500,5500,22.22%
873,우리이앤엘,kosdaq,20130205,4900,4410,-10%
874,아이센스,kosdaq,20130130,19000,29200,53.68%
875,포티스,kosdaq,20130129,3900,5700,46.15%
876,씨에스엘쏠라,kosdaq,20121227,10000,12500,25%
877,SBIAXES(구.AXES홀딩스),kosdaq,20121217,3600,3240,-10%
878,우리로광통신,kosdaq,20121127,10300,9270,-10%
879,디젠스,kosdaq,20121122,1800,2800,55.56%
880,GMB코리아(유가),kospi,20121120,6000,5990,-0.17%
881,맥스로텍,kosdaq,20121116,7000,10650,52.14%
882,와이엠씨,kosdaq,20121115,6000,7090,18.17%
883,CJ헬로비전(유가),kospi,20121109,16000,15100,-5.63%
884,아바텍,kosdaq,20121106,6300,10500,66.67%
885,코이즈,kosdaq,20120927,7500,9000,20%
886,모다정보통신,kosdaq,20120925,7000,8900,27.14%
887,나노스,kosdaq,20120802,7000,9280,32.57%
888,에이제이렌터카(구.아주오토렌탈)(유가),kospi,20120727,7000,6460,-7.71%
889,우양에이치씨,kosdaq,20120726,5500,4950,-10%
890,엠씨넥스,kosdaq,20120725,15000,13500,-10%
891,네이블커뮤니케이션즈,kosdaq,20120719,9000,9920,10.22%
892,디지탈옵틱,kosdaq,20120713,11500,10900,-5.22%
893,피엔티,kosdaq,20120706,17000,22300,31.18%
894,사조씨푸드(유가),kospi,20120629,10600,10000,-5.66%
895,비아트론,kosdaq,20120504,15900,25500,60.38%
896,에스비아이모기지,kosdaq,20120430,7000,6300,-10%
897,코오롱패션머티리얼(유가),kospi,20120405,14500,20000,37.93%
898,빛샘전자,kosdaq,20120321,4400,8800,100%
899,휴비스(유가),kospi,20120223,12200,12250,0.41%
900,사람인에이치알,kosdaq,20120221,5000,10000,100%
901,뉴로스,kosdaq,20120215,8500,13600,60%
902,남화토건,kosdaq,20120131,3000,4000,33.33%
903,케이탑리츠,kosdaq,20120131,5500,5550,0.91%
904,동아팜텍,kosdaq,20120120,24000,35000,45.83%
905,원익머트리얼즈,kosdaq,20111228,27000,40000,48.15%
906,디엔에이링크,kosdaq,20111226,7700,15400,100%
907,GS리테일(지에스리테일)(유가),kospi,20111223,19500,19500,0%
908,나이스디앤비,kosdaq,20111222,1700,2450,44.12%
909,시큐브,kosdaq,20111221,4900,4410,-10%
910,서암기계공업,kosdaq,20111219,3800,4000,5.26%
911,인터지스(유가),kospi,20111216,10000,9000,-10%
