,cor_name,cor_rate,obligation
0,키움스팩7호,,0.00%
1,신영스팩8호,,0.00%
2,IBKS스팩19호,,0.00%
3,대성하이텍,1934.89:1,4.57%
4,쏘카,56.07:1,0.17%
5,에이치와이티씨,1480.78:1,6.08%
6,새빗켐,1670.90:1,37.70%
7,유안타스팩9호,,0.00%
8,수산인더스트리,130.37:1,18.94%
9,에이프릴바이오,14.43,10.66%
10,신한스팩10호,,0.00%
11,아이씨에이치,57.28:1,12.47%
12,성일하이텍,2269.68:1,38.66%
13,IBKS스팩18호,,0.00%
14,루닛,7.10,1.65%
15,대신밸런스12호스팩,,0.00%
16,에이치피에스피,1511.36:1,42.54%
17,영창케미칼,"1,616.27:1",5.92%
18,코난테크놀로지,1482.6:1,7.07%
19,삼성스팩6호,,0.00%
