,cor_name,title
1,쏘카,쏘카·대성하이텍 상장 첫날 180도 다른 성적표
2,쏘카,"몸값 낮춘 쏘카, 코스피 입성 첫날 약세…공모가 밑돌아"
3,쏘카,"쏘카, 코스피 첫 거래서 공모가 하회…시총 1조 실패"
4,쏘카,"혹독한 신고식 치른 '유니콘' 쏘카… ""흑자전환이 반등의 열쇠"""
5,쏘카,"[특징주] 쏘카, 상장 이튿날 4% 넘게 반등…공모가 터치하기도"
6,쏘카,"상장 이후 쏘카의 미래…“올해 흑자 전환, 슈퍼앱 전략으로 성장할 것”"
7,쏘카,"상장일에 주가 6% 급락한 쏘카...""K유니콘 어쩌나"""
8,쏘카,"'코스피 입성' 쏘카, 부진한 IPO 성적 극복할까… 증권가 전망은?"
9,쏘카,몸값 낮춘 쏘카 오늘 상장…시총 1조 '글쎄'
0,쏘카,"쏘카 공모가, 이게 맞아? [서지혜의 SML]"
1,쏘카,"[단독]쏘카, 우리사주 청약률 고작 17%…수요예측도 흥행 실패 '고평가 논란'"
2,쏘카,"[급등주] 캠시스, 쏘카 코스닥 입성 기대감에 주가 상승"
3,쏘카,"패기있게 출사표 던진 '쏘카', 회복하는 투심…향방은?"
4,쏘카,"다음주 공모주 시장 쏘카 대성하이텍 동시 출격, 기대와 우려 교차"
5,쏘카,줄잇는 IPO 철회에도 강행하는 쏘카·컬리·케이뱅크 훈풍 불까
6,쏘카,"[더벨][IPO 모니터]쏘카, 수요예측 '저조'…""밴드하단 방어 어려울듯"""
7,쏘카,"[ET라씨로] 캠시스, '자회사 CRRC와 MOU · 쏘카 코스닥 입성'에 주가 강세"
8,쏘카,"외국인, 일주일째 '사자'…다음주 변곡점 있다 [증시프리즘]"
9,쏘카,"예쁘고 넓은 르노코리아 XM3, 여행메이트로 제격"
0,쏘카,내가 따상할 상인가? 쏘카 청약 전략 알려드림 [근면한 월급]
1,쏘카,"쏘카, IPO 기관 수요예측 흥행 실패 관측"
2,쏘카,"[주간특징주] '쎄보' 캠시스, 쏘카 공모 고평가에 35%↑"
3,쏘카,[주간증시전망] 美 인플레이션 감축법 통과 기대…미·중 갈등 고조는 하락 요...
4,쏘카,[정다희의 Game Me] '오르긴 오르는데…'
0,쏘카,경북 5곳 역서 쏘카로 여행하면 대여료 80% 할인
1,쏘카,"“공모 철회 없다”는 쏘카, 수요예측 경쟁률 저조…상장 강행할까"
2,쏘카,"하반기 IPO '가늠자' 쏘카, 수요예측 결과는? 이번주 공모청약"
3,쏘카,"출격하는 쏘카, 공모주 투심 되살릴까"
4,쏘카,K벤처 투자 열풍도 꺾이나…토스·쏘카·컬리 등 줄줄이 IPO 연기 검토
5,쏘카,"[증시캘린더]이번주(8월2주)에이치와티씨 상장, 쏘카 공모 등"
6,쏘카,기업기상도·주간 증시전망·추천종목·경제핵심 정리·눈길 가는 기사
7,쏘카,[공시줍줍]공모주달력 8월 8~12일
8,쏘카,"[DD주간브리핑] 美中 갈등 심화, 韓 경제 ‘노심초사’…윤 대통령, 이재용 부..."
9,쏘카,[영상] 영국은 벌써 탄소 절반을 줄였다? 비법이 궁금한 사람 모여라!
0,쏘카,"[단독] 수요예측 부진에…쏘카, 공모가 2.8만 원선으로 낮추나"
1,쏘카,"쏘카, 경북 KTX 역사 주변 대여료 80% 할인"
2,쏘카,7월도 IPO는 돈벌었다…8월엔 대성하이텍·쏘카 올라타볼까
3,쏘카,"이번주 공모주 청약, 쏘카·대성하이텍 등 2개사"
4,쏘카,‘쏘카’ 타고 경북여행하면 대여료 80% 할인
5,쏘카,[주린이의 공모주] 쏘카·대성하이텍 출격…투자자 선택은?
6,쏘카,"[특징주] 캠시스, 쏘카 수요예측 부진에 주가 영향 받았나"
7,쏘카,"‘주차장 1위’ 휴맥스모빌리티, 카셰어링 ‘추격’"
8,쏘카,"[더벨]IPO 앞둔 쏘카, 회계기준 위반 '경고'"
9,쏘카,"(영상)배부른 쏘카, 벌써 대기업 행세?…투자자에 IR북도 공개 안해"
0,쏘카,"희망 공모가 밑돌았지만…쏘카 ""그래도 상장한다"""
1,쏘카,"쏘카, 공모가 2만8천원 확정"
2,쏘카,쏘카 공모가 2만8000원 확정…상장 후 시총 1조 밑돌아
3,쏘카,"쏘카, 공모가 대폭 낮춰 상장 강행…몸값 1조원 포기"
4,쏘카,희비 엇갈린 기관 수요예측… 쏘카 '울고' 대성하이텍 '웃고'
5,쏘카,몸값 확 낮춘 쏘카...'할인 전략' 먹힐까
6,쏘카,쏘카의 이상한 몸값 계산법
7,쏘카,"쏘카, 공모가 2만8천원 확정…364만 주 공모"
8,쏘카,"수요예측 흥행 참패 쏘카, 하반기 공모주 시장에 '찬바람'"
9,쏘카,"쏘카, 상장 강행... 공모가‧공모물량 낮춰"
