,기업명,매출액(백만원),순이익(백만원),구주매출,희망공모가(최저),희망공모가(최고),청약경쟁률(:1),확정공모가(원),경쟁률(:1),의무보유확약(:1),시초/공모%(수익률),공모가(원),시초가(원),상장일
42,리파인,54164.0,16067.0,1.0,21000.0,24000.0,5.95,21000,64.19,3.22,-10.0,21000,18900,20211029
43,지앤비에스엔지니어링,42392.0,4554.0,1.0,14300.0,17400.0,1479.87,17400,1134.34,4.37,37.93,17400,24000,20211029
44,차백신연구소,78.0,-6240.0,1.0,11000.0,15000.0,42.16,11000,206.23,1.93,6.36,11000,11700,20211022
45,지아이텍,17189.0,4165.0,0.74,11500.0,13100.0,2968.35,14000,2068.17,25.28,100.0,14000,28000,20211021
46,씨유테크,221698.0,10598.0,0.66,5100.0,5600.0,1408.69,6000,1565.03,22.76,100.0,6000,12000,20211008
47,아스플로,44784.0,6964.0,1.0,19000.0,22000.0,2818.08,25000,2142.7,12.1,44.0,25000,36000,20211007
48,준,64030.0,4412.0,1.0,52000.0,60000.0,1623.28,65000,1464.1,44.3,56.92,65000,102000,20211007
49,실리콘투,99398.0,5716.0,0.94,23800.0,27200.0,1701.0,27200,1437.63,8.37,41.54,27200,38500,20210929
50,프롬바이오,108045.0,-7813.0,0.81,21500.0,24500.0,48.24,18000,85.71,1.45,6.94,18000,19250,20210928
51,바이오플러스,24367.0,9703.0,1.0,28500.0,31500.0,1206.63,31500,1220.2,7.8,25.4,31500,39500,20210927
52,에스앤디,56537.0,7359.0,1.0,30000.0,32000.0,4.2,28000,173.11,0.01,-10.0,28000,25200,20210929
53,와이엠텍,17037.0,3866.0,1.0,21000.0,25000.0,2939.57,28000,1696.19,31.59,100.0,28000,56000,20210910
54,에이비온,1994.0,-10476.0,1.0,14500.0,17000.0,30.66,17000,139.36,4.3,-1.18,17000,16800,20210908
55,브레인즈컴퍼니,14829.0,3734.0,0.67,20000.0,22500.0,1190.39,25000,1428.8,8.92,100.0,25000,50000,20210819
56,딥노이드,235.0,-8606.0,1.0,31500.0,42000.0,834.86,42000,1179.07,7.29,71.43,42000,72000,20210817
57,플래티어,39376.0,2685.0,1.0,8500.0,10000.0,2498.8,11000,1631.0,18.29,100.0,11000,22000,20210812
58,엠로,40302.0,3389.0,1.0,20100.0,22600.0,250.0,22600,685.6,6.97,44.69,22600,32700,20210813
59,티드랩,14648.0,-9174.0,0.72,28000.0,35000.0,1731.23,35000,1503.91,10.98,100.0,35000,70000,20210811
60,에이치케이이노엔,515289.0,67061.0,0.54,50000.0,59000.0,388.9,59000,1871.36,13.49,15.42,59000,68100,20210809
61,에브리봇,49165.0,-902.0,0.75,32600.0,36700.0,159.42,36700,576.74,0.67,-9.95,36700,33050,20210728
62,맥스트,1983.0,-8921.0,1.0,11000.0,13000.0,6762.75,15000,1587.01,39.13,100.0,15000,30000,20210727
63,오비고,10229.0,-5332.0,1.0,12400.0,14300.0,1485.15,14300,1123.74,7.68,34.27,14300,19200,20210713
64,아모센스,62028.0,-1196.0,0.8,12400.0,15200.0,26.55,12400,116.79,2.57,-1.21,12400,12250,20210625
65,이노뎁,60760.0,1653.0,1.0,14000.0,18000.0,692.12,18000,1573.93,6.05,23.33,18000,22200,20210618
66,라온테크,12632.0,-1432.0,1.0,12800.0,15800.0,779.1,18000,1526.2,8.9,12.5,18000,20250,20210617
67,엘비루셈,209770.0,17105.0,0.67,12000.0,14000.0,824.51,14000,1419.23,4.48,28.57,14000,18000,20210611
68,에이디엠코리아,10206.0,653.0,1.0,2900.0,3300.0,2345.4,3800,1515.98,12.35,100.0,3800,7600,20210603
69,제주맥주,7317.0,-13955.0,1.0,2600.0,2900.0,1747.82,3200,1356.43,5.47,49.38,3200,4780,20210526
70,삼영에스앤씨,14489.0,633.0,1.0,7800.0,10000.0,2392.84,11000,1762.39,15.27,100.0,11000,22000,20210521
71,진시스템,1135.0,-4041.0,1.0,16000.0,20000.0,354.58,20000,934.07,1.5,-4.5,20000,19100,20210526
72,샘씨엔에스,20985.0,556.0,0.83,5000.0,5700.0,1104.29,6500,1537.67,26.07,-1.54,6500,6400,20210520
73,씨앤씨인터내셔널,81598.0,6637.0,0.6,35000.0,47500.0,898.0,47500,1029.14,5.28,-0.53,47500,47250,20210517
74,에이치피오,58604.0,8761.0,0.75,22200.0,25400.0,95.01,22200,252.13,4.12,-9.91,22200,20000,20210514
75,쿠콘,39526.0,8382.0,0.8,31000.0,40000.0,1596.32,45000,1594.61,30.9,77.78,45000,80000,20210428
76,해성티피씨,15327.0,-1518.0,1.0,9500.0,11500.0,2053.27,13000,1508.95,16.05,100.0,13000,26000,20210421
77,이삭엔지니어링,32759.0,2679.0,1.0,9500.0,11500.0,2262.09,11500,1427.15,20.73,100.0,11500,23000,20210421
78,엔시스,31884.0,1912.0,0.71,13000.0,16500.0,2573.6,19000,1467.73,21.73,100.0,19000,38000,20210401
79,자이언트스텝,12839.0,-4430.0,1.0,9000.0,11000.0,2342.0,11000,1691.65,24.42,100.0,11000,22000,20210324
80,제노코,32927.0,2198.0,1.0,27000.0,33000.0,2095.45,36000,1452.49,22.15,80.56,36000,65000,20210324
81,라이프시맨틱스,1162.0,-3963.0,1.0,9000.0,12500.0,1774.57,12500,1402.17,3.78,100.0,12500,25000,20210323
82,바이오다인,4089.0,-2026.0,1.0,22500.0,28700.0,48.36,30000,1364.85,8.8,33.33,30000,40000,20210317
83,싸이버,22372.0,1903.0,0.44,7600.0,8300.0,1880.43,9500,1303.1,9.7,89.47,9500,18000,20210311
84,프레스티지바이오로직스,185.0,-22057.0,1.0,8700.0,12400.0,126.06,12400,369.91,6.5,-2.42,12400,12100,20210311
85,나노씨엠에스,3978.0,-1691.0,1.0,14500.0,18500.0,1243.48,20000,1295.75,6.65,65.0,20000,33000,20210309
86,뷰노,162.0,-5913.0,1.0,15000.0,19500.0,1102.7,21000,1457.21,23.8,56.67,21000,32900,20210226
87,씨이랩,7089.0,62.0,1.0,23000.0,31000.0,195.53,35000,1371.37,12.97,33.14,35000,46600,20210224
88,오로스테크놀로지,26901.0,7570.0,1.0,17000.0,21000.0,1033.82,21000,1260.0,37.12,100.0,21000,42000,20210224
89,유일에너테크,47015.0,8164.0,0.71,11000.0,14000.0,683.55,16000,1427.69,61.06,100.0,16000,32000,20210225
90,피엔에이치테크,7127.0,-7627.0,0.73,14000.0,17000.0,1528.76,18000,1454.47,9.58,13.89,18000,20500,20210216
91,아이퀘스트,13153.0,3650.0,1.0,9200.0,10600.0,2853.34,11000,1504.02,18.7,100.0,11000,22000,20210205
92,와이더플래닛,34760.0,-1452.0,1.0,12000.0,15000.0,1357.98,16000,1449.22,9.59,55.63,16000,24900,20210203
93,레인보우로보틱스,1694.0,-5497.0,1.0,7000.0,9000.0,1201.26,10000,1489.9,19.9,100.0,10000,20000,20210203
94,모비릭스,40340.0,6189.0,1.0,10500.0,14000.0,1485.51,14000,1407.53,5.73,100.0,14000,28000,20210128
95,핑거,60015.0,3174.0,0.77,13000.0,15000.0,939.39,16000,1453.12,12.64,100.0,16000,32000,20210129
96,씨앤투스성진,47481.0,-430.0,1.0,26000.0,32000.0,674.04,32000,1010.02,1.7,-0.94,32000,31700,20210128
97,선진뷰티사이언스,47403.0,4333.0,0.67,10100.0,11500.0,1987.74,11500,1431.0,17.83,100.0,11500,23000,20210127
98,엔비티,45058.0,744.0,1.0,13200.0,17600.0,4397.67,19000,1425.3,10.7,100.0,19000,38000,20210121
99,석경에이티,6403.0,1111.0,1.0,8000.0,10000.0,1751.58,10000,1390.29,6.68,100.0,10000,20000,20201223
100,프리시젼바이오,2409.0,-706.0,1.0,10500.0,12500.0,1557.29,12500,1231.23,1.62,100.0,12500,25000,20201222
101,지놈앤컴퍼니,46.0,-84669.0,0.9,36000.0,40000.0,1175.1,40000,1163.49,9.08,100.0,40000,80000,20201223
102,알체라,3291.0,-11416.0,1.0,8000.0,10000.0,1322.58,10000,1315.61,3.88,100.0,10000,20000,20201221
103,에프앤가이드,21083.0,3479.0,0.61,5200.0,6500.0,1353.9,7000,1327.98,7.6,100.0,7000,14000,20201217
104,티엘비,149136.0,9473.0,0.89,33200.0,38000.0,1551.19,38000,1318.82,6.1,99.74,38000,75900,20201214
105,인바이오,33736.0,1020.0,1.0,5100.0,5800.0,1414.15,5800,1386.04,8.23,100.0,5800,11600,20201211
106,퀀타매트릭스,811.0,-63811.0,1.0,19700.0,25500.0,167.87,25500,185.56,4.6,-1.76,25500,25050,20201209
107,엔젠바이오,1478.0,-6865.0,1.0,10500.0,14000.0,1502.4,14000,1006.96,3.33,100.0,14000,28000,20201210
108,앱코,84271.0,3474.0,0.8,21400.0,24300.0,978.13,24300,1141.02,3.64,24.07,24300,30150,20201202
109,클리노믹스,4101.0,-5760.0,1.0,10900.0,13900.0,341.46,13900,494.2,2.05,33.09,13900,18500,20201204
110,엔에프씨,32860.0,6572.0,1.0,10200.0,13400.0,643.85,13400,979.94,6.15,54.48,13400,20700,20201202
111,포인트모바일,62181.0,8494.0,0.85,13000.0,15000.0,1842.97,15000,1447.07,18.19,100.0,15000,30000,20201203
112,제일전기공업,146148.0,14127.0,0.5,15000.0,17000.0,1396.1,17000,1196.21,8.86,100.0,17000,34000,20201126
113,티앤엘,32655.0,7286.0,1.0,34000.0,38000.0,1109.19,36000,338.91,0.41,100.0,36000,72000,20201120
114,하나기술,59294.0,4317.0,1.0,31000.0,35000.0,1802.1,35000,1393.98,16.83,100.0,35000,70000,20201125
115,고바이오랩,577.0,-44067.0,1.0,18000.0,23000.0,566.54,15000,64.33,0.03,100.0,15000,30000,20201118
116,네패스아크,54719.0,4653.0,1.0,23400.0,26500.0,830.21,26500,707.7,1.6,36.6,26500,36200,20201117
117,소룩스,71108.0,5794.0,0.82,8000.0,10000.0,1660.08,10000,1135.7,0.8,100.0,10000,20000,20201106
118,위드텍,58061.0,11129.0,1.0,21000.0,25000.0,1185.51,25000,1336.49,23.53,48.4,25000,37100,20201030
119,센코,19835.0,-2411.0,0.82,10000.0,13000.0,366.42,13000,848.37,2.2,2.69,13000,13350,20201029
120,바이브컴퍼니,16298.0,-777.0,1.0,23000.0,28000.0,1266.22,28000,1221.45,7.96,42.86,28000,40000,20201028
121,미코바이오메드,4098.0,-13172.0,1.0,12000.0,15000.0,41.74,15000,159.15,0.02,7.33,15000,16100,20201022
122,넥스틴,9394.0,-2625.0,1.0,61500.0,75400.0,13.92,75400,30.25,23.3,-5.7,75400,71100,20201008
123,방테크,118882.0,14592.0,0.3,43000.0,54300.0,348.77,54300,406.8,3.2,-9.94,54300,48900,20200924
124,비나텍,42763.0,4405.0,1.0,27000.0,32000.0,1386.85,33000,1098.1,22.47,33.33,33000,44000,20200923
125,압타머사이언스,408.0,-3853.0,1.0,20000.0,25000.0,1251.29,25000,830.32,3.27,15.4,25000,28850,20200916
126,비비씨,19073.0,5653.0,0.78,27100.0,30700.0,464.19,30700,977.5,3.9,-9.93,30700,27650,20200921
127,핌스,37783.0,5544.0,0.7,15000.0,19000.0,1161.84,19000,1210.28,4.39,10.53,19000,21000,20200918
128,카카오게임즈,322392.0,33315.0,1.0,20000.0,24000.0,1524.8,24000,1478.53,58.59,100.0,24000,48000,20200910
129,피엔케이피부임상연구센타,12499.0,5376.0,0.6,16100.0,18300.0,1727.11,18300,1372.51,17.1,53.01,18300,28000,20200909
130,아이디피,23230.0,2916.0,0.79,8800.0,9800.0,1149.83,9800,894.0,7.4,34.69,9800,13200,20200824
131,셀레믹스,5141.0,-2256.0,1.0,16100.0,20000.0,1176.45,20000,1203.41,5.41,24.5,20000,24900,20200821
132,영림소프트랩,37899.0,4127.0,1.0,9500.0,11500.0,2493.57,11500,1269.3,4.3,53.04,11500,17600,20200812
133,이루다,17779.0,2031.0,0.8,7500.0,9000.0,3039.55,9000,1316.5,7.8,100.0,9000,18000,20200806
134,와이팜,125429.0,11334.0,0.5,9700.0,11000.0,712.13,11000,407.01,8.01,41.36,11000,15550,20200731
135,이엔드디,58313.0,6194.0,1.0,12350.0,14400.0,808.62,14400,1168.72,8.99,26.39,14400,18200,20200730
136,엠투아이,24715.0,6003.0,0.25,15600.0,18900.0,176.83,15600,61.7,1.6,20.83,15600,18850,20200729
137,더네이쳐홀딩스,235344.0,16142.0,0.83,45000.0,50000.0,151.9,46000,97.21,8.46,-10.0,46000,41400,20200727
138,제놀루션,3951.0,-287.0,1.0,12000.0,14000.0,894.67,14000,1161.09,21.36,100.0,14000,28000,20200724
139,솔트룩스,15335.0,145.0,1.0,24000.0,30000.0,953.53,25000,528.17,5.58,60.0,25000,40000,20200723
140,티에스아이,60918.0,-12175.0,0.75,7500.0,9500.0,1621.1,10000,1283.73,4.97,100.0,10000,20000,20200722
141,에이프로,67358.0,7578.0,1.0,19000.0,21600.0,1582.52,21600,1090.8,10.46,100.0,21600,43200,20200716
142,신도기연,48854.0,3189.0,1.0,14000.0,16000.0,955.01,16000,1272.9,14.51,100.0,16000,32000,20200706
143,위더스제약,51732.0,8661.0,0.62,13900.0,15900.0,1082.03,15900,1033.41,17.36,100.0,15900,31800,20200703
144,마크로밀엠브레인,39075.0,1952.0,1.0,5200.0,6400.0,888.01,6800,1056.8,19.39,100.0,6800,13600,20200701
145,엘이티,40933.0,7172.0,1.0,6400.0,7800.0,1552.16,7800,1255.9,24.5,100.0,7800,15600,20200622
146,에스씨엠생명과학,29.0,-40095.0,1.0,14000.0,17000.0,814.91,17000,1032.17,7.7,73.53,17000,29500,20200617
147,드림씨아이에스,19200.0,3417.0,1.0,13000.0,14900.0,669.22,14900,926.11,6.82,87.92,14900,28000,20200522
148,엔피디,259266.0,8574.0,1.0,5400.0,6300.0,32.65,5400,307.5,8.78,-10.0,5400,4860,20200316
149,플레이디,34711.0,6038.0,1.0,6800.0,7700.0,864.8,8500,1270.7,7.55,32.35,8500,11250,20200312
150,서울바이오시스,368194.0,5857.0,1.0,6500.0,7500.0,942.7,7500,1119.0,10.5,73.33,7500,13000,20200306
151,제이앤티씨,229357.0,28114.0,1.0,8500.0,10500.0,3.48,11000,1077.88,6.72,-7.27,11000,10200,20200304
152,켄코아에어로스페이스,28937.0,-9409.0,0.84,13000.0,15000.0,256.68,10000,120.75,2.55,15.0,10000,11500,20200303
153,레몬,31438.0,-2377.0,1.0,6200.0,7200.0,800.07,7200,426.0,6.3,19.72,7200,8620,20200228
154,서남,4854.0,-1449.0,1.0,2700.0,3100.0,881.6,3100,1228.4,5.21,25.81,3100,3900,20200220
155,위세아이텍,16549.0,1505.0,1.0,10000.0,11200.0,1076.62,12000,1105.93,6.95,15.83,12000,13900,20200210
156,피피아이,38120.0,2549.0,1.0,6000.0,7000.0,1147.7,7000,997.33,2.47,57.14,7000,11000,20191226
157,메탈라이프,19270.0,3742.0,1.0,10500.0,13000.0,1397.97,13000,1288.21,22.46,100.0,13000,26000,20191224
158,신테카바이오,287.0,-3747.0,1.0,15000.0,19000.0,123.2,12000,75.61,1.32,24.58,12000,14950,20191217
159,태웅로직스,24394.0,7318.0,1.0,3700.0,4500.0,618.52,4500,1024.98,2.53,81.56,4500,8170,20191210
160,코리아센터,189670.0,4874.0,0.91,24000.0,27200.0,4.13,18000,37.77,6.04,27.78,18000,23000,20191129
161,노터스,36308.0,3747.0,1.0,17000.0,20000.0,22.31,20000,699.46,0.59,48.75,20000,29750,20191127
162,코리아에셋투자증권,165962.0,5507.0,1.0,8000.0,10000.0,231.78,10000,945.66,2.25,-1.0,10000,9900,20191120
163,씨에스베어링,50364.0,3232.0,0.6,7400.0,8400.0,699.67,8400,1246.86,4.65,0.0,8400,8400,20191121
164,에스제이그룹,68630.0,3531.0,1.0,32000.0,38600.0,512.93,38600,946.62,13.56,12.69,38600,43500,20191118
165,아이티엠반도체,228237.0,18159.0,0.91,23000.0,26000.0,321.09,26000,1078.5,15.8,2.88,26000,26750,20191107
166,티라유텍,22771.0,1525.0,1.0,10550.0,12050.0,1164.16,12050,1240.9,11.9,100.0,12050,24100,20191031
167,미디어젠,13383.0,-533.0,1.0,9400.0,10600.0,573.16,10600,576.27,1.88,6.13,10600,11250,20191105
168,캐리소프트,9969.0,-2189.0,1.0,7000.0,9000.0,1067.0,9000,924.83,2.7,34.44,9000,12100,20191029
169,케이엔제이,51107.0,1698.0,1.0,8400.0,11000.0,1104.68,11000,1144.3,5.5,42.73,11000,15700,20191025
170,엔바이오니아,8545.0,648.0,1.0,8200.0,10300.0,910.32,8200,425.8,3.8,30.49,8200,10700,20191024
171,팜스빌,19833.0,4815.0,0.87,11000.0,14000.0,674.04,14000,1035.53,7.05,20.0,14000,16800,20191022
172,라온피플,21764.0,6250.0,1.0,14000.0,17000.0,2.07,14000,330.36,1.5,-5.0,14000,13300,20191018
173,아톤,28033.0,4096.0,0.8,30000.0,43000.0,653.96,43000,810.88,9.5,7.09,43000,46050,20191017
174,녹십자웰빙,53883.0,5678.0,1.0,9400.0,11300.0,657.66,11300,657.93,4.49,5.31,11300,11900,20191014
175,올리패스,488.0,-27825.0,1.0,37000.0,45000.0,419.4,20000,11.07,0.4,53.0,20000,30600,20190920
176,한독크린텍,39627.0,4165.0,1.0,13300.0,15100.0,728.28,15100,1117.61,8.77,62.25,15100,24500,20190905
177,에스피시스템스,46873.0,3235.0,0.68,4300.0,4900.0,786.16,4900,1116.32,13.68,100.0,4900,9800,20190814
178,레이,47565.0,6779.0,1.0,17000.0,20000.0,779.56,20000,1013.19,10.27,25.75,20000,25150,20190808
179,코윈테크,76832.0,10339.0,1.0,28400.0,34500.0,0.48,34500,163.54,0.9,-10.0,34500,31050,20190805
180,그린플러스,42151.0,2213.0,1.0,8500.0,10000.0,700.96,10000,863.94,5.85,11.5,10000,11150,20190807
181,덕산테코피아,70930.0,18783.0,0.79,17000.0,19000.0,1.96,19000,348.63,7.17,-10.0,19000,17100,20190802
182,슈프리마아이디,18081.0,3571.0,0.77,23000.0,27000.0,707.26,27000,1124.05,13.14,28.7,27000,34750,20190801
183,윌링스,54327.0,4294.0,0.7,10000.0,12500.0,532.83,12500,1082.15,18.18,82.4,12500,22800,20190725
184,대모(구.대모엔지니어링),51026.0,3119.0,0.79,4800.0,5200.0,1268.53,5200,1103.1,15.6,67.5,5200,8710,20190724
185,에이스토리,46446.0,2320.0,1.0,11600.0,14300.0,131.51,14300,614.25,3.56,-9.79,14300,12900,20190719
186,플리토,3505.0,-3761.0,0.67,19000.0,23000.0,710.71,26000,1133.0,22.0,21.54,26000,31600,20190717
187,세틀뱅크,57164.0,11995.0,0.64,44000.0,49000.0,309.6,55000,1122.0,14.8,-10.0,55000,49500,20190712
188,아이스크림에듀,86608.0,7108.0,1.0,15900.0,18000.0,5.7,15900,124.73,1.34,-9.75,15900,14350,20190711
189,에이에프더블류,30330.0,8713.0,0.53,19500.0,22500.0,552.22,22500,866.03,13.72,24.44,22500,28000,20190701
190,압타바이오,300.0,-31123.0,1.0,21000.0,25000.0,663.03,30000,856.41,35.1,67.33,30000,50200,20190612
191,까스텔바쟉,84152.0,6356.0,0.29,16000.0,19000.0,3.4,12000,32.53,3.86,41.67,12000,17000,20190610
192,마이크로디지탈,4554.0,-30.0,1.0,20000.0,23000.0,1116.34,23000,621.48,2.29,78.48,23000,41050,20190605
193,컴퍼니케이파트너스,9866.0,3336.0,1.0,3600.0,4000.0,850.46,4500,865.66,27.8,82.22,4500,8200,20190523
194,수젠텍,3440.0,-20960.0,1.0,12000.0,14000.0,1.48,12000,75.21,3.15,-7.08,12000,11150,20190528
195,아모그린텍,111297.0,-5238.0,0.8,8800.0,9900.0,22.13,9900,164.22,3.05,4.04,9900,10300,20190329
196,지노믹트리,454.0,-2113.0,1.0,17000.0,25000.0,13.1,27000,372.0,22.8,9.07,27000,29450,20190327
197,이지케어텍,55374.0,3606.0,1.0,10100.0,12300.0,1272.11,12300,1108.03,40.25,100.0,12300,24600,20190322
198,미래에셋벤처투자,54949.0,6305.0,1.0,3700.0,4500.0,1021.77,4500,441.4,3.7,36.67,4500,6150,20190315
199,에코프로비엠,289870.0,15159.0,1.0,37500.0,42900.0,273.78,48000,988.49,45.04,27.29,48000,61100,20190305
200,천보,87606.0,14822.0,0.8,35000.0,40000.0,426.09,40000,891.1,15.8,31.25,40000,52500,20190211
201,이노테라피,180.0,-3012.0,1.0,20200.0,25200.0,463.37,18000,154.44,2.83,23.33,18000,22200,20190201
202,노랑풍선,83822.0,10436.0,0.74,15500.0,19000.0,1025.2,20000,978.43,12.42,51.75,20000,30350,20190130
203,웹케시,77086.0,3679.0,1.0,24000.0,26000.0,9473.1,26000,614.0,6.8,21.92,26000,31700,20190125
204,유틸렉스,133.0,-9593.0,1.0,38000.0,50000.0,322.96,50000,597.2,18.63,20.2,50000,60100,20181224
205,디케이티,117043.0,4611.0,1.0,6000.0,7400.0,780.32,7400,771.42,3.5,74.32,7400,12900,20181221
206,에이비엘바이오,71.0,-74734.0,1.0,13000.0,17000.0,0.78,15000,60.08,10.99,-10.0,15000,13500,20181219
207,위지윅스튜디오,12989.0,499.0,1.0,9000.0,13000.0,6.84,11000,177.33,1.13,2.27,11000,11250,20181220
208,머큐리,138330.0,4443.0,0.5,5200.0,6100.0,930.39,6100,749.57,13.35,57.87,6100,9630,20181214
209,전진바이오팜,3136.0,-3041.0,1.0,15000.0,17000.0,24.8,10000,14.69,27.2,15.5,10000,11550,20181214
210,이노메트리,14063.0,1177.0,1.0,21000.0,25000.0,791.16,26000,765.22,11.39,53.85,26000,40000,20181212
211,티앤알바이오팹,406.0,-4058.0,1.0,18000.0,23000.0,500.35,18000,101.9,1.0,-10.0,18000,16200,20181128
212,엠아이텍,22541.0,2051.0,0.5,3900.0,4500.0,883.39,4500,472.57,0.42,-10.0,4500,4050,20181129
213,네오펙트,7288.0,160.0,1.0,10000.0,12500.0,400.8,11000,338.01,0.89,-10.0,11000,9900,20181128
214,남화산업,14214.0,8543.0,1.0,3100.0,3700.0,858.4,3700,822.09,6.14,51.62,3700,5610,20181129
215,싸이토젠,850.0,-2149.0,1.0,13000.0,17000.0,705.49,17000,608.85,0.7,4.71,17000,17800,20181122
216,디알젬,49324.0,4132.0,1.0,5000.0,7000.0,832.96,6500,785.43,1.05,30.31,6500,8470,20181122
217,파멥신,209.0,-6483.0,1.0,43000.0,55000.0,322.78,60000,764.16,18.81,-3.17,60000,58100,20181121
